"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"それなら、千早は歌のフォローをお願いできる？
細かい動きは私が見ておくから","In that case, could you help me with the singing? I'll keep an eye on your movements","Then can Chihaya please follow up with a song?
I'll take care of the details.","In that case, could you help me with the singing?
I'll keep an eye on your movements",""
"素晴らしいな。
まるでプロデューサーがもうひとりいるかのようだ","That's wonderful. It was as if there were another producer in the company","That's great.
It's as if there's another producer.","That's wonderful. It was as if there
were another producer in the company",""
"あはっ、本当かも★
頼りになりそう～！","Aha, maybe you're right. ★ I think we can count on him!","Haha, maybe it's true.
I'll be able to rely on you~!","Aha, maybe you're right. ★ 
I think we can count on her!",""
"確かに、律子は頼りになるな。
これなら俺がいなくても大丈夫かな","You're right, Ritsuko is reliable. I wonder if she will be okay without me?","Indeed, Ritsuko is dependable.
I guess this will work without me.","You're right, Ritsuko is reliable. 
I wonder if she will be okay without me?",""
"そんなことないですよ、プロデューサー殿。
私たちだけじゃ、見落とすかもしれないですし","That's not true, producer. We might miss it if we were the only ones here","That's not true, Mr. Producer.
We might miss it if we're alone.","That's not true, producer. We might miss
it if we were the only ones here",""
"それに、ディアマントを意識する必要があるかと。
普段以上に、厳しい指導をお願いします","Besides, I believe you need to be aware of the Diamant. Please give me stricter instruction than usual""","Besides, I thought we need to be aware of Diamant.
Please give us stricter guidance than usual.","Besides, I believe you need to be aware of the
Diamant. Please give me stricter instruction than usual",""
"分かった。基本の反復は全体の向上に繋がるが、
通常練習にそこまで入れるとなると、結構ハードだぞ","Understood. Repeating the basic steps will improve your overall performance, but it'll be pretty tough to get that far into normal practice if you do this much for someone else as a result of practicing in general""","I get it, although repetition of the basics improves the overall experience,
If you're going to put that much into your regular practice, it's going to be pretty hard.","Understood. Repeating the basic steps will improve your overall performance, but it'll be pretty tough to get
that far into normal practice if you do this much for someone else as a result of practicing in general","Understood. Repeating the basics will improve the overall,
but it's pretty hard to put that much into normal practice"
"うふふ、みんな、やる気いっぱいね♪","Hehe, everyone's all fired up♪","Mmmm, you guys are so motivated...","Hehe, everyone's all fired up♪",""
"アタシもテンション上がってきたっ★
さっそく通しでやってみない？","I'm starting to get excited, too! ★ How about we try it through?","I'm getting excited too!
Why don't we go through it right away?","I'm starting to get excited, too! ★ 
How about we try it through?",""
"ええ、やってみましょう！","Yes, let's give it a try!","Yes, let's do it!","Yes, let's give it a try!",""
"わ、私もみんなに置いていかれないように、
いっぱい頑張らないと……！","I-I need to do my best so everyone doesn't leave me behind, too!","Wow, I don't want to be left behind by everyone else,
We have to work hard all the time. ......","I-I need to do my best so
everyone doesn't leave me behind, too!",""
"（千早のところも、基礎の強化か。
やり方は違えど、目指すところは同じだな）","(Chihaya's place is also strengthening the foundation, huh. We have different ways of doing things but our goals are pretty much identical)","(Chihaya's place, too, is strengthening the foundation.
(We do things differently, but our goals are the same.)","(Chihaya's place is also strengthening the foundation, huh. We have
different ways of doing things but our goals are pretty much identical)","(Chihaya's building up the basics too, huh? We may
have different methods, but our goals are the same.)"
"（今日は、伊織たちのグループが行う
特別レッスンを見に行くか……）","(I guess I'll go watch a special lesson held by my group today...)","(Today, Iori and his group will perform
(Go to the special lesson or ......)","(I guess I'll go watch a special
lesson held by my group today...)","(I guess I'll go see Iori's
group's special lesson today...)"
"響さんたちは……河川敷まで走ったそうです。
そういう練習方法もあるんですね","Hibiki-san and the others... ran to a riverbed. I didn't know there were practice methods like that, too!","Hibiki and his friends ran to the ...... riverbed.
So that's one way to practice.","Hibiki-san and the others... ran to a riverbed. 
I didn't know there were practice methods like that, too!",""
"へぇ、そんなことしてるんだ。
みんな気合い入ってるね！","Huh, so that's what you guys are doing. You all seem really fired up!","Wow, that's what you're doing.
Everyone is so enthusiastic!","Huh, so that's what you guys are doing. 
You all seem really fired up!",""
"あはっ、なんだか響らしいの♪","Aha, that's just like you♪","Haha, it's kind of like a resonance.","Aha, that's just like you♪",""
"まぁ、基礎レッスンも大事よね。
ライブって、かなり体力を使うし","Well, basic lessons are important too. Live shows take a lot of stamina and all that stuff anyways""","Well, basic lessons are important, too.
Live performances are quite strenuous.","Well, basic lessons are important too. Live shows
take a lot of stamina and all that stuff anyways",""
"そうだよねー。
１回のライブで、１ヶ月分の体力を使う感じだよ","That's right. It feels like it takes a month of stamina to get through one concert","That's right.
It's like using a month's worth of energy in one gig.","That's right. It feels like it takes a
month of stamina to get through one concert",""
"はい……
気力だけでは……もちません……","Yes... I can't do it with willpower alone","Yes ......
The energy alone won't ...... last. ......","Yes... I can't do it
with willpower alone",""
"私は元気はもりもりーって感じですけど、
体力はどうだろう。うーん……考えたことないかも","I'm full of energy, but how much stamina do you have? Hmm... Maybe not","I am full of energy, though,
I wonder about physical fitness. hmmm maybe I haven't thought about ......","I'm full of energy, but how much stamina
do you have? Hmm... Maybe not",""
"……じゃあ、ボクたちも走ろうか！","...Then let's run, too!","...... Well, let's run, shall we?","...Then let's run, too!",""
"……えっ！？　ほ、ホントに？","...Huh!? R-Really","...... What? Really?","...Huh!? R-Really",""
"ふぅん。まずは体力から鍛えようってわけね。
いいんじゃない","Hmm. So you're going to start by training with your stamina, huh? That sounds like a good idea""","Hmmm...let's start with physical strength, shall we?
It's okay.","Hmm. So you're going to start by training with your
stamina, huh? That sounds like a good idea",""
"よし！　それじゃあボクたちの
最初の目標は、体力強化ってことで","Alright! Then our goal is to strengthen ourselves","Okay, that's ours.
My first goal was to strengthen my physical strength.","Alright! Then our goal is
to strengthen our stamina",""
"え～。めんどくさいの……。
ミキ的には、お昼寝して待ってたいって思うな","Whaaat? What a pain in the ass. Miki, you'd rather just take an afternoon nap and wait for me to get back home instead of coming over here again like this""","Eh~ a pain in the ass. ......
Don't think of Miki as wanting to take a nap and wait.","Whaaat? What a pain in the ass. Miki, you'd rather just take an afternoon nap
and wait for me to get back home instead of coming over here again like this","Well... It sounds troublesome. 
From Mikki's perspective, she would rather take a nap and wait."
"美希さん、すこしだけでいいですから、
一緒に頑張りましょう？","Miki, just a little is fine. Let's do our best together!","Miki, just a little bit is enough,
Let's work together, shall we?","Miki, just a little is fine.
Let's do our best together!",""
"む～……すこしだけだよ？","Hmm... Just a little, okay?","I'm just going to go to ...... for a bit, okay?","Hmm... Just a little, okay?",""
"（このグループも走り込みか。体力作りは大事
だから、自主的にやってくれるのはありがたいな）","(So this group is running too, huh? It's important to build up your stamina. So I appreciate it if you can do things on their own.)","(This group is also running...physical fitness is important!
(So I'm glad you're willing to do it voluntarily.)","(So this group is running too, huh? It's important to build up your
stamina. So I appreciate it if you can do things on their own.)","(This group is running too, huh? It's important to build up
stamina, so I'm grateful that they're doing it on their own.)"
"お～い、みんな～！
ペースが落ちてきてるよ～！　大丈夫？","Hey, everyone! You're slowing down. Are you alright?","Hey, guys!
The pace is slowing down~! Are you okay?","Hey, everyone! You're slowing down. 
Are you alright?",""
"ちょっと……真、速すぎよ……！
もう少し、みんなに合わせなさいよ……！","Hey... Makoto, you're going too fast! You need to keep up with everyone a little longer","Hey ...... true, you're going too fast ......!
Try to be a little more in tune with everyone else. ......","Hey... Makoto, you're going too fast! You need
to keep up with everyone a little longer",""
"ミキ、もうヘロヘロなの……。
プロデューサー……一緒に休憩しよ……？","Miki, you're already exhausted... Producer ... Let us take a break together","Miki, I'm so exhausted. ......
Producers ...... take a break with us ......?","Miki is already exhausted... 
Producer ... Let us take a break together",""
"杏も……限界……。
こんなの、１週間分の体力使ってるってば……","Anzu's... at her limit, too. This is taking a whole week of stamina to get through it all!","Apricots are also ...... marginal .......
This is using a week's worth of energy. ......","Anzu's... at her limit, too. This is taking a
whole week of stamina to get through it all!","Anzu's... at her limit too... 
This is taking a week's worth of stamina... "
"凛世も……
少々苦しく……","Rinze... It's a little painful, too","Rinze also ......
A little bitterly ......","Rinze... 
Also tired too...",""
"そうだな……。
この辺りに休憩できるところは……","Let's see... There are only a few places around here where we can rest","Yes, .......
There is a place to take a break around here: ......","Let's see... There are only a few places
around here where we can rest",""
"あの、この先に喫茶店があったと
思うので、そこで休憩にしませんか？","Um, I think there's a cafe up ahead. Would you like to rest?","Um, I thought there was a coffee shop down the street.
I think, so why don't we take a break there?","Um, I think there's a cafe up
ahead. Would you like to rest?",""
"あんまり無理して走り続けるのも、
よくないと思いますので……","I don't think you should push yourself too hard and keep running..","You can't keep running too hard,
I don't think it's a good idea. ......","I don't think you should push yourself
too hard and keep running..",""
"おぉ～、心白ちゃん！
それだよ、それ！","Ohh, Kohaku-chan! That's it!!","Oh, my heart white!
That's it, that's it!","Ohh,
Kohaku-chan! That's it!!",""
"ミキも賛成なの～♪
喫茶店なら……イチゴババロア、あるかな？","Miki agrees~♪ If we're going to a cafe... do you have strawberry old hag?","Miki agrees~♪
If you're in a coffee shop, do you have ...... strawberry bavarois?","Miki agrees~♪ If we're going to a
cafe... do you have strawberry old hag?","Miki agrees~♪ If it's a cafe... 
I wonder if they have strawberry Bavarian cream?"
"それは、どうでしょうか……？
でも、パフェならあったと思います","How about that...? But I think there was a parfait","How about that: ......?
But I think I had a parfait.","I'm not sure about that...? 
But I think they have parfait",""
"いいわね。
みんなで行きましょう♪","That sounds good. Let's all go together♪","Nice.
Let's all go... ♪","That sounds good.
Let's all go together♪",""
"分かった！　よーし、喫茶店に急ぐぞー！","Got it! All right, let's hurry to the cafe","All right! All right, let's hurry to the coffee shop!","Got it! All right, let's hurry to the cafe",""
"んん～、このパフェ……最高なの♪
やっぱり走った後は、ご褒美の甘いものなの！","Mmm, this parfait... is the best♪ It's a sweet reward after running!","Mmmm, this parfait ...... is the best... ♪
After all, after a run, it's a sweet reward!","Mmm, this parfait... is the best♪
It's a sweet reward after running!",""
"（レッスン中にカフェで休憩……。
こんな調子で大丈夫か心配になるが――）","(I'm taking a break at the cafe during class... I wonder if she will be okay like this, but―)","(Take a break at a cafe during a lesson. ......
(I'm worried about him being okay at this rate--)","(I'm taking a break at the cafe during class...
I wonder if she will be okay like this, but―)","(We are taking a break at a cafe during training...
I'm worried that we'll be okay like this, but...)"
"（このメンバーなら自由にやらせるのもいいか。
伊織なら、みんなをうまく引っ張ってくれるはずだ）","(I guess it's okay to let them do whatever they want with these members. Iori should be able to pull everyone along well)","(With these members, is it okay to let them have free reign?
(Iori should be able to lead everyone well.)","(I guess it's okay to let them do whatever they want with these
members. Iori should be able to pull everyone along well)","(I guess I can let them do whatever they want with these members.
Iori should be able to pull everyone along well.)"
"うんうん。
働いた後には、糖分が欲しくなるからねぇー","Yeah, yeah. After a hard day's work you want sugar too-","Mm-hmm.
After working, you need sugar, you know?","Yeah, yeah. After a hard day's
work you want sugar too-",""
"休憩も大事だけど、もっと私たちにあった
レッスン方法を考えた方がいいわね","Rest is important, but you should think of a better way to give us lessons","Breaks are important, but they are more for us.
I'd better figure out how to give you lessons.","Rest is important, but you should think
of a better way to give us lessons","Rest is important, but we should also think
of a better way to train ourself"
"レッスン方法、ですか？　そうですね……。
あの、なにかいい案を思いついた方、いますか？","How to do it, you say? Let's see... Um. Did anyone come up with a good idea for the lesson we were going on about here at school or something""","Lesson method, is it? Yes, .......
Um, does anyone have any good ideas?","How to do it, you say? Let's see... Um. Did anyone come up with a good
idea for the lesson we were going on about here at school or something","A method of training? Let's see... Um,
did anyone come up with a good idea?"
"う～ん……効率のいい方法かぁ……。
すぐには思いつかないなぁ","Hmm... A more efficient method, huh? I can't think of anything right away that would work out well for me.”""","Hmmm ...... efficient way or .......
I can't think of anything right off the top of my head.","Hmm... A more efficient method, huh? I can't think of
anything right away that would work out well for me.",""
"やっぱり、いっぱい歌やダンスの
レッスンをする……とかでしょうか？","I wonder if they're going to give a lot of singing and dancing lessons...?","After all, there is a lot of singing and dancing
Is it something like ...... that gives lessons?","I wonder if they're going to give a
lot of singing and dancing lessons...?","Maybe by having a lot of singing
and dancing lessons after all?"
"それって、普通のレッスンになるんじゃないの？","Isn't that going to be a normal lesson?","Wouldn't that be a regular lesson?","Isn't that going to be a normal lesson?",""
"えっ……？
えへへっ……言われてみれば、そうですね","Huh...? Hehe, now that you mention it","What, ......?
Hehehe ...... if you ask me.","Huh...? Hehe, now that
you mention it",""
"読書などは……
いかがでしょう……","How about...reading?","Reading and more at ......
How about this: ......","How about...reading?
",""
"何か効率のいい方法が書いてあるかもしれませんね。
……ボイストレーニングの本、とかでしょうか？","There might be some kind of efficient way to do it. ...Maybe a voice training book?","Maybe it says something about how to be more efficient.
Is it a ...... voice training book, or something else?","There might be a book about some efficient way
to do the training. ...Maybe a voice training book?",""
"なるほど……。
基礎の上達にはいいかもしれないね","I see... It might be a good way to improve your basics","I see. .......
Might be a good way to improve your fundamentals.","I see... It might be a good
way to improve the basics",""
"でも……ミキたちは、グループで
動きを合わせるレッスンが中心だよね？","But...Miki and the others mostly focus on matching their movements as a group, right?","But ...... Miki and her friends are a group of
It's all about lessons on matching movements, right?","But...Miki and the others mostly focus on matching
their movements as a group, right?",""
"そうなると……、
また別の方法が必要になりますね","In that case, we'll need another way to do it.""","That would be ......,
We'll need another way to do it.","In that case, we'll need
another way to do it.",""
"楽な方法探しも、楽じゃないんだよね～……","It's not easy to find an easier way..","Finding the easy way isn't easy either - ......","It's not easy to find an easier way..",""
"ふふ……
はい……","Haha... Yes","Hmmm... ......
Yes ......","Haha...
Yes","Heheh...
Yes"
"地道な努力が……
一番……","Hard work...is the best thing to do","A steady effort is ......
Most ......","Hard work...is the
best thing to do",""
"そういうことだな。
何事も積み重ねが大事ってことだ","Exactly. It's important to build up a lot of experience, you know?","That's what I'm talking about.
It's all about accumulation.","Exactly. It's important to build
up a lot of experience, you know?",""
"分かったの！　それじゃあレッスン前に……、
ミキは、やる気をいっぱいにするの♪","Got it! Well then, before the lesson... Miki's going to get all fired up♪","I understand! Okay then, before the lesson, please visit ......,
Miki is full of motivation.Â","Got it! Well then, before the lesson...
Miki's going to get all fired up♪",""
"プロデューサーさん！
パフェ、もうひとつ頼んでもいいですか？","Producer! Can I have another parfait, please?","Producer!
Parfait, can I order another one?","Producer! Can I have
another parfait, please?",""
"ああ、別にいいけど、食べ過ぎないようにするんだぞ","Yeah, I don't really mind but try not to eat too much","Yeah, I don't mind, but try not to eat too much.","Yeah, I don't really mind but try not to eat too much",""
"では、私も……少しだけ、甘いものを……","Well then, I'll have something sweet too..","Well, I'll have a ...... little something sweet for you, too: ......","Well then, I'll have something sweet too..",""
"ボクはなにを食べようかな～？
このパフェもいいし……こっちのパンケーキも……","What should I eat~? This parfait is good... and this pancake here, too","What will I eat?
This parfait is good ...... and these pancakes are also ......","What should I eat~? This parfait is
good... and this pancake here, too",""
"あ、プロデューサー。
杏は休憩時間の延長をお願いね","Oh, Producer. Anzu please extend your break time","Oh, producer.
Anne, please extend the break.","Oh, Producer. Anzu please
extend your break time",""
"みんな！　このあともレッスンなの忘れないでね！
食べ過ぎて苦しくなっても知らないわよ！","Guys! Don't forget that we have lessons after this, okay? You can eat too much and it will be painful for you","Don't forget we have another lesson after this!
I don't know if you eat too much and suffer!","Guys! Don't forget that we have lessons after this,
okay? You can eat too much and it will be painful for you",""
"（このグループを率いていくのは……。
頑張れ伊織！　俺は応援しているぞ……）","(Leading this group is... Good luck, Iori! You have my support.)","(The group will be led by .......
Go Iori, I'm rooting for you (......)","(Leading this group is... Good
luck, Iori! You have my support.)","(Leading this group is... 
Good luck, Iori! I'm rooting for you...)"
"（今日は、貴音たちのグループが行う
特別レッスンを見に行くか……）","(I guess I'll go watch Takane and the others give a special lesson today...)","(Today, a group of noblemen will do
(Go to the special lesson or ......)","(I guess I'll go watch Takane and the
others give a special lesson today...)",""
"それでは、始めましょうか","Well then, shall we begin?","Shall we begin then?","Well then, shall we begin?",""
"特別レッスンでしたら……。
振り付けのおさらいなどいかがでしょうか？","If it's a special lesson... Would you like to review the choreography?","For special lessons, please contact .......
How about a review of the choreography?","If it's a special lesson... Would you
like to review the choreography?",""
"それなら、少し気になるところがあるんだ。
よかったら、聞いてもいいかな？","In that case, there's something bothering me. Would you mind if I asked?","Then I'm a little concerned.
If you want, I can ask you.","In that case, there's something
bothering me. Would you mind if I asked?",""
"て、甜花も……！","T-Tenka too...!","You can also visit ......!","T-Tenka too...!","T-Tenka...!"
"んっふっふ～。真美さんや。亜美たちは亜美たち
なりに時間をユーイギに使うとしようかの～","Heheh. Hey, Mami-san! Ami and the others should be using their time for Yuigi~","Mami and Ami are Ami and Ami are Ami.
I'm going to spend some time in Eugene, I think.","Heheh. Hey, Mami-san! Ami and the
others should be using their time for Yuigi~","Heheheh~ Hey, Mami-san. 
Ami-chan and I will spend our time in our own way too~"
"それは良い考えじゃのう。……時に亜美さんや。
真美、イイコトを思いついたんじゃが……","That's a good idea. ...By the way, Ami-san... I just thought of something nice for you to think about!","That's a good idea...Ami at .......
Mami, I have a good idea: ......","That's a good idea. ...By the way, Ami-san... I
just thought of something nice...!",""
"――パンパカパーン！","――Bang bangbang!","--Pampa Kapan!","――Bang bangbang!",""
"にょっわ～っ！
亜美ちゃんも真美ちゃんもとっても元気だにぃ♪","Nyowaaahh! Ami-chan and Mami are both so energetic♪","Nyowa~!
Ami and Mami are both very energetic.","Nyowaaahh! Ami-chan and
Mami are both so energetic♪",""
"うあうあ～、ゼンゼン効いてないよ～！","Uwaaah, it's not working at all!","Uhhhhhhhhhh, it's not working at all!","Uwaaah, it's not working at all!",""
"そんな～、真美たちのびっくり大作戦が、
通用しないなんて……！","No way! I can't believe the surprise attack by Miami and her friends didn't work..","Oh no - Mami and her friends have a big surprise plan,
I can't believe it doesn't work. ......","No way! I can't believe the surprise
attack by Miami and her friends didn't work..",""
"んっふっふ～♪
きらりんもなかなかやるのう！","Heheh~♪ You're pretty good yourself, Kirari!","Mmm-hmm~♪
Kirarin does quite well!","Heheh~♪ You're pretty
good yourself, Kirari!",""
"だがしかし！　亜美と真美のコンビニとネギ塩には、
きらりんの力も及ばないのじゃー！","But still! Even Kirarin's power is no match for Ami, Mami and Negi Salt at the convenience store","But! For Ami and Mami's convenience store and green onion salt,
Kirarin's power is out of reach!","But still! Even Kirarin's power is no match for
Ami's an mami's Negi Salt at the convenience store",""
"コンビニ……ネギ塩……？　コンビニ……ネギ……
塩……は……っ！　コンビネーション……！","Convenience store... green onion salt? convenience stores. Green onions! Salt, haaahh!! Combination!!!","Convenience store...... green onion salt......? Convenience store...... green onion......
Salt ...... is ......! Combination ......!","Convenience store... green onion salt? convenience
stores. Green onions! Salt, haaahh!! Combination!!!",""
"そうそう、それそれ！
さっすが、テンテン！","Yeah, yeah! That's the Tenten for you","Yes, yes, that's it!
That's great, Tenten!","Yeah, that's it! 
That's the Tenten for you",""
"ええと……あちらは、なにやら盛り上がっている
みたいですね","Um... Looks like they're having a good time over there","Let's see, ......, there's something going on over there.
Looks like it.","Um... Looks like they're
having a good time over there",""
"仲良きことは、美しきこと。
交流を深めるのも良いかと","Being friends is a beautiful thing. I think it'd be nice to deepen our relationship, too""","What is good with each other is beautiful.
I thought it would be nice to get to know each other better.","Being friends is a beautiful thing. I think
it'd be nice to deepen our relationship, too",""
"（貴音、慣れたものだな。亜美、真美のいたずらにも
動じることなく、淡々と準備を進めているぞ）","(Takane, you've gotten used to it. Ami is not fazed by your pranks and continues preparing without a care in the world)","(Takane, you're used to it...and to Ami and Mami's shenanigans.
(They are preparing for the event without moving.)","(Takane, you've gotten used to it. Ami is not fazed by your
pranks and continues preparing without a care in the world)","(Takane is quite accustomed to this. Without being affected
by the pranks of Ami and Mami, she calmly continues with
the preparations.)"
"うん……
甜花……振り付け……覚える……","Okay... Tenka, I'm going to learn the choreography","Yeah ......
Beet flower...... choreography...... memorize......","Okay... Tenka... 
going to learn the ...choreography",""
"甜花ちゃん、
動きやすいように、髪まとめる？","Tenka-chan, do you want to tie up your hair so it'll be easier for her?","Beet Hana,
Do you want to put your hair up so you can move around more easily?","Tenka-chan, do you want to tie up your
hair so it'll be easier for you?",""
"うん……！
なーちゃん、ありがと……！","Yeah! Thanks, Naa-chan..","Yeah. ......!
Nah, thanks, ......!","Yeah! Thanks,
Naa-chan..",""
"ポニテかな～、それともお団子？","Maybe it's a ponytail, or maybe dango?","Is it a ponytail - or a dumpling?","Maybe it's a ponytail, or maybe a hair bun?",""
"動きやすくてもかわいー方がいいよね☆","Even if it's easy to move around in, cute is better☆","It's better to be cute even if it's easy to move.","Even if it's easy to move around in, cute is better☆",""
"なんだか、甘奈さんたちも、
時間がかかりそうですね……","Looks like it'll take some time for Amana and the others, too..","It's kind of like Amana and the others,
It's going to take some time. ......","Looks like it'll take some time
for Amana and the others, too..",""
"ふふ……。
では、紬。先に始めておきましょう","Hehe... Well then, Tsumugi. Let's get started first","Heh. .......
Let's start first.","Hehe... Well then, Tsumugi.
Let's get started first",""
"……は、はいっ！
よろしくお願いします！","O-Okay! I'll be counting on you","......, yes!
Best regards!","O-Okay! I'll be
counting on you",""
"（貴音が本気の表情だ……これは練習終わらないぞ！
ほどほどで俺がストップをかけないとな）","(Takane looks serious... This isn't the end of practice! I have to stop her in moderation.)","(Takane has a serious look on his face. ...... This is a practice that won't end!
(I'll have to put a stop to that myself in moderation.)","(Takane looks serious... This isn't the end of
practice! I have to stop her in moderation.)","(Takane looks serious... This isn't the end of
practice! I have to stop her in moderation.)"
"（どのグループも、活動の合間に練習を続けている。
今日は、どのグループの様子を見に行こうか……）","(All of the groups continued to practice during their breaks. Which group should I check up on today...?)","(All groups continue to practice in between activities.
(Which group should we go see today: ......)","(All of the groups continued to practice during their
breaks. Which group should I check up on today...?)",""
"春香たちのグループ","Haruka's group","Haruka and her group","Haruka's group",""
"千早たちのグループ","Chihaya's group","Chihaya's group","Chihaya's group",""
"伊織たちのグループ","Iori's group","Iori's group","Iori's group",""
"貴音たちのグループ","Takane's group","Groups of noblemen","Takane's group",""
"どうだ？
特別レッスンの調子は？","How's the special lesson going?","What do you think?
How are the special lessons going?","How's the special
lesson going?",""
"プロデューサー！
自分たち、ばっちりだぞ！","Producers! We're perfect for this","Producer!
We're right on top of it!","Producers! We're
perfect for this",""
"あれからも外で練習することが多かったんですけど、
なんだか、ちょっと体力がついたような気がします","I've been practicing outside a lot since then, but it feels like my stamina has improved","I've been practicing outside a lot since then as well,
I kind of feel like I have a little more stamina.","I've been practicing outside a lot since then,
but it feels like my stamina has improved",""
"はい！　ナナも、体力切れでバテることが
少し減った気がしますよ♪","Yes! I feel like you've run out of stamina, so your fatigue has decreased a little♪","Yes!
I think it's a little less... ♪","Yes! I feel like you've run out of stamina,
so your fatigue has decreased a little♪",""
"はいっ！
元気も体力もばっちりですっ！","Yes! I've got the energy and stamina to go all out right now, too""","Yes!
I am full of energy and stamina!","Yes! I've got the energy and stamina
to go all out right now, too""","Yes!"
"日々の鍛錬は実を結び、
内なる魔力は日増しに高まっているわ！","My daily training has borne fruit, and my inner mana is growing by the day!","Daily training pays off,
My inner magic is growing by the day!","My daily training has borne fruit, and
my inner mana is growing by the day!",""
"（これも、日々の練習のおかげですね！）","(This is all thanks to my daily practice!)","(And that's all thanks to the daily practice!)","(This is all thanks to my daily practice!)",""
"河川敷までついていくのは、きつかったぞ。
あれだけ走ったんだ、大分体力がついたんじゃないか","It was tough to keep up with her all the way downriver. After running so much, she's got a lot more stamina now that I think about it""","It was tough to follow you to the riverbed.
After all that running, you must have gained a lot of strength.","It was tough to keep up with her all the way downriver. After running
so much, she's got a lot more stamina now that I think about it",""
"あれ、でも……基礎トレはいっぱいやったけど……。
楽曲の練習ってあんまりやってないような……？","Huh? But... I've been doing a lot of basic training, but now that you mention it. You don't really practice your music much at all!","That, but I did a lot of ...... basic training. ......
It seems like you don't practice your music much ......?","Huh? But... I've been doing a lot of basic training, but now that
you mention it. You don't really practice your music much at all!",""
"はわっ！　そ、そうかもしれないです……！
プロデューサー、どうしましょうーっ！","Whoa! Y-You might be right... What should we do, Producer?","Huh! Yes, you may be right. ......
Producer, what should I do?","Whoa! Y-You might be right...
What should we do, Producer?",""
"大丈夫。体力がついた分、
楽曲の練習は、これから頑張れば取り戻せると思うぞ","Don't worry. Now that you have more stamina, I think we should be able to get back our music practice from here on out!","I'll be fine...as long as I have my strength,
I'm sure you'll get your music practice back if you keep working on it.","Don't worry. Now that you have more stamina, I think we should
be able to get back our music practice from here on out!",""
"まだ前半パートの合わせ途中ですが、
いい感じですよ","We're still working on the first half, but it looks good","We are still in the process of matching the first half part,
It's looking good.","We're still working on the
first half, but it looks good",""
"私たちのレッスンの成果も上々さ。
これは、律子と千早がまとめてくれているおかげかな","The results of our lessons are excellent as well. This is all thanks to Ritsuko and Chihaya putting it together","Our lessons have been very successful.
I guess this is thanks to Ritsuko and Chihaya putting it all together.","The results of our lessons are excellent as well. This
is all thanks to Ritsuko and Chihaya putting it together",""
"私も大助かりだわ～♪
ふたりとも、ありがとう","You've been a big help to me, too~♪ Thank you both","I'd be a big help too!!!
Thank you both.","You've been a big help to
me, too~♪ Thank you both",""
"お役に立ててうれしいです","I'm glad to be of service","Glad to be of service.","I'm glad to be of service",""
"でも、アタシたち、めっちゃ上達したよね？
レッスンに集中できたっていうかさ★","But we've gotten a lot better, right? We were able to focus on the lesson. ★","But we have improved so much, haven't we?
I was able to concentrate on my lessons.","But we've gotten a lot better, right?
We were able to focus on the lesson. ★",""
"うん、美嘉ちゃんの言う通りだと思うよ。
私も、少しだけ自信ついたかも……","Yeah, I think you're right. Maybe it makes me a little more confident..","Yeah, I think Mika is right.
I think I may have gained a little confidence, too: ......","Yeah, I think you're right. Maybe it
makes me a little more confident..",""
"みんなが頑張った成果が出てるんじゃないかな。
基本の反復は、単純なようで一番大変だと思う","I think everyone's been working hard. The basic repetition seems simple, but it must be the most difficult thing to do","I think everyone's hard work is paying off.
Repetition of the basics seems simple, but I think it's the hardest part.","I think everyone's been working hard. The basic repetition
seems simple, but it must be the most difficult thing to do",""
"毎日コツコツとレッスンしてきましたからね。
身体が覚えてきた感じがします","I've been giving lessons every day. It feels like my body is starting to learn them all!","I've been working hard and taking lessons every day.
I feel like my body is learning.","I've been giving lessons every day. It feels
like my body is starting to learn them all!",""
"この調子なら、月末のライブで、
とってもいいパフォーマンスができそうね♪","At this rate, it looks like we'll be able to put on a great performance at the end of month. ♪","At this rate, we'll be live at the end of the month,
It's going to be a very good performance.","At this rate, it looks like we'll be able to
put on a great performance at the end of month. ♪",""
"うんうん。いい感じじゃないか！
みんな、この調子で頼むぞ！","Yeah, yeah. That's a good one! Keep it up for me everyone","Yeah, yeah, it looks good!
Keep up the good work, guys!","Yeah, yeah. That's a good one!
Keep it up for me everyone",""
"特別レッスンは……
順調でございます……","The special lessons are going well..","Special lessons are available at ......
We are doing well. ......","The special
lessons are going well..",""
"はい！　とってもいい感じですよね♪","Yes! It feels really good, doesn't it?","Yes! It's very nice.","Yes! It feels really good, doesn't it?",""
"そうなの！
ミキもバッチリって思うな♪","That's right! Miki thinks it was perfect too♪","Yes, it is!
Don't think Miki is perfect either.","That's right! Miki thinks
it was perfect too♪",""
"バッチリ！？
そ、そうだったのか……？","Perfect!? I-Is that so..","Batch!
So, was it ......?","Perfect!?
I-Is that so..",""
"特別レッスンの後、みんなで喫茶店で
お話もたくさんしたんですよ","After our special lesson, we all talked a lot at the cafe","After the special lesson, we all went to a coffee shop.
We talked a lot.","After our special lesson, we
all talked a lot at the cafe",""
"……ご褒美ってやつだよ。
ええと、飴と鞭……的な感じ？","...It's a reward. Um, like... candy and whipping?","It's called a ...... reward.
Uh, candy and whip ...... kind of thing?","...It's a reward. 
Um, like... candy and whipping kind of thing?",""
