"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"あはは、ゴメン！　けど、最初にアタシたちを
驚かそうとしたのは、真美ちゃんじゃん！","","But first, let's get us out of here.
You tried to surprise me, Mami!","","Ahaha, soz'! But, but the one trying to scare us first 
was Ami-chan, no?",""
"う、そ、それを言われると、言い返せない……。
ごめんなさーい！","","Ugh, well, when you say it, I can't say it back. ......
Sorry!","","Uh, i-if you put it like that I have no comeback....
I'm sorry!",""
"それじゃあ、きも試しをやり直しましょう！
今度は３人一緒に！","","Then let's redo the Kimo test!
Now the three of us together!","","Alright, let's do this test of courage again!
All together this time!",""
"果穂ちん、オッケーだよ！
それじゃ、真美探検隊、もっかいしゅっぱーつ！","","Kaho, it's okay!
Well then, Mami Expedition, mokkaishuppatsu!","","Okay, Kaho-chin!
Well then, Ami investigation squad, roll out!",""
"（肝試しツアーはその後も続き、終わるころには
３人に強い一体感が生まれたようだ！）","","(The test of courage tour continued, and by the time it was over
(Seems to have created a strong sense of unity among the three!)","","(After the test of courage tour, the 3 of them
seemed to have developed a strong sense of unity!)",""
"（今日は貴音の提案で、
近くの神社に行くことになった……）","","(Today, at the suggestion of Takayuki,
(We're going to a nearby shrine: ......)","","(At Takane's suggestion, we decided to visit a nearby shrine today...)","(At Takane's suggestion, we decided
to visit a nearby shrine today...)"
"真、風情のある場所で、心が落ち着きます","","True, it is a quaint place and calming!","","It's really relaxing in a place with lots of elegance.",""
"はい、私もそう思います。……見てください、
狛犬がありますよ。なんだか、可愛いですね！","","Yes, I agree, see ......,
There are komainu, which are kind of cute!","","Yes, I think so too. ...Look, there's a
Lion-dog. It's kind of cute!",""
"ええ。
せっかくだから、写真を撮ろうかと","","Yes.
Since we're here, I thought I'd take a picture.","","I agree.
While we're at it, let's take some pictures.",""
"……すごく静かな所ね。こんな場所があるなんて
知らなかったわ。都会の喧騒が嘘みたい","","......It's so quiet here, I didn't know such a place existed.
I didn't know that...all the hustle and bustle of the city just doesn't seem real.","","...It's so quiet here. I never knew there was a place like this in the city, it feels as if all that hustle and bustle is just lying around...","...It's so quiet here. I never knew there was a place like this in the
city, it feels as if all that hustle and bustle is just lying around..."
"はぁ……はぁ…‥石段……登るの……疲れたぁ！
貴音さーん、あっちの木陰で休憩しようよー","","I'm tired of climbing ...... the stone steps!
Takane-san, let's take a rest in the shade of the tree over there!","","*pant*... *pant*... Climbing... stairs is... too tiring! 
Takane-san, let's rest at that bower-",""
"小鳥のさえずり……
趣が……あります……","","A Little Bird's Chirp: ......
There is a quaint ...... ......","","The chirping of little birds...
How... charming...",""
"事務所の近くにこんな場所があるなんて
知らなかったわ。けど、階段が少し大変だったわね","","I can't believe there is a place like this so close to my office.
I didn't know that, but the stairs were a little daunting.","","I never knew there was such a place near our office.
But, the stairs are quite troublesome...",""
"凛世も……","","Rinze also ......","","Rinze agrees...",""
"ですが……
風が心地よく……","","But ......
Breezy and comfortable ......","","However... 
The breeze is nice...",""
"ええ。疲れた体によい風あたりです。
おや？　あそこにあるのは、手水でしょうか","","Yes, it is a good windfall for a tired body.
Oh? Is that a handbasin over there?","","Yes. It's a good wind for my tired body, after all...
Hm? Is that the washcloth over there.",""
"そうみたい……。ひんやりしていて気持ちいい……。
凛世ちゃんも、一緒にやらない？","","It looks so ....... It's nice and cool .......
Rinyo, why don't you join us?","","Looks like it... It feels nice and cool.
Why don't you join us, Rinze-chan?",""
"はい……
歌織さん……","","Yes ......
Ms. Utaori: ......","","Yes
Kaori-san...",""
"ふふ……冷たくて……
気持ちいいです……","","Hmmm ...... cold ......
It feels good. ......","","Heheh... It's so cold.
It feels so good...",""
"しばし世俗のことを忘れ、
自然に身を任せるのもよいでしょう","","Forget about the world for a while,
Let nature take its course.","","It's good to forget worldly affairs for a while and 
surrender yourself naturally.",""
"そうね。もう少しだけ、
ここでのんびり過ごしましょうか","","Yes, just a little more,
Shall we just relax here?","","That's right. We should spend a little more time here, 
just to relax and enjoy the view...",""
"（貴音が教えてくれた場所で、長閑な時間を過ごす
３人。心身ともにリフレッシュできたみたいだな！）","","(Spend a long and quiet time in the place that Takayune taught me about.
(Three...looks like you've refreshed yourself both mentally and physically!)","","(The three of them are relaxing in the place you told me about. They are refreshed, body and soul!)","(The three of them are relaxing in the place you told
me about. They are refreshed, body and soul!)"
"（今日は響の提案で、
ボウリングをすることになった……）","","(Hibiki's suggestion today,
(We're going bowling: ......)","","(Hibiki suggested we go bowling today...)","(Hibiki suggested we
go bowling today...)"
"ルミナス対抗ボウリング大会だぞ！　自分、
ボウリングは得意だから、絶対に負けないさー！","","It's the Luminous Intercollegiate Bowling Tournament! Myself,
I'm good at bowling, so I'll never lose!","","It's the inter-Luminous bowling tournament! Bowling's my
specialty, so I'm definitely not losing!",""
"なかなかうまくいかないわね。
投球フォームか、球の重さか……改善が必要だわ","","It's not going so well.
It's either the pitching form, or the weight of the pitch. ...... needs improvement.","","I'm not doing very well. 
My form, the ball's weight... Lot's of improvements to be made",""
"へへっ、やーりぃ！　またストライクだ！
今日はなんだか調子がいいみたい！","","Hehehe, yay! Another strike!
He's feeling kind of good today!","","Hehe, awwright! Another strike! 
I'm really on a roll today!",""
"あれ？　ちょっとミスしちゃった。うーん、
スプリットかぁ……。よし、集中してもう一度！","","Oh, I made a mistake,
Split. ....... Okay, let's concentrate again!","","Huh? I messed up a little. Hmm, it's split... Okay!
Let me try again and focus on the task at hand!!",""
"……またスペア、か。
今日はなかなか１回で決められないね","","...... Spare again, huh?
It's hard to make a single decision today.","","....Another Spare, huh.
I don't seem to able to do it in one shot today",""
"ボウリングは……奥深く……
また……ガター……","","Bowling is ...... deep ......
Also ...... gutter ......","","Bowling is... complex.... 
Another... gutter....",""
"やるからには、勝利あるのみね。
ボウリングが頭脳戦だってこと、教えてあげるわ","","We have to win, because we're going to do it.
I'll show you that bowling is a brain game.","","If we're doing it, I'm going for the victory.
I'll show you that bowling's actually about mind games.",""
"抜群の運動神経を誇る響と、
頭脳明晰な律子……","","With Hibiki, who boasts of his outstanding athleticism,
Ritsuko with a clear head: ......","","Hibiki boasted exceptional athleticism, and Ritsuko was smart...","Hibiki boasted exceptional
athleticism, and Ritsuko was smart..."
"栄えあるふたりと対戦できるとは光栄の極みだ。
けど、負けるわけにはいかない","","It is a great honor to be able to play against these two honored individuals.
But we can't lose.","","It's an honor to have the chance of playing against two glorious players.
But I can't lose.",""
"それじゃ、さっそく自分から行くぞ！
うおりゃあ～！！！","","Well, then, let's get on with it and go from there myself!
Oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!","","All right, let's go!
Uoryaaahh!!!",""
"今回は私の勝ちのようね。
事前に投球フォームを見直していてよかったわ","","Looks like I win this time.
Good thing I reviewed my pitching form beforehand.","","Looks like I won this time.
I'm glad we reviewed your pitching form beforehand.",""
"フフ、私も今回は調子が良かったようだ。
……だけど響、少し力みすぎなんじゃないか","","Huh, I guess I was in better shape this time too.
...... but Hibiki, I think you're putting a little too much effort into this.","","Haha, it seems I was in good condition this time.
...But Hibiki, aren't you putting a little too much force into this?",""
"たしかに絶対に負けないぞって気持ちが
先走っちゃった気もするけど……","","It's true that I'm determined not to lose.
I feel like I'm getting ahead of myself. ......","","It's true that I was a little ahead of myself 
when it came to winning, but...",""
"うがー、納得いかないぞー！
ふたりとも、もう１回勝負だっ！","","Ugh, I'm not convinced!
Both of us had to play one more game!","","Gah, I can't accept this!
Let's have another round, you two!",""
"フフ、それでこそ響だよ……！
ではここからが本当の勝負かな","","Huh, that's how it sounds. ......
Well, then, I guess this is where the real fight begins.","","Hehe, that's Hibiki for you...!
Well then, the real battle begins now.",""
"そうね。体も温まってきたことだし、
勝負はこれからね。響、咲耶、どんどん行きましょ？","","Yes, my body is warming up,
The game is just beginning, Hibiki, Sakuya, let's keep it moving, shall we?","","That's right. Now that my body has warmed up,
the battle is just getting started! Hibiki... Sakuya? Let us keep going~",""
"自分も、まだまだ本気出してないからね！
よーし、どんどん行くぞー！","","I, too, haven't really gotten into it yet!
Okay, let's keep going!","","I haven't even gotten serious yet!
All right, let's keep going!",""
"楽しい時間はまだこれからというわけだね。
フフ、今日はよい１日になりそうだ","","So the good times are yet to come.
Well, today is going to be a good day.","","I guess the fun times are just getting started.
Haha. Looks like today'll be a good day for us, huh?",""
"ええ、咲耶。
とことん楽しみましょう♪","","Yes, Sakuya.
Enjoy it as much as you can...","","Yes, Sakuya.
Let's enjoy ourselves to the fullest.♪",""
"（その後も一進一退、熱いゲームが続いた。勝負を
終えた３人は、とても充実した表情をしていたぞ！）","","（The game went back and forth, and the game continued to heat up.
(The three of you looked so content when you finished!)","","(After that, the game went back and forth.
The three of them had very satisfied expressions after their match!)",""
"（今日は伊織の提案で、
食べ歩きをすることになった……）","","(Iori's suggestion today,
(We're going to eat our way through the food: ......)","","(At Iori's suggestion, 
we decided to go out and eat...)",""
"いろんなお店があって迷うわね……。
みんなのオススメを教えてもらえるかしら？","","There are so many different stores to choose from. ......
Can I get everyone's recommendations?","","There's so many different stores...
Can you recommend it to me?",""
"たい焼きはどうかな？
色々な味があって、選ぶのも楽しいと思うよ","","How about taiyaki?
There are so many different flavors to choose from!","","How about some taiyaki?
There's a lot of different flavors, and I think it would be fun to choose.",""
"うわぁ、焼き鳥のいい匂い……。
悩みますけど～……ナナはスイーツが食べたいです！","","Wow, smells good of grilled chicken. ......
I'm having trouble though - ...... Nana wants to eat sweets!","","Wow, the smell of yakitori...
I'm worried, but... Nana wants to eat sweets!",""
"我は禁断の果実を所望するわ！　フフッ、果実に纏う
黄金の霊薬が、生命を潤すわね……","","I desire the forbidden fruit!
That golden elixir of life. ......","","I wish for the forbidden fruit! Heh.
The golden elixir wrapped around it will quench my thirst...",""
"（あのハンバーガーを食べてみたいです。
チーズたっぷりですごく美味しそうー♪）","","(I would love to try that hamburger.
It looks so delicious with lots of cheese!)","","(I'd like to try that hamburger.
It looks really delicious with lots of cheese!♪)",""
"凛世は……
チョコレートの、飲み物を……","","Rinze can be found at ......
Chocolate's, drink at ......","","As for Rinze...
I'll get you a chocolate drink...",""
"あ！　あそこのクレープ屋さん！
この前テレビに出てたとこだ！　行ってみない！？","","Ah! That crepe shop over there!
I saw this place on TV the other day!","","Hey, that crepe stand over there!
She was on TV the other day! Wanna go check it out?",""
"食べ歩きといえば、お肉屋さんのコロッケとか、
焼き鳥なんて、すっごく美味しいですよね！","","Speaking of eating out, I'm thinking of croquettes from a butcher shop,
Yakitori is soooo delicious!","","Speaking of walking around eating, the croquettes
and yakitori at a butcher's place are really good!",""
"えへへ、片手で食べられるし、いいよね！
あ！　あのお店のコロッケ、美味しそう☆","","Ehehe, I can eat with one hand!
Oh! The croquettes at that restaurant look delicious☆!","","Hehe, I can eat it with one hand. That's great!
Ah! That croquette looks delicious.☆",""
"コロッケ食べた後、クレープとかどうかな？
食事とデザートって感じで！","","After eating croquettes, how about crepes?
It's like a meal and dessert!","","How about a crepe after we eat some croquettes?
It's like a meal and dessert!",""
"クレープ、甘くておいしいですよね～。
あっ！　タ、タピオカドリンクも売ってますよ！！","","Crepes, sweet and delicious!
Oh! They also sell tapioca drinks!","","The crepes are sweet and delicious, aren't they?
Oh! They sell tapioca drinks, too!!",""
"ち、ちょっと菜々、
急にテンション上がったけど、どうしたの？","","Hey, hey Nana,
You suddenly got excited, what's going on?","","H-Hey, Nana. What's gotten
into you all of a sudden?",""
"伊織ちゃん！　タピオカと言えば、ナウでヤングな
ＪＫの必需品じゃないですかっ！","","Iori! Speaking of tapioca, the young and young-at-heart
Isn't it a necessity for JK?","","Iori-chan! Speaking of tapioca, it's 
a necessity for young JK nowadays!!",""
"ナウで、ヤング？
菜々ちゃん、面白い言葉使うんだねっ☆","","Now, Young?
Nana, you use such interesting words☆.","","Now, young?
Nana-chan, you use some interesting words.☆",""
"い、いやぁ～、あはは……
最近のマイブームでして、キャハッ！","","No, no, haha ......
It's my boom these days, cahaha!","","N-Noooo, aha ha...
It's my latest fad, yay!",""
"タピオカドリンクね。クレープと一緒に買えば
いいんじゃない？　さっそく買いに行きましょ♪","","Tapioca drink, if you buy it with the crepe.
Let's go out and buy it!","","It's a tapioca drink. Why not buy it with the crepe?
We can go and get some right away!♪",""
"ねぇ、伊織ちゃん。食べた後でいいんだけど、
甜花ちゃんやみんなにお土産買っていこうよ☆","","Hey, Iori, it's okay after you eat,
Let's buy souvenirs for Tetuka and everyone else☆.","","Hey, Iori-chan. It's okay if we buy some souvenirs
for Tenka and the others after eating them!☆",""
"あら、名案ね。にひひっ♪　せっかくだからメニュー
にある商品、全種類買っていってあげようかしら？","","Oh, that's a good idea.
I'll buy you all kinds of products in the ""I'll buy you all kinds of products in the","","Oh, that's a great idea. Heheh! ♪ Since we have the opportunity to do so... Maybe I should buy you all kinds of products on my menu?","Oh, that's a great idea. Heheh! ♪ Since we have the opportunity to
do so... Maybe I should buy you all kinds of products on my menu?"
"（お土産のクレープとタピオカドリンクは、
みんな大喜びで、大好評だったようだ）","","(Souvenir crepes and tapioca drinks are,
(Everyone was overjoyed, and it seemed to be a big hit.)","","(Everyone loved the crepes and tapioca drinks we brought back.)","(Everyone loved the crepes and tapioca
drinks we brought back.)"
"（今日は亜美の提案で、
日帰りキャンプをすることになった……）","","(Today was Ami's suggestion,
(We are going to do a day camp ......)","","(At Ami's suggestion, we decided to make a day camp today...)","(At Ami's suggestion, we decided
to make a day camp today...)"
"亜美キャンプ隊隊員の諸君！　ズバリ、
何をして遊びたいか、意見を聞かせてくれたまえ！","","Ami campers!
Let me know what you want to play with and I'll give you my opinion!","","Ladies and gentlemen of the Ami Camp! What exactly do you want to play?","Ladies and gentlemen of the Ami Camp!
What exactly do you want to play?"
"風景や、皆の様子を撮影するのはどうかしら？","","How about taking pictures of the scenery and the people?","","Why don't we take a picture of the scenery and everyone?",""
"山菜採りとか、どうかな？
妹や弟たちへのお土産にもなるかなーって！","","How about picking wild vegetables?
I thought it would be a good souvenir for my sister and brothers!","","How about picking some wild vegetables?
I thought it might make a good souvenir for my little sisters and siblings!",""
"都会の喧騒を離れ、ただ風に身を委ねる……。
たまには、そのような時間もよいかと","","Leave the hustle and bustle of the city and just surrender to the breeze. ......
I thought it would be good to have such a time once in a while.","","Leaving the hustle and bustle of town behind, I simply surrendered myself to wind...
I thought it would be nice to spend some time like that.",""
"ナナは、近くの川原とかで遊びたいです！
石切りとか、懐かしいですよね～","","Nana would like to play at a nearby riverbank or something!
I miss stone cutting and all that!","","Nana wants to play at the nearby riverbed!
Stonecutting sure brings back memories, doesn't it?",""
"山頂までハイキングする、というのはどうだろう？
きっと素晴らしい景色が見れると思うよ","","How about hiking to the top of the mountain?
I'm sure you'll get some great views.","","How about hiking to the top of a mountain?
I'm sure you can see a great view.",""
"遊び……と言われても、特に思いつかないのだけど。
そういう亜美は、何かいい案があるの？","","I can't think of anything in particular when you say play .......
Do you have any good ideas for such an Ami?","","Play...? I can't think of anything in particular.
Do you have any good ideas, Ami?",""
"千早お姉ちゃん、よくぞ聞いてくれた！
ずばり、二人鬼ごっこだよ！","","Chihaya-sis, I'm glad you asked!
It's a game of tag between two people!","","Chihaya-oneechan, I'm glad you asked!
Let's play tag!",""
"え？　ふたりで鬼ごっこをするの？","","What, are you two going to play tag?","","Huh? We're going to play tag together.",""
"ほんじゃ、さっそく亜美が鬼でゲームスタート！
はい、たーっち！　ってことで、やよいっちが鬼ー！","","So, let's start the game with Ami as the demon!
So, Yayoichi is the devil!","","All right, let's start the game with Ami being a demon!
Okay, Ta-cchi! Yayoicchi's the ogre of yooooouuustieeeeerrrrghn!!",""
"んっふっふ～！
亜美は、スタコラさっさと逃げるよー！！","","Mmmmmm~!
Ami is going to run away quickly, staccato!","","Nfu fu !
Ami, hurry up and run away!",""
"もうっ、急に始めるんだから……。
こらー、亜美ー！","","Oh, God, you're starting so suddenly. ......
Hey, Ami!","","Geez, you're starting so suddenly...
Hey, Ami!",""
"うあうあー、やよいっち速いって！　フフフ、
どうやら本気を出さねばならないようだーっ！","","Uuahhhh, Yayoichi is fast!
Looks like I'm going to have to get serious!","","Wow, Yay-Yay! You're fast. Haha... Looks like I have to go all out on this one for goodness sake?","Wow, Yay-Yay! You're fast. Haha... Looks like I have
to go all out on this one for goodness sake?"
"亜美ー、絶対に捕まえるからねー！","","Ami - I'm going to get you, I promise!","","Ami, I'll definitely catch you!",""
"亜美、高槻さん、ちょっと……。
……二人とも、聞こえていないみたい","","Ami, Takatsuki-san, a little .......
...... Neither of you seem to hear me.","","Ami, Takatsuki-san...
...It looks like neither of you can hear me.",""
"そうだ、せっかくだから
二人の様子を撮影しようかしら","","Yes, since we're at it.
Maybe I should film the two of them together.","","Oh, while we're at it I might as well take a picture of them.","Oh, while we're at it I might
as well take a picture of them."
"……走っているから、写真が撮り辛いわ。
けど、楽しい","","I'm running ...... so it's hard to take pictures.
But it's fun!","","...It's hard to take a picture while running.
But it's fun.",""
"こういう写真を撮る機会もあまりないし、
もう少しだけ、撮ってみよう","","I don't get many opportunities to take pictures like this,
Let's take a few more shots.","","I don't get many chances to take photos like this, so let me try taking a few more.","I don't get many chances to take photos like
this, so let me try taking a few more."
"（鬼ごっこの後は、３人で一緒に色々な遊びをして、
充実したオフを過ごしたようだ！）","","(After a game of tag, the three of us played a variety of games together,
Looks like you had a great time off!)","","(After the game of tag, we played a lot together and had fun off-duty!)","(After the game of tag, we played a
lot together and had fun off-duty!)"
"（今日はあずささんの提案で、
占いグッズの専門店に行くことになった……）","","(Today, Azusa's suggestion,
(I'm going to a store that specializes in fortune-telling goods: ......)","","(At Azusa's suggestion, we ended up going to a fortune-telling store today...)","(At Azusa's suggestion, we ended up
going to a fortune-telling store today...)"
"色々な占いの本があって、迷ってしまうわ。
みんなは、何か興味のある占いってあるかしら？","","There are so many different fortune-telling books out there, it's hard to keep track.
Is there any kind of fortune telling that interests you?","","There are so many fortune-telling books, I'm getting lost.
Do you guys have any fortune-telling that interests me?",""
"んー。ミキ的には楽しいカンジの占いがいいって
思うな。例えば……宝石占いなんてどう？","","Well, Miki said she wanted a fun kind of fortune-telling.
I think, for example, how about ...... gemstone readings?","","Hmm. I think it'd be good to have a fun fortune-telling session with Miki, like... jewelry readings?","Hmm. I think it'd be good to have a fun
fortune-telling session with Miki, like... jewelry readings?"
"占星術なんてどうですか？　すごく幻想的で
大人なあずささんに似合ってると思いますぅ","","How about astrology? It's so fantastic.
I think it suits the mature Azusa-san.","","How about astrology? I think it'd look great on you. You seem really fantastical and mature, Azusa-san","How about astrology? I think it'd look great on you.
You seem really fantastical and mature, Azusa-san"
"ペット占い？　へぇ、飼っている動物の行動で
占うんだ。あずささん、これがおすすめさー！","","Pet horoscope? Heh, by the behavior of your animal.
Divination, Azusa-san, this is what I recommend!","","Pet fortune-telling? Huh, so you do it based on the behavior of your pets. Azusa! I recommend this one~","Pet fortune-telling? Huh, so you do it based on the
behavior of your pets. Azusa! I recommend this one~"
"あずささん！　ヒーロー占いはどうですかっ！
レッドが大吉で、スッゴく強そうです！","","Azusa-san! How about Hero Fortune Telling?
Red is very lucky and looks very strong!","","Azusa! How about some hero fortune-telling?
Red is great luck, and he looks really strong!",""
"あの……三浦さん……
夢占い……どう、かな……？","","That ......Miura-san ......
How do you like ...... your dream reading, or ......?","","Um... Miura-san?
Dream divination... What do you think?",""
"あまり詳しくないですけど、あずささんなら、
占星術やタロット占いなんてどうですか？","","I don't know much about it, but Azusa-san would,
How about astrology or tarot reading?","","I don't know much about it, but how would you like to do some astrology and tarot readings?","I don't know much about it, but how would you
like to do some astrology and tarot readings?"
"ねぇねぇ、二人とも！　『開運おにぎりくじの本』
だって！　中身の具で運勢を占うなんて面白いの♪","","Hey, hey, you two!
It's funny how you can tell your fortune by what's inside!","","Hey, you two! 『Kaiun Onigirikuji no Hon』
Because! It's fun to predict your fortune by the ingredients inside.♪",""
"食べたおにぎりの具で運勢を占うのね。今日は、
梅干しは大吉、鮭は中吉……。うふふ、面白いわ","","You divine your fortune by the ingredients of the rice ball you eat,
Dried plums are great luck, salmon is medium luck. ....... ugh, that's funny.","","You're going to use the onigiri ingredients you ate for fortune-telling, right? Today we have umeboshi (pickled plums) with Daikichi and salmon with Chuukyoshi... Heheh. That sounds fun enough as it is!","You're going to use the onigiri ingredients you ate for fortune-telling, right? Today we have umeboshi
(pickled plums) with Daikichi and salmon with Chuukyoshi... Heheh. That sounds fun enough as it is!"
"でも、これっておにぎりを食べないと、
占えないってことだよね……","","But this means I have to eat a rice ball,
It means you can't divine. ......","","But this means that you can't divine your fortune without eating onigiri...","But this means that you can't divine your
fortune without eating onigiri..."
"それなら大丈夫なの！　ミキ、毎日たくさんおにぎり
食べるから☆　毎日が大吉だよ♪","","Then it's okay! Miki, lots of rice balls every day!
I'll eat it☆ Every day is a big lucky day♪","","Then it's fine! Miki will eat a lot of onigiri every day☆ Everyday is great luck.♪","Then it's fine! Miki will eat a lot of onigiri
every day☆ Everyday is great luck.♪"
"毎日が大吉なんて、幸せよね。
せっかくだから、買っちゃおうかしら","","It's such a blessing to have great luck every day.
I might as well buy it, since I'm here.","","Every day is great luck.
I might as well buy it while I'm here, too.",""
"賛成なの！　あとは小鳥に頼んで、毎日事務所に
おにぎりを用意してもらえばカンペキだって思うな","","I'm all for it! Now I just need to ask a little bird to come to my office every day.
Don't think that having onigiri prepared will make it perfect.","","I agree! Now we just have to ask Kotori and get onigiri ready at the office every day.","I agree! Now we just have to ask Kotori and
get onigiri ready at the office every day."
"あ、それなら私がお茶を入れるね。
最近新しい茶葉を買ったんだ","","Oh, I'll make the tea then.
I recently bought some new tea leaves.","","Oh, I'll make some tea.
I recently bought a new tea leaf.",""
"うふふ、とっても楽しみだわ♪","","Mmmm, I'm really looking forward to it...","","Hehe, I'm really looking forward to it.♪",""
"（あずささんが買った占いの本は、みんなの興味を
ひき、事務所でおにぎりブームが到来した……）","","(Azusa-san bought a book on fortune telling, which is of interest to all of us.
(Hit and the onigiri boom in the office: ......)","","(The fortune-telling book Azusa bought caught everyone's attention, and the onigiri boom in my office...)","(The fortune-telling book Azusa bought caught everyone's
attention, and the onigiri boom in my office...)"
"（今日は律子の提案で、アイドルについて
ディスカッションをすることになった……）","","(Today, Ritsuko suggested that we talk about idols.
(Discussion to follow: ......)","","(Ritsuko suggested we have a discussion about the idol today...)","(Ritsuko suggested we have a discussion
about the idol today...)"
"さて、アイドルについて、みんなの考えを聞かせて
もらえる？　ずばりアイドルの魅力ってなにかしら？","","Now, I'd like to hear everyone's thoughts on idols.
What is the attraction of idols?","","Now then, can you tell me what everyone else thinks about idols? What exactly is the appeal of being an one-woman pop star to them.","Now then, can you tell me what everyone else thinks about idols?
What exactly is the appeal of being an one-woman pop star to them."
"やっぱり、可愛さが大事かな。
フリフリの衣装とか、女の子の憧れだよね！","","I guess cuteness is important.
Frilly outfits and such are every girl's dream!","","I guess cuteness really is important.
I bet girls would love to wear frilly clothes like that!",""
"私は、みんなで楽しく盛り上がれるライブが
魅力だって思います！","","I am a live concert where we can all have fun and get excited together.
I think it is an attraction!","","I think a concert where everyone can have fun and liven up is the best part!","I think a concert where everyone can have
fun and liven up is the best part!"
"キラキラしてるところかな？
美希先輩みたいなカンジ！　うーん、憧れちゃうな～","","Is it the sparkling part?
Like Miki! Hmmm... I adore her!","","I wonder if it's sparkling?
You're like Miki-sempai! Hmm, I admire you",""
"何かをあげられることかな？　自分たちの姿を見て、
みんなが元気になってくれたら、最高だよね★","","Is it something we can give them? Look at ourselves,
It would be great if everyone could get better *.","","Is there anything I can give you? It'd be great if everyone cheered up when they saw us.★","Is there anything I can give you? It'd be great
if everyone cheered up when they saw us.★"
"ファンのみなさまとの……
交流、でしょうか……","","...... with our fans
Exchange, I guess. ......","","With all the fans...
Interacting with each other, you say...?",""
"そうですね～……。
私は、ライブかなって思います！","","Yes - .......
I think it's a live concert!","","You're right...
I think it's a concert!",""
"ファンのみんなと一緒になって
盛り上がれるなんて、最高の時間ですよね！","","Together with all the fans.
What a great time to get excited!","","It's the best time ever to have fun with all of your fans!","It's the best time ever to
have fun with all of your fans!"
"未来さん……
凛世も同感です……","","Mr. Future: ......
Rinyo agrees with you: ......","","Mirai-san...
Rinze agrees...",""
"みなさまと共に在ることは……
得難きものでございます……","","To be with you all is ......
It's hard to get ......","","To be with you all...
It's a difficult thing to obtain...",""
"未来と凛世にとってライブを通じて
ファンと交流することが大事ってわけね","","For Mirai and Rinyo, through live performances
So it's important to interact with fans.","","It's important for Rinze and Mirai to interact with her fans through concerts.","It's important for Rinze and Mirai to
interact with her fans through concerts."
"じゃあ、ライブでファンが喜んでくれることって
なにかしら？","","So, what makes fans happy at a live show?
What is it?","","So, what's something that fans would like to hear at a concert?","So, what's something that fans would
like to hear at a concert?"
"歌や……
踊り、でしょうか……","","Utaya: ......
Dancing, perhaps. ......","","A song...
I wonder if it's a dance...",""
"トロッコで、客席の近くに行ったとき、
みんなすっごく喜んでくれました！","","When the trolley took me close to the audience,
Everyone was very happy!","","When we went near the audience in a trolley, everyone was really happy!","When we went near the audience in a
trolley, everyone was really happy!"
"ふふっ、その辺り、もう少し議論してみましょうか？
次のライブの参考になりそうだわ","","Hmmm, let's discuss that a little more, shall we?
That's going to help me with my next gig.","","Haha. Shall we discuss that a bit more?
It's going to be a good reference for our next concert.",""
"はいっ！","Yes!","Yes!","","Yes!",""
"はい……","Yes...","Yes ......","","Yes......",""
"（アイドルについての議論は続く……。３人とも、
目を輝かせて話をしているな！）","","(Discussion about idols continues at ....... All three,
(You're talking with a twinkle in your eye!)","","(The discussion about the idols continues... Their eyes are shining as they talk!)","(The discussion about the idols continues...
Their eyes are shining as they talk!)"
"（今日は蘭子の提案で、
ゲームセンターに行くことになった……）","","(Today, at Ranko's suggestion,
(We're going to the arcade: ......)","","(Ranko suggested we go to the arcade today...)","(Ranko suggested we go
to the arcade today...)"
"ハーッハッハッハ！　我が同胞たちよ、
ともに神々の遊戯を始めましょう！","","Ha-ha-ha! My fellow countrymen,
Together, let us begin the play of the gods!","","Haha! Let's play a game of the gods together, my comrades.","Haha! Let's play a game of the
gods together, my comrades."
"（どんなゲームがいいかな……。
みんなと遊ぶの、すごく楽しみです♪）","","(What games would you like to play? .......
I'm really looking forward to playing with everyone...)","","(What kind of game should I play...?
I'm really looking forward to playing with everyone.♪)",""
"うーん……あ、パズルゲームならできるかな。
……思ったより難しい！　ど、どうしよう……","","Hmmm ...... Oh, I guess I could play a puzzle game.
......It's harder than I thought! What should I do? ......","","Hmm... Oh, I wonder if we can play puzzle games.
...This is harder than I thought! Wh-What should we do...?",""
"自分、レースゲームをやってみたいぞ！
蘭子！　自分と勝負だっ！","","Myself, I'd love to play a racing game!
Ranko! You're playing with yourself!","","I want to play a racing game!
Ranko! Let's have a match.",""
"プリントシール機、よく友達と撮っていたわ。
みんなも、一緒に撮らない？","","Print Sticker Machine, I used to take pictures with my friends.
Why don't you guys take a picture with me?","","I used to take a lot of pictures with my friends in the photo sticker machine.
Wanna take a picture with everyone else, too?",""
"以前……甜花さんと共闘した……
銃の……ゲームを……","","I used to work with ...... Beet Hana ......
...... game of guns ......","","I fought alongside Ms. Tianhua...
The gun game...",""
"甜花は、お菓子のつかみ取り……
……にへへ……大量、ゲット……♪","","Beet Hana is a candy grabber: ......
To ...... hehe ...... mass, get ...... â","","Tenka grabs the candy...
...Heheh... I got a lot of 'em.♪",""
"ふふっ、色んなゲームがあるみたいだけど、
何がいいかな？","","Hmmm...sounds like a lot of different games,
What would you like?","","Haha. There's a lot of different games out there, but what do you want to play?","Haha. There's a lot of different games
out there, but what do you want to play?"
