"Original Text","Initial","Machine translation","Better translation","Best translation"
"リバーブ効果にヘッドフォン向けのサラウンド効果を付与します。","Gives the reverb effects spatialization when using headphones.","","",""
"アンコールや「S4U!」のステージシーンでのステージガイドの表示を設定します。","Sets the display of the stage guide for encore and ""S4U!"" stage scenes.","","",""
"ステージ中のBGM、ボーカルの音量を調整します。","Adjusts on-stage BGM and vocal volume.","","",""
"汗の表現を行うか設定します。","Toggles sweat visibility.","","",""
"アンコールや「S4U!」のステージ開始時のカメラアングルを設定します。","Set the camera angle for encore and the start of the ""S4U!"" stage.","","",""
"一部ＢＧＭを「THE IDOL M@STER」のものと切り替えます。","Changes some BGM to BGM from ""The Idolm@ster"".","","",""
"決定とキャンセルのボタンを切り替えることができます。","Changes the layout of Select/Cancel to a Western or Eastern layout.","","",""
"BGM ボリューム","BGM Volume","","",""
"ボイス ボリューム","Voice Volume","","",""
"SE ボリューム","SE Volume","","",""
"ボーカル ボリューム","Vocal Volume","","",""
"歓声 ボリューム","Audience Volume","","",""
"サラウンド音響効果の軽減","Spatial Audio Effect Reduction","","",""
"振動機能","Vibration","","",""
"オート思い出アピール","Automatic Memory Appeal","","",""
"オートユニゾンアピール","Automatic Unison Appeal","","",""
"オートクライマックスアピール","Automatic Climax Appeal","","",""
"楽曲タイトル表示","Music Title Display","","",""
"歌詞表示設定","Lyrics Display","","",""
"ステージ初期カメラ","Initial Stage Camera","","",""
"初期選択アイドル","Initial Selected Idol","","",""
"コミュスキップの確認","Confirm COMMU Skip","","",""
"数値が大きくなると判断タイミングが早くなります。","Timing becomes snappier with a higher number.","","",""
"数値設定","Manual Calibration","","",""
"アンコールスキップの確認","Confirm Encore Skip","","",""
"プロデューサー名を変更","Change Producer Name","","",""
"ボイスボリュームの試聴キャラクターを指定します。","Change the character used for testing the voice volume.","","",""
"リバーブ効果の強さ","Reverb Effect Strength","","",""
"ヘッドフォンサラウンド効果","Headphone Spatial Audio","","",""
"ステージガイド表示","Stage Guide Display","","",""
"ステージボリューム","Stage Volume","","",""
"汗の表現","Sweat Visibility","","",""
"初期カメラアングル","Initial Camera Angle","","",""
"一部ＢＧＭ切り替え","Partial BGM Switching","","",""
"決定・キャンセルボタン設定","Select/Cancel Button Setting","","",""
"タイミング調整をします。","Adjust input timing.","","",""
"システム","System","","",""
"サウンド","Sound","","",""
"モニター遅延設定","Lag Config","","",""
"グラフィック","Graphics","","",""
"キーコンフィグ","Key Config","","",""
"ライセンス","License","","",""
"する","Enabled","","",""
"しない","Disabled","","",""
"{0}：決定/{1}：キャンセル","{0}：Select/{1}：Cancel","","",""
"{1}：決定/{0}：キャンセル","{1}：Select/{0}：Cancel","","",""
"STARLIT SEASON","STARLIT SEASON","","",""
"THE IDOLM@STER","THE IDOLM@STER","THE IDOLM@STER","",""
"本日レッスン活動日","Today's Lessons","","",""
"WEEKEND 1","WEEKEND 1","","",""
"WEEKEND 2","WEEKEND 2","","",""
"WEEKEND 3","WEEKEND 3","","",""
"WEEKEND 4","WEEKEND 4","","",""
"T","","T","",""
"ARGET","","ARGET","",""
"P","","P","",""
"ARAMETER","","ARAMETER","",""
"推奨パラメータ","Rcmd. Params.","","",""
"INFORMATION","","INFORMATION","",""
"LESSON START","","LESSON START","",""
"WORK START","","WORK START","",""
"レッスン","Lesson","","",""
"営業","Work","","",""
"営業・ステージ","Work・Stage","","",""
"キズナタイム","Bonding Time","","",""
"JAPAN 47 RANKING","JAPAN 47 RANKING","","",""
"online ID","Online ID","","",""
"称号","Title","","",""
"MV RANKING","MV RANKING","","",""
"SCORE RANKING","SCORE RANKING","","",""
"アイドル","Idol","","",""
"ランクインしているデータがありません","Ranked Data is Unavailable.","","",""
"後の100位","Next 100","","",""
"前の100位","Previous 100","","",""
"自分の順位へ","Your Rank","","",""
"プロフィール","Profile","","",""
"MV再生","MV Playback","","",""
"購入","Purchase","","",""
"Other Members Average","","Other Members Average","",""
"プロデューサーEXP","Producer EXP.","","",""
"Lv UP!!","Lv. UP!!","","",""
"P SKILL GET","P-SKILL GET","","",""
"自己ベスト","Personal Best","","",""
"CLIMAX
    APPEAL","CLIMAX
    APPEAL","","",""
"今月の獲得ファン人数","Fans Acquired This Month","","",""
"MV INFO","MV INFO","","",""
"アイドルが編成されていません","Idols are not organized","","",""
"編成不可","Can't be organized","","",""
"APPEAL SETTING LIST","","APPEAL SETTING LIST","",""
"CUSTOM LIST","","CUSTOM LIST","",""
"リセット","Reset","","",""
"指定なし","Unspecified","","",""
"SET1","","SET1","",""
"SET2","","SET2","",""
"SET3","","SET3","",""
"SET4","","SET4","",""
"SET5","","SET5","",""
"SET6","","SET6","",""
"SET7","","SET7","",""
"SET8","","SET8","",""
"衣装を全員に反映","Apply Outfit To All","","",""
"アイドル切替","Switch Idols","","",""
"メニュー呼び出し","Open Menu","","",""
"全て選択","Select All","","",""
"選択完了","Selection Complete","","",""
"セーブロード","Save/Load","","",""
"歌唱アイドル","Singing Idols","","",""
"楽曲情報","Music Info","","",""
"TIPS","Tips","","",""
"ランダム設定","Random Setting","","",""
"クライマックスアピール設定","Climax Appeal Setting","","",""
"アピール設定確認","Appeal Settings Confirmation","","",""
"IDOL LIST","IDOL LIST","","",""
"編成人数","Headcount","","",""
"ステージ","Stage","","",""
"LIVE13","","LIVE13","",""
"LIVE29","","LIVE29","",""
"LIVE32","","LIVE32","",""
"MEDLEY","MEDLEY","MEDLEY","",""
"SETTING INFORMATION","SETTING INFORMATION","","",""
"選択","Choice","","",""
"登録","Register","","",""
"日付","Date","","",""
"ユニット名","Unit Name","","",""
"メンバー","Member","","",""
"MV MENU","MV MENU","","",""
"選択削除","Select and Delete","","",""
"ランキング登録","Register Ranking","","",""
"人数","Headcount","","",""
"撮影場所","Location","","",""
"昇順","Ascending","","",""
"降順","Descending","","",""
"MVがありません","MV not present.","","",""
"舞台演出","Stage Production","","",""
"SETTING 1","SETTING 1","","",""
"SETTING 2","SETTING 2","","",""
"このライブでは
使用できません","Not available
for this gig","","",""
"スロットに設定がありません","No setting available in slot","","",""
"このライブでは使用できません","Not available for this gig","","",""
"{0} SLOT {1}","","{0} SLOT {1}","",""
"UNIT SETTING","","UNIT SETTING","",""
"LIVE13 SETTING","","LIVE13 SETTING","",""
"LIVE29 SETTING","","LIVE29 SETTING","",""
"LIVE32 SETTING","","LIVE32 SETTING","",""
"MEDLEY SETTING","MEDLEY SETTING","","",""
"ライブを実行する設定を
選択してください","Confirm settings for the
live performance.","","",""
"参加　{0}人","{0} Idols Needed","","",""
"SELECT","SELECT","","",""
"MEDLEY SONG SETTING","MEDLEY SONG SETTING","","",""
"楽曲の順番を設定してください","Set the song order","","",""
"No.1","","No.1","",""
"No.2","","No.2","",""
"No.3","","No.3","",""
"デフォルト","Default","","",""
"事務所","Office","","",""
"50音順","A-Z","","",""
"RANDOM","","RANDOM","",""
"ランダム設定を行いたい項目にチェックを入れてください","Select item slots which you want randomized.","","",""
"現在の編成","Current Org.","","",""
"共通設定以外をロード","Load non-common settings","","",""
"スロットの削除","Delete Slot","","",""
"SLOT１","SLOT 1","","",""
"SLOT２","SLOT 2","","",""
"SLOT３","SLOT 3","","",""
"SLOT４","SLOT 4","","",""
"SLOT５","SLOT 5","","",""
"SLOT６","SLOT 6","","",""
"マークライト","Gobo Light","","",""
"モニター","Monitor","","",""
"エフェクト","Effect","","",""
"床ギミック","Floor FX","","",""
"上部ギミック","Ceiling FX","","",""
"ワイプ","Wipe","","",""
"ライトカラー","Light Color","","",""
"使用可能な舞台演出","Available Stage FX","","",""
"対応楽曲","Supported Music","","",""
"時間帯","Time of Day","","",""
"MEMBER","","MEMBER","",""
"COSTUME","","COSTUME","",""
"LIBRARY","","LIBRARY","",""
"OPTION","OPTIONS","","",""
"LIVE","","LIVE","",""
"SAVE LOAD","","SAVE LOAD","",""
"STAGE FOR YOU!","","STAGE FOR YOU!","",""
"実行不可メンバー","Non-executable member","","",""
"ユニゾン","Unison","","",""
"EPILOGUE DATA","","EPILOGUE DATA","",""
"プレイ時間","Play Time","","",""
"Story","","Story","",""
"Slot","","Slot","",""
"{0}月{1}日({2})","{0}/{1}({2})","","",""
"CALENDAR","","CALENDAR","",""
"TASK","TASKS","","",""
"習得アピールの選択","Select an appeal to learn.","","",""
"習得アイドルの選択","Select an idol to learn a skill.","","",""
"アピール習得状況","Appeal mastery status","","",""
"ポテンシャルに空きがありません。
入れ替えるアピールを選択してください。","There is no space in the potential.
Please select the appeal to replace.","","",""
"アピールリスト","Appeal List","","",""
"必要マニー","Money Cost","","",""
"ポテンシャル","Potential","","",""
"要入替","Replacement Required","","",""
"習得済","Mastered","","",""
"入替不可","Cannot be Replaced","","",""
"店を出る","Leave Store","","",""
"メンバーズカード","Member's Card","","",""
"出る","Leave","","",""
"全商品が{0}％割引","{0}% discount","","",""
"次のクラスまであと","To next class","","",""
"MEMBER'S CARD","MEMBER'S CARD","","",""
"NEXT CLASS","NEXT CLASS","","",""
"{0}クラス","{0} Class","","",""
"ブロンズ","Bronze","","",""
"シルバー","Silver","","",""
"ゴールド","Gold","","",""
"プラチナ","Platinum","","",""
"ブラック","Black","","",""
"レインボー","Rainbow","","",""
"発注済","Purchased","","",""
"整理中","Under Arrangement","","",""
"RED SEED","RED SEED","","",""
"BLUE SEED","BLUE SEED","","",""
"YELLOW SEED","YELLOW SEED","","",""
"GREEN SEED","GREEN SEED","","",""
"RAINBOW SEED","RAINBOW SEED","","",""
"POWER DRINK","POWER DRINK","","",""
"TICKET","TICKET","","",""
"LESSON ITEM","LESSON ITEM","","",""
"WORK ITEM","WORK ITEM","","",""
"STAGE ITEM","STAGE ITEM","","",""
"AROMA CANDLE","AROMA CANDLE","","",""
"O2 CHARGE","O2 CHARGE","","",""
"HONEY","HONEY","","",""
"SINGLE CANDY","SINGLE CANDY","","",""
"CHOCOLATE","CHOCOLATE","","",""
"MIX CANDY","MIX CANDY","","",""
"COOKIE","COOKIE","","",""
"CHARM","CHARM","","",""
"所持数","INV. Count","","",""
"残数","Remaining","","",""
"購入
不可","CAN'T
BUY","","",""
"所持マニー","Current Money","","",""
"ユニット名変更","Edit Unit Name","","",""
"報酬","Reward","","",""
"準備中","Preparation","","",""
"EASY","EASY","","",""
"NORMAL","NORMAL","","",""
"アピール","Appeal","","",""
"団結","Unity","","",""
"シード","Seed","","",""
"アピールEXPを獲得","Gain Appeal EXP","","",""
"団結ポイントを獲得","Earn Unity Points","","",""
"シードアイテムを獲得","Earn Seed Items","","",""
"トライアル","Trial","","",""
"プロデューサーたちと、スコアランキングを競う！！","Compete with other producers for the top score!!","","",""
"なし","N/A","","",""
"TREASURE","TREASURE","","",""
"NEW","NEW","NEW","",""
"写真を見る","View Photos","","",""
"STAFF","STAFF","","",""
"Produced by","Produced by","","",""
"株式会社バンダイナムコエンターテインメント","BANDAI NAMCO Entertainment Inc.","","",""
"STAGE FOR YOU!にて、アイドル
『亜弥』を開放","Aya is now available in STAGE FOR YOU!","","Aya is now
available in STAGE FOR YOU!",""
"STAGE FOR YOU!にて、アイドル
『玲音』を開放","Leon is now available in STAGE FOR YOU!","","Leon is now
available in STAGE FOR YOU!",""
"STAGE FOR YOU!にて、アイドル
『詩花』を開放","Shika is now available in STAGE FOR YOU!","","Shika is now
available in STAGE FOR YOU!",""
"STAGE FOR YOU!にて、楽曲
『オーバーマスター』を開放","The song Overmaster is now available in
STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、楽曲
『１sｔ Ｃａｌｌ』を開放","The song 1st Call is now available in
STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、衣装
『スカーレットナイツ』を開放","The outfit Scarlet Knights is now 
available in STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、衣装
『ダイヤモンドスパークル』を開放","The outfit Diamond Sparkle is now
available in STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、ステージ
『クイーンズゲートドーム』を開放","Queen's Gate Dome is now available
in STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、クライマックス
アピール『シュバルツ・グロー』を開放","The Climax Appeal Schwarz Glow is
now available in STAGE FOR YOU!","","",""
"STAGE FOR YOU!にて、クライマックス
アピール『シュバルツ・グロー改』を開放","The Climax Appeal Schwarz Glow Kai is
now available in STAGE FOR YOU!","","",""
"ユニット情報","Unit Info","","",""
"ディアマントを平日ステージに{0}回使用で開放","Unlock Diamant by using them {0} times on weekday stages.","","",""
"玲音・詩花・亜夜の絆Lvがそれぞれ<col_sys>{1}</>以上
<col_sys>{0}</>をクリア","Leon, Shika, and Aya's bond Lv are all <col_sys>{1}</> or more.
Clear<col_sys>{0}</>.","","",""
"<col_sys>{0}</>をクリア","Clear<col_sys>{0}</>.","","",""
"開放条件","Locked","","",""
"玲音・詩花・亜夜の絆Lvがそれぞれ<col_sys>{1}</>以上","Leon, Shika, and Aya's bond Lv are all<col_sys>{1}</>or more.","","",""
"指定参加ユニット","Fixed Unit","","",""
"指定楽曲","Req. Song","","",""
"自己ベストスコア","Personal Best Score","","",""
"挑戦回数","Attempts","","",""
"ファン人数","Fans","","",""
"マニー","Money","","",""
"ユニゾンEXP","Unison EXP","","",""
"クライマックスEXP","Climax EXP","","",""
"指定クライマックスアピール","Designated Climax Appeal","","",""
"情報切替","Info Switch","","",""
"クリア条件","Goal","","",""
"リクエスト傾向","Request Trends","","",""
"使用クライマックス固定","Use Fixed Climax","","",""
"推奨ユニット指標","Recommend","","",""
"パラメータ換算総合計","CALC. Total Parameter","","",""
"思い出合計","Total Memories","","",""
"パラメータ平均値（スコアアップ効果を反映）","AVG. Parameter Value","","",""
"ライバル情報","Rival Info","","",""
"STAGE INFORMATION","STAGE INFORMATION","","",""
"HIGH!","HIGH!","","",""
"編成中ユニット情報","Unit Formation Info","","",""
"編成中アイドル情報","Idol Formation Info","","",""
"WEEKDAY","WEEKDAY","","",""
"WEEKEND","WEEKEND","","",""
"MONTHLY","MONTHLY","","",""
"CLIMAX","CLIMAX","","",""
"INFO","INFO","","",""
"RIVAL","RIVAL","","",""
"
かつ、クライマックスアピールを使用する","And use Climax Appeal","","And use
Climax Appeal",""
"STAGE SELECT","STAGE SELECT","","",""
"開催期間外","Not Available Today","","",""
"会場","Venue","","",""
"衣装","Outfit","","",""
"アイドル大使","Idol Ambassador","","",""
"ユニゾンアピールブースト","Unison Appeal Boost","","",""
"ステージメニュー","Stage Menu","","",""
"CHALLENGE SELECT","CHALLENGE SELECT","","",""
"PARAMETER","PARAMETER","","",""
"セーブ","Save","","",""
"ロード","Load","","",""
"オプション","Options","","",""
"はい","Yes","","",""
"いいえ","No","","",""
"みんなでスターリットドームのステージに立とうね！","Let's all get on stage at the Starlit Dome!","","",""
"ずーっと楽しいといいな☆","I hope it's fun forever☆","","",""
"ルミナスの歌声が、多くのファンに届きますように","May the voice of Luminous reach many fans.","","",""
"ルミナスのライブが、ファンのみんなによろこんでもらえますよーに！","I hope all the fans will enjoy Luminous live!","","",""
"なにがあっても、ルミナスのみんなと頑張ります！","No matter what happens, I'll do my best with everyone in Luminous!","","",""
"夢のステージへの挑戦！　気合いを入れて、ガツンと頑張りましょう！","Challenge yourself to the stage of your dreams! Let's get in the spirit and do our best!","","",""
"もっとせくちーになりますように","I want to become more sexy!","","",""
"るみなすの輝きが多くの人々に届きますように","May the dazzle of Luminous reach the hearts of many.","","",""
"ルミナスのみんなで、カンペキなライブをするさー！","Let's have a perfect performance with everyone at Luminous!","","",""
"スターリットシーズンはルミナスのものよ♪","The Starlit Season belongs to Luminous ♪","","",""
"いっぱいあそんで、食べて、寝る！","I want to play, eat, and sleep a lot!","","",""
"ルミナスに素敵な運命が訪れますように","May a wonderful fate befall Luminous.","","",""
"初志貫徹！　目指すはスターリットドームよ！","That's the plan! We're striving towards the Starlit Dome!","","",""
"約束の地まで飛翔せよ……我らが光翼！","","Fly to the Promised Land... Our Wings of light!","",""
"伝説になる","I want to be a legend.","","",""
"プロジェクトルミナス★　サイコーのユニットにしようね！","Project Luminous★ Let's become the greatest unit!","","",""
"毎日がキラキラでハピハピのルミナスになりますよ〜に♪","Every day will be a sparkling, happy happy, luminous day ♪","","",""
"スターリットドームで弾けろウサミンパワー☆","At the Starlit Dome, We'll use my Usamin~ POWAH! ☆","","",""
"また、みんなでお花見パーティーがしたいです！","","Let's have another cherry blossom viewing party with everyone!","",""
"結果を出して、必ずスターリットドームへ行きます","","We'll get results, and we will go to the Starlit Dome","",""
"スターリットドームでライブをやって、モテモテになっちゃいましょー♪","Let's perform at Starlit Dome and become popular♪","","",""
"精進を忘れず、常に前に進みます","Don't forget... Be diligent, and always move forward.","","",""
"ルミナスのみんなと、素敵なハーモニーを奏でられますように♪","","May Luminous and the others have a wonderful harmony~","",""
"みんなとゲーム、もっとできますように","I hope I can play more games with everyone!","","",""
"この日々が、みんなに幸せをもたらしますように","May these days being joy to all","","",""
"みなさんと仲良しになる！","I hope we'll all become great friends!","","",""
"めっちゃ楽しくて
盛り上がる毎日になりますように！","This is super fun!
I hope you have a breathtaking day!","","",""
"世の中にたえてルミナスなかりせば──","","If you rely on Luminous in this world","",""
"みなさんと笑顔になれますように","I wish to smile with you all","","",""
"達成状況","Progress","","",""
"サポート支給","Reward","","",""
"達成期限","Deadline","","",""
"自由タスク","Free Tasks","","",""
"必須タスク","Required Task","","",""
"必須","Required","","",""
"RODUCER","","RODUCER","",""
"ASK","","ASK","",""
"ALL","","ALL","",""
"ATTACK","","ATTACK","",""
"BOOST","","BOOST","",""
"CHANGE","","CHANGE","",""
"RECOVERY","","RECOVERY","",""
"STAR","","STAR","",""
"SYNCHRO","","SYNCHRO","",""
"TENSION","","TENSION","",""
"CLEAR!","","CLEAR!","",""
"CLEAR BONUS","","CLEAR BONUS","",""
"CLIMAX APPEAL","","CLIMAX APPEAL","",""
"CONNECTING","","CONNECTING","",""
"CONTINUE","","CONTINUE","",""
"(ACE COMBAT™ 7:SKIES UNKNOWN & © BANDAI NAMCO Entertainment Inc.)","(Ace Combat™ 7: Skies Unknown & © BANDAI NAMCO Entertainment Inc.)","","",""
"Tales of Arise™ & ©BANDAI NAMCO Entertainment Inc.","","Tales of Arise™ & ©BANDAI NAMCO Entertainment Inc.","",""
"©BNEI/PROJECT iM@S","","©BNEI/PROJECT iM@S","",""
"あと","Presses Left:","","",""
"DIAMANT","","DIAMANT","",""
"DLC","","DLC","",""
"DLC STORY","","DLC STORY","",""
"Fin","","Fin","",""
"GET","","GET","",""
"GET!","","GET!","",""
"HARD","","HARD","",""
"PRODUCE
TIME","","PRODUCE
TIME","",""
"IDOL SELECT","","IDOL SELECT","",""
"ITEM","","ITEM","",""
"Lv","","Lv","",""
"LIMIT","","LIMIT","",""
"LOAD","","LOAD","",""
"FREE TIME","","FREE TIME","",""
"MAX","","MAX","",""
"MAX!","","MAX!","",""
"MENU","","MENU","",""
"MISSION","","MISSION","",""
"MONEY BONUS","","MONEY BONUS","",""
"Epilogue","","Epilogue","",""
"March","","March","",""
"April","","April","",""
"May","","May","",""
"June","","June","",""
"July","","July","",""
"August","","August","",""
"September","","September","",""
"October","","October","",""
"November","","November","",""
"December","","December","",""
"SONG","","SONG","",""
"楽曲","Music","","",""
"New","","New","",""
"NEXT","","NEXT","",""
"No.","","No.","",""
"No Data","","No Data","",""
"NOW LOADING","","NOW LOADING","",""
"ORDER","","ORDER","",""
"S","","S","",""
"TARLIT","","TARLIT","",""
"PLv","","PLv","",""
"PRODUCE","","PRODUCE","",""
"PRODUCER","","PRODUCER","",""
"???","","???","",""
"RANKING","Ranking","","",""
"REC","","REC","",""
"SAVE","","SAVE","",""
"SCORE","","SCORE","",""
"SKILL POINT","","SKILL POINT","",""
"SKIP","","SKIP","",""
"SP","","SP","",""
"STAMP","","STAMP","",""
"START","","START","",""
"SYSTEM","","SYSTEM","",""
"APPOINT TIME","","APPOINT TIME","",""
"MEMBER SELECT","","MEMBER SELECT","",""
"PRODUCE TIME","","PRODUCE TIME","",""
"タイトルへ戻る","Return to Title","","",""
"To Be Continued","","To Be Continued","",""
"TOTAL","","TOTAL","",""
"JAPAN 47","","JAPAN 47","",""
"UNISON APPEAL","","UNISON APPEAL","",""
"UNIT","","UNIT","",""
"{0}th","","{0}th","",""
"1st","","1st","",""
"2nd","","2nd","",""
"3rd","","3rd","",""
"4th","","4th","",""
"5th","","5th","",""
"{0}st","","{0}st","",""
"{0}nd","","{0}nd","",""
"{0}rd","","{0}rd","",""
"団結ポイント","Unity Points","","",""
"UNKNOWN","","UNKNOWN","",""
"VIEW","","VIEW","",""
"アイドルのプロデュースができます","Produce your own idol unit.","","",""
"NEW PRODUCE","NEW PRODUCTION","","",""
"新たなアイドルユニット『プロジェクトルミナス』を率いて、最優秀ユニットを目指しましょう","Lead the new idol unit ""Project Luminous"" and aim for the top!","","",""
"任意にセーブした地点からゲームを再開することができます","Resume the game from a save point.","","",""
"楽曲やアイドルなど、あなたが自由にセッティングしたステージを楽しむことができます","Enjoy stage-plays with songs and idols set to your preferences.","","",""
"LUMINOUS SHOP","LUMINOUS SHOP","","",""
"最新のダウンロードコンテンツを閲覧し、購入することができます","View and purchase the latest downloadable content.","","",""
"ALBUM","ALBUM","","",""
"アイドルたちとの思い出やメールを鑑賞できます","View your memories and emails with idols.","","",""
"あなたがプロデュースした、アイドルたちの思い出『COMMU』を鑑賞できます","Appreciate the memories of communications with idols you produced.","","",""
"あなたがプロデュースした、アイドルたちから受け取ったメールを読むことができます","Read emails recieved from idols you produced.","","",""
"ゲームの設定を変更できます","You can change the settings of the game.","","",""
"QUIT GAME","QUIT GAME","","",""
"ゲームを終了します","Quit the game.","","",""
"すべてのデータをダウンロードし終わるまで一部機能が使用できません","Some functionality will be unavailable until all data has downloaded.","","",""
"©窪岡俊之 ©2021 BANDAI NAMCO Entertainment Inc.","©Toshiyuki Kubooka ©2021 BANDAI NAMCO Entertainment Inc.","","",""
"PRESS ANY BUTTON","","PRESS ANY BUTTON","",""
"プロデュースタイム","Production Time","","",""
"目標","Target","","",""
"フリータイム","Free Time","","",""
"プロデューサー","Producer","","",""
"プロデュース","Producing","","",""
"CLIMAX APPEAL SETTING","","CLIMAX APPEAL SETTING","",""
"UNISON APPEAL SETTING","","UNISON APPEAL SETTING","",""
"UNISON APPEAL LIST","","UNISON APPEAL LIST","",""
"全員の衣装を設定","Set All Outfits","","",""
"固定メンバー","Required","","",""
"人数制限","RESTRICTED","","",""
"未設定","NOT SET","","",""
"固定
メンバー","Required","","",""
"スコアアップのスキル習得状況","Active Score Up Skill Boosts","","",""
"ステージで使用する
アイテムを設定できます","You can set items to be used on stage.","","You can set items to
be used on stage.",""
"ITEM SET","","ITEM SET","",""
"レッスンで使用する
アイテムを設定できます","You can set items to use in the lesson.","","You can set items to
use in the lesson.",""
"オートレッスンで使用する
アイテムを設定できます","You can set items to be used in auto-lessons.
","","",""
"営業で使用する
アイテムを設定できます","You can set items to be used in jobs","","You can set items
to be used in jobs",""
"アイテム使用","Use Item","","",""
"クライマックスアピールEXPを増加する","Increase Climax Appeal EXP","","",""
"ユニゾンアピールEXPを増加する","Increase Unison Appeal EXP","","",""
"1曲目のユニットを設定してください","Set the unit for the first song.","","",""
"2曲目のユニットを設定してください","Set the unit for the second song.","","",""
"3曲目のユニットを設定してください","Set the unit for the third song.","","",""
"歌唱メンバー","Singing Members","","",""
"課題楽曲","Assigned Song","","",""
"楽曲固定","Fixed","","",""
"GUEST MEMBER","","GUEST MEMBER","",""
"ALL MEMBER SETTING","","ALL MEMBER SETTING","",""
"ステージ衣装","Stage Outfits","","",""
"ステージ楽曲","Stage Songs","","",""
"KILL","","KILL","",""
"カーソル位置初期化","Reset Cursor","","",""
"パラメータ総合計","Total Parameters","","",""
"Vo.パラメータ","Vo. Parameter","","",""
"Da.パラメータ","Da. Parameter","","",""
"Vi.パラメータ","Vi. Parameter","","",""
"思い出数","Number of Memories","","",""
"決定したステージの情報","Information on the stage to be determined","","",""
"ステージの情報","Stage Information","","",""
"SUCCESS RATE","","SUCCESS RATE","",""
"MEMBER SETTING","","MEMBER SETTING","",""
"UNIT 1","","UNIT 1","",""
"UNIT 2","","UNIT 2","",""
"UNIT 3","","UNIT 3","",""
"わあ～","Wow~","","",""
"またプロデュースしてくれて、嬉しかったです！
これからも、私をよろしくお願いします！","It will be a pleasure working with you again!
As usual, I will be under your care!","","",""
"すごいです！","It's amazing!","","",""
"えへへ♪","Ehehe ♪","","",""
"わぁ～☆","Wow~☆","","",""
"ミキ、二人一緒ならこれからも頑張れるの！
だから、ミキから目を離さないでね、ハニー☆","Together, you and me can move mountains!
So don't take your gaze off Miki, honey☆","","",""
"すごいの！","It's amazing!","","",""
"あはっ☆","Aha ☆","","",""
"嬉しいです","Glad to hear it.","","",""
"沢山の助言をいただき、感謝しています。
今後も、どうかよろしくお願いします！","I appreciate all the advice you have given me.
Moving forward, I will continue to be under your care!","Thank you for all your advice. I hope we can continue to work together!","Thank you for all your advice. I hope
we can continue to work together!",""
"凄いですね","It's amazing.","Amazing, isn't it?","",""
"ふふ……","Fufu......","Haha..","",""
"わぁい！","Yay!","","",""
"私、プロデューサーがいたから頑張れましたっ！
だから、これからもよろしくお願いしまーすっ！","I was able to do my best because I had a producer!
So please continue to work with me!","I was able to do my best because of the producer! That's why, from now on it will be good for me too!!","I was able to do my best because of the producer!
That's why, from now on it will be good for me too!!",""
"すごいですー！","It's amazing!","Awesome!","",""
"うっうー！","Wow!","Uh, uu-!","",""
"わぁ……♪","Wow……♪","Wow~","",""
"ダメダメな私を見捨てないでいてくれたから……
これからは、私にもお返し、させて欲しいですぅ","You did not abandon me when I thought I was no good at all......
From now on I hope you will allow me to return the favor","Because you didn't abandon me when I was hopeless... From now on, please allow us to return the favor as well","Because you didn't abandon me when I was hopeless...
From now on, please allow us to return the favor as well",""
"すごいですぅ！","It's amazing!","Wow, that's amazing!","",""
"えへへっ","Ehehe","","",""
"わぁー！","Wow!","Wow!","",""
"色々ワガママに付き合ってくれて、嬉しかったです！
これからも頑張りますから、傍で見ていて下さいね！","I'm so glad that you've been so selfish with me!
I'll keep working hard, so please watch me from the side!","I'm so happy that you went along with all this selfishness! Please stay by my side and watch me work hard from now on, okay?","I'm so happy that you went along with all this selfishness!
Please stay by my side and watch me work hard from now on, okay?",""
"凄いです！","It's amazing!","It's amazing!","",""
"へへっ！","Hehe!","","",""
"わぉ！","Wow!","Wow!","",""
"やっぱり兄ちゃんと真美は、最高の相棒ですなあ！
これからも真美と、いーっぱい遊ぼうね！","After all, Nii-chan and Mami are the best of buddies!
Let's continue to have lots of fun with Mami!","Nii-chan and Mami really are the best partners! Let’s play lots with them from now on, okay?","Nii-chan and Mami really are the best partners!
Let’s play lots with them from now on, okay?",""
"やるねー！","Way to go!","Not bad!","",""
"んっふっふー","Oo hoo hoo~","Nfu fu-","",""
"まあ……","Well......","Well..","",""
"プロデューサー、これまでの事、感謝しております
これからも、私を導いてくださいね……","Thank you, producer, for everything you've done.
Please continue to guide me in the future.......","Producer, thank you for everything that's happened up until now. Please continue to guide me..","Producer, thank you for everything that's
happened up until now. Please continue to guide me..",""
"素晴らしいですね","That's wonderful.","That's wonderful","",""
"ふふっ……","Fufu……","Haha..","",""
"わぁ！","Wow!","Wow!","",""
"自分、もっともっと上を目指していきたいぞ！
だからこれからも自分のこと、見守っててよね！","I want to be better and better!
So please continue to keep watching over me!","I want to aim even higher! So watch over me from now on, okay?","I want to aim even higher! So watch
over me from now on, okay?",""
"凄いぞー！","That's awesome!","That's amazing!","",""
"あははっ！","Ahaha!","","",""
"わぁ……","Wow.......","Wow..","",""
