"（仕事終わり、未来にルミナスについて
聞いてみることにした……）","","(After work, about luminous in the future)
(I decided to ask: ......)","","(After work, I decided to ask
Luminous about the future...)"
"はいっ！　もっと輝いて、静香ちゃんと翼の
期待にも、もっと応え……って、ああーーっ！！　","","Shine brighter, Shizuka and Tsubasa!
I'm sure I'll be able to meet your expectations and more at ....... Ahhh!","","Yes! Shine brighter, and live up to
Shizuka-chan's expectations... Wait aaahh!!"
"私、レッスン、抜けてきてたんでしたーっ！
忘れ物に気付いて、事務所に取りに来たんですー！","","I had missed the lesson!
I realized I had forgotten something and came to the office to pick it up!","","I missed my lessons!
I noticed something and came to the office for it!"
"静香ちゃんと翼を待たせてるのに……！","","I've got Shizuka and Tsubasa waiting for me. ......","","I'm making Shizuka-chan and Tsubasa wait...!"
"あ！　そういえばそうだったよな。
すまん、話しすぎた！","","Ah! That reminds me.
Sorry, I talked too much!","","Oh, yeah! You're right.
Sorry, I talked too much!"
"プロデューサーさんは悪くないです！
私が話したいって、言ったんですから！","","It's not Producer's fault!
I said I wanted to talk to you!","","It's not your fault, Mr. Producer!
I told him that you wanted to talk!"
"えっと、歌詞のメモは……どこだっけ。
……あ、あったあったー！　よかった～♪","","Let's see, where are the lyrics notes at ......?
...... Oh, there it is!","","Um, where were the lyrics... again?
...Ah, there it is! Thank goodness♪"
"それじゃ、私、レッスンに戻ります！
うわ～ん、ふたりに怒られちゃうよ～！","","Well then, I'm going back to my lesson!
Ugh, I'm going to get mad at both of you!","","Okay, I'm going back to my lesson!
Waaah, they'll get mad at me!"
"ああ。気をつけて、戻るんだぞ！","","Be careful, you're going back!","","Yeah. Be careful, get back to your post! Got it?"
"はーい！　気をつけまーす！
急がないと―！","","Yes! I'll be careful!
We have to hurry!","","Okay! I'll be careful, then.
We have to hurry!"
"（うーん、話が中途半端になってしまったな……）","","(Hmmm, I'm halfway through the story. ......)","","(Hmm, I'm not really sure what to say...)"
"（未来から、現状で満足しているような言葉が出て
いたし……一度ちゃんと話したほうが良さそうだ）","","(From the future, words like I'm happy with the status quo.
(And ...... I think we should have a proper talk once)","","(He said that he's satisfied with the current situation,
so I should probably talk to him about it.)"
"ん？　なんだろ～、あれ……
何のスイッチかなー？","","Hmm? What's that - that ......
What kind of switch?","","Hm? What's that...
What kind of switch is it?"
"うーん……気になる。すっごく気になる……。
押したらどうなるんだろ……？","","I'm curious about ....... I'm very curious about .......
What happens if I press ......?","","Hmm... I'm really curious. Really worried about it, too!
What happens if I push it...?"
"……気になるから、押してみよう！
えいっ！","","I'm curious about ......, so let's press on!
Yeah!","","...I'm curious, so I should push it!
Eigh!"
"わ！　電気が消えちゃった！？
なんでなんでー！？","","Wow! The lights have gone out!
Why, why, why!","","Whoa! The lights went out?
Why, why-?!"
"何だ？　急に電気が消えたぞ……停電か？","","What is it? The power suddenly went out. ...... power outage?","","What's going on? The lights are off all of a sudden... Is there some kinda power outage or something."
"いや……周りのビルは電気がついているから
ブレーカーが落ちたのか","","No. The buildings around ...... have electricity.
The breaker must have tripped.","","No... The lights are on in the surrounding
buildings, so maybe it's because of that."
"ブレーカーはどこだったかな……？
あ、あれだ。よいしょっと","","Where was the breaker ......?
Oh, that's it.","","Where's the breaker...?
Oh, it's that one over there. There we go"
"ふう……しかしなんでまたブレーカーが落ちたんだ？","","Fuu...... but why did the breaker go off again?","","*sigh*... But why did the circuit breakers go down again?"
"どうしよう～どうしよう～！？","","What to do - what to do!","","What should I do?!"
"未来？　どうしたんだ？","","Future? What's going on?","","The future? What's wrong with you."
"ぷ、プロデューサーさ～ん！
私、なにかしちゃったみたいです～！","","Psst, producer~!
I think I did something wrong!","","P-Producer!
Looks like I did something wrong~!"
"スイッチを押したら電気が消えちゃったんですよー！
もしかして、なにか壊しちゃったんでしょうか？","","I hit the switch and the lights went out!
Did you perhaps break something?","","The lights went out when I pressed the switch!
Did I break something?"
"…………ん？　スイッチを、押した？
待て未来、何のスイッチを押したんだ？","","............ hmm? Did you hit the switch?
Wait, Future, what switch did you hit?","","......Hm? You pressed the switch.
Wait, Mirai. What switch did you flip?"
"ここのスイッチです……。
うわ～ん、プロデューサーさん、どうしましょう～！","","Here's the switch: .......
Wow, producer, what should I do!","","It's the switch here...
Waaah! What should we do, Mr. Producer?"
"あのな、未来、それは……","","You know, the future, it's ......","","Um, Mirai? That's..."
"ブレーカー","","breaker","","Breaker"
"秘められた力","","hidden power","","Secret Power"
"ブレーカーだ。
未来が押したのは、ブレーカーのスイッチだよ","","Breakers.
The future pushed the breaker switch.","","It's a breaker.
The future pushed the breaker switch."
"ぶれーかーのスイッチ？
ぶれーかーって……えっと……えーっと……？","","Bureka switches?
Bureka is a ...... er... ...... er... ......?","","Is that the switch for breeka?
What do you mean, “breathe? Um... Let's see."
"一定以上の電力を使ったりすると、電気回路を
遮断する機械……で分かるか？","","If you use more than a certain amount of power, the electric circuit will be
Can you find the machine that blocks it at ......?","","If you use more than a certain amount of power, the machine
will cut off your circuits. Do I make myself clear?"
"分かるような～分からないような……えっと、これを
押したら、電気が全部、消えちゃうってことですね！","","I think I understand - I don't know. ...... Well, let's see...
If you press the button, all the lights will go out!","","I kinda get it I don't really understand... Um, if
you push this button all the lights will go out!"
"壊したんじゃなくって、良かった～♪","","I'm glad I didn't break it!","","I'm glad you didn't break it♪"
"未来に秘められた力が、
とうとう目覚めてしまったんだ","","The power hidden in the future,
I finally woke up.","","The power hidden in the
future has finally awakened."
"ええっ！？　わ、私に秘められた力が！？
蘭子ちゃんに魔法を習ってたからかな……？","","What? The power hidden in me?
Maybe it's because he learned magic from Ranko ......?","","Huh?! I-I've got the power to do this...
Is it because I was learning magic from Ranko-chan...?"
"（習っていたのか！　いつのまに……！？）","","(Did you learn that? When did you go to ......?)","","(When did he learn that?!)"
"というのは冗談で、それはブレーカーだ。
電力回路の遮断器みたいなものかな","","That is a joke, it is a breaker.
Like a circuit breaker in a power circuit.","","That's a joke, but it was just the circuit breaker.
It's like a circuit breaker."
"そもそも、なんでブレーカーのスイッチを
触ったりしたんだ？","","Why switch on the breaker in the first place?
Did you touch them or something?","","Why did you even touch
the breaker switch?"
"え？　そ、それは～……こ、ここにスイッチがあって
気になって、つい……押しちゃいました！","","What? Well, it's ~...... here, there's a switch here.
I was curious and ended up pressing ......!","","Huh? Th-That's because... I was so curious
about the switch here, and just pushed it!"
"まさか電気が消えるとは思わなかったんですー！
ごめんなさいー！","","I didn't think the lights would go out!
I'm sorry - I'm sorry!","","I didn't think the lights would go out!
I'm sorry!"
"（想像以上になんでもなさすぎる理由……！）","","(Why it's too much of everything imaginable: ......!)","","(A reason that's even more trivial than I imagined!)"
"あのな……なんでもスイッチを押しちゃダメだぞ。
今回は、たまたま昼だったから良かったけど……","","You know, ...... don't hit the switch on anything.
I'm glad it happened to be noon this time, but ......","","Hey now... Don't push the switch on anything.
I'm glad it happened to be noon this time, but..."
"はい……ごめんなさい……","","Yes ...... sorry ......","","Yes... I'm sorry."
"まあ、未来にも怪我がなく無事でよかったよ","","Well, I'm glad the future is safe and sound with no injuries.","","Well, I'm just glad that the future is in one piece."
"それに、押したくなっちゃう気持ちもわかるしな","","And I can understand why you'd want to push it.","","And I can understand why you'd want to push it, too."
"そ、そうですよね。あの～、
もうひとつ前から気になってたんですけど……","","Yes, that's right,
One more thing I've been wondering about for a while: ......","","Y-You're right. Um, there was something else
that had been bothering me for a while now..."
"給湯室の水道の下に、回せそうなのが
あるんですけど……あれ、回してもいいですか？","","Under the water supply in the hot water room, there is one that could be turned.
I have one. ...... Can I turn that one in?","","There's something under the water
supply. Can I turn it on?"
"あれは水道の元栓！　回したらダメ！","","That's the main water valve!","","That's the main plug of a waterway!"
"はいっ！　ごめんなさいっ！","","Yes! I'm sorry!","","Okay! I'm sorry about that!"
"（好奇心旺盛なのは未来のいいところだ。
もっと違うことに目を向けさせてあげないとな……）","","(Curious is a good thing in the future.
We need to get them to look at something more different. ......)","","(Curiosity is a good thing about the future.
(I'll have to make him focus on something else...)"
"（この前は中途半端に終わったし、未来とじっくり
話がしたくて呼んだけど……そろそろ来る頃かな）","","(Last time I was halfway through, and I took my time with the future.
(I called you over to talk to you, but I think it's time to come over to ......)","","(I called him here because I wanted to have a long talk
with the future, but... he should be arriving soon.)"
"お待たせしました、プロデューサーさん！","","Sorry to keep you waiting, producer!","","Sorry to keep you waiting, producer!"
"未来、悪いな、わざわざ来てもらって。
話をしておきたくて","","Future, I'm sorry you had to come all the way out here.
I just wanted to talk to you.","","Sorry for making you come all the way out here, Mirai.
I just wanted to talk."
"いえ！　私、プロデューサーさんとお話しするの、
大好きなので、嬉しいです！","","No! I'm going to talk to Producer,
I'm glad I love it!","","No! I love talking to Producer,
so it makes me happy."
"そうか、良かったよ。色々話したいんだが……。
まずは次のライブについてどう思う？","","Well, good, we have a lot to talk about. ......
First of all, what do you think about the next gig?","","I see, that's good to hear.There are a lot of things we want to talk about...
What do you think about the next concert?"
"次のライブですか？
とってもとーっても楽しみです！","","Next gig?
I am very, very much looking forward to it!","","Next concert?
I'm sooo excited!"
"ルミナスのみんなと一緒にステージに立つのって、
すっごくわくわくします！","","To be on stage with everyone in Luminous,
I am very excited!","","I'm so excited to be on stage
with everyone from Luminous!"
"そうか……。あのな、未来。最近の未来は、
現状で満足してしまっているような気がするんだ","","Well, ....... you know, the future. the future these days,
I feel like we've become complacent with the status quo.","","I see. You know, in the future... I feel like we've been satisfied with how things are
going for us these past few days as a result of all that has happened here and there。"
"確かに、今、すっごく楽しいです。
あの、それっていけないことなんでしょうか？","","Indeed, I'm having so much fun right now.
Um, is that wrong?","","Yeah, I'm having a lot of fun right now.
Um, is that something I shouldn't do?"
"いけないことじゃないよ。でも俺は、
未来はもっと輝けるはずだって思ってるんだ","","It's not wrong, but I'm not,
He thinks the future could be brighter.","","It's not bad. But I think the future should
be brighter for us than it is now, too..."
"あ、この前そんな話をしましたよね。
今日はその続きってことですね！","","Oh, we talked about that the other day.
So today is a continuation of that!","","Oh, I told you about that the other day.
So today, we'll continue where that came from!"
"確か前は……輝くのには、理由があるとか、もっと
輝きたいかとか、そんな話で終わったような……","","As I recall, there used to be a reason why ...... shines, or something more.
It's like we ended up talking about whether you want to shine or not: ......","","I'm pretty sure the last time we talked about shining, it was for a reason. Or maybe because you wanted
to shine more or something... That sort of thing ended up happening before that point in your life"
"ああ、そうだ。でもどうすれば輝くのか
話せていなかっただろう？","","Oh, yes, but how can we shine?
You weren't talking, were you?","","Yes, that's right. But I never
told you how to make it shine?"
"はい！　なので、私、とりあえずレッスンとか、
お仕事とか、全部頑張ってみました！","","Yes! So, I, for the time being, I'm going to give lessons and so on,
I tried to do my best with my work and everything!","","Yes! That's why, for the time being I
tried my best with lessons and work."
"すぐ行動できるのは未来のいいところだ。でも漠然と
努力するより、目標があったほうが良くないか？","","It's nice of the future to be able to act quickly, but vaguely.
Wouldn't it be better to have a goal than to strive for it?","","It's a good thing that you can act quickly in the future. But
it would be better to have goals rather than work hard, right?"
"目標、ですか？","","Target, is it?","","A goal?"
"ああ、未来なりの目標を持ったほうがいいと思う。
少し考えてみてもらえないか？","","Yeah, I think you should have your own goals for the future.
Could you think about that for a minute?","","Yeah, I think it's best to have a goal in the future.
Think about it for a second."
"私なりの目標……。
分かりました！　考えてみます！","","My own goal: .......
I understand! I will think about it!","","My goal...
Okay! I'll think about it."
"プロデューサーさん、目標、考えてみました！
聞いてもらえませんか？","","Producers, goals, I've thought about it!
Would you please listen to me?","","I've thought of a goal, Mr. Producer!
Will you listen to me?"
"おお、どんな目標だ？","","Oh, what goals?","","Oh, what's your goal?"
"まず、日本一のトップアイドルになります！","","First, we will become the top idol in Japan!","","First, I'll become the top idol in Japan!"
"お……おお？","","Oh ...... Oh?","","Oh...ohh?"
"それから、世界一のトップアイドルになるんです！
その後は宇宙一のトップアイドルになって～","","Then I will become the world's top idol!
After that, I became the top idol in the universe.","","Then I'll be the top idol in all of Labyrinthia!
After that, she became the top idol in space."
"ま、待て待て、未来！
もしかしてそれが目標か？","","Well, wait, wait, wait, future!
Perhaps that is the goal?","","W-Wait, wait. Mirai!
Is that your goal?"
"はい！　プロデューサーさんのアドバイス通り、
私らしい目標を考えてみました！","","Yes! As per Producer's advice,
I have come up with a goal that is unique to me!","","Yes! I followed Producer's advice and tried
to think of a goal that would suit me."
"そ、そうだな……。でも未来、どうして日本一の
トップアイドルになりたいんだ？","","Well, yes, ....... But why is the future, Japan's best
You want to be a top idol?","","Y-Yeah... But why do you want
to be the best idol in Japan?"
"え、どうしてって……。
……あれ？　どうしてだろ？","","What? Why? .......
...... Huh? Why is that?","","Huh? Why, you ask...
...Huh? I wonder why."
"あと、日本一のトップアイドルになって、
どうしたいんだ？","","Also, become the top idol in Japan,
What do you want?","","Also, what do you want to
be Japan's top idol for?"
"歌います！
あれ？　でもそれじゃ今と変わらないですね……？","","Singing!
Huh? But that's no different than now. ......?","","I'll sing!
Huh? But that's no different from now..."
"（良かった、疑問を持ってくれたぞ。
もう一押し、どんなアドバイスをするべきか……）","","(Good, you raised a question.
One more push, what advice should I give ......)","","(Thank goodness, you've got a question.
(I don't know what kind of advice I should give him...)"
"なにをしたいのか
考えよう","","what do you want to do?
Let's think about it.","","Let's think about what
we want to do."
"日本一ってなんだ？","","What is the best in Japan?","","What's the best in japan?"
"全国ツアーをしよう","","Let's do a national tour.","","Let's go on a national tour."
"宇宙一を目指そう","","Let's be the best in the universe!","","Let's aim to be the best in space."
"なにをしたいのか、まずは考えてみるのはどうだ？","","Why don't you think about what you want to do first?","","Why don't we think about what you want to do first?"
"たとえばだけど、未来は日本一のトップアイドルに
なったら、なにをしたいか考えてみないか？","","For example, in the future, I will be the top idol in Japan.
Why don't you think about what you want to do when you get there?","","For example, why don't we think about what you want
to do when the future is brightest in Japan?"
"えーっと……歌うのは今と変わらないから……。
あ！　広いステージで歌ったりしたいです！","","Let's see, ...... singing is still the same as it is now, so .......
Oh! I want to sing on a big stage!","","Umm... I'm not going to be singing any different from now on, though.
Oh, I want to sing on a big stage!"
"そうだな、でも今でも広いステージで歌うことも
あるだろ？　今とどう違うんだ？","","Yes, but I still sing on a big stage.
You know, right? How is it different now?","","Yeah, but you still sing on the big
stage sometimes. How's it different?"
"確かに……。……えっと、今とはまた少し違う気が
するんですけど……うまく……説明できないです……","","Certainly ....... ...... eh, I feel a little different now.
I do, but I can't ...... explain it well ......","","▁You're right... Um, it feels a little different from what I just saw. But that doesn't explain
everything very well at the moment—I can hardly think of anything else to say about this kinda situation......"
"今はまだそれでいいよ。でもその調子で、トップ
アイドルになった時になにをしたいのか考えていこう","","That's still good enough for now, but keep it up, top
Let's think about what you want to do when you become an idol.","","That's fine for now. But keep it up and think about what
you want to do when we become top-class pop stars!"
"トップアイドルになった時になにをしたいのか……。
それを考えたら、目標が分かるんですか？","","What do you want to do when you become a top idol? ......
And if you think about it, how do you know what your goal is?","","I wonder what she wants to do when we become top idols...
Thinking about it that way, do you know what the goal is?"
"ああ。なにをしたいのか考えてみよう。
未来にとって、トップアイドルがなんなのか……","","Yeah, let's think about what you want to do.
What top idols are to the future: ......","","Yeah, let's think about what we want to do.
I don't know what top idols are for the future..."
"『その先』を具体的に考えることで、
未来の目標が見えてくると思うんだ","","By thinking specifically about 'beyond,
I think it gives us a better idea of what our future goals are.","","『Beyond that.』Thinking about it in concrete terms, I think
you'll be able to see what your future goals are."
"その先を具体的に考えたら、目標が……？","","If you think beyond that specifically, is your goal ......?","","If I think about it in concrete terms, what's the goal...?"
"未来、日本一のアイドルって、なんだ？","","What is the future, the best idol in Japan?","","What's the future best idol in Japan?"
"日本で一番のトップアイドルです！
……あれ？　これって答えになってますか？","","He is the top idol in Japan!
...... Huh? Is that an answer?","","She's the top idol in japan!
...Huh? Is this the answer I'm looking for, then."
"ああ、少し分かりにくいよな。たとえば……
どういうことをしたら、トップアイドルだと思う？","","Yeah, it's a little confusing, e.g. ......
What kind of things do you think make you a top idol?","","Yeah, it's a little hard to tell. For example...
What do you think I should be doing to become a top idol?"
"えーっと……すっごく広いステージで
歌ったりしたら、日本一って気がするかも？","","Let's see, ...... is a very large stage.
If I sang, I might feel like the best in Japan, right?","","Let's see... If we sing on a really big stage,
I think it might be the best in Japan."
"ああ、じゃあ広いステージで歌うことが、
未来にとっての目標になるのか？","","Oh, then to sing on a large stage,
Is it a goal for the future?","","Oh, so singing on a big stage
is your goal for the future?"
"そうですけど……それだけじゃないような……？
……トップアイドルになったら……","","Yes, but ...... that doesn't seem to be the only ......?
...... when you become a top idol: ......","","That's true, but... I feel like that wasn't the only reason.
...If I become the top idol..."
"未来、もう少し考えてみないか？
トップアイドルになったら、なにがしたいのか","","The future, why don't we think about it some more?
What do you want to do when you become a top idol?","","Why don't we think about the future a little more?
What do you want to be when I become a top idol?"
"『その先』を考えると、
目標が見えてくると思うんだ","","Thinking 'beyond',
I think you'll see my goal.","","『Beyond that.』Thinking about it, I think
we're going to find our target."
"その先……ですか？","","Beyond that is ......?","","Beyond that...?"
"全国ツアーをしてみるか？　なんてな","","Maybe we should do a national tour? Oh, my God.","","Wanna go on a national tour? Just kidding."
"全国ツアー！　いいですね！　わくわくします！
それなら世界一は世界ツアーですね！","","I'm excited!
Then the best in the world is a world tour!","","A national tour! That sounds great. I'm so excited!!
In that case, the world's best is a tour!"
"宇宙は宇宙ツアーで……。ん？　宇宙ツアーって、
どうすればいいんですか？　あれ？　あれれ？","","Space is a space tour at ....... hmm? What's a space tour?
What should I do? Huh? Huh?","","Space is a space tour... Hm? What should
we do about the universe tours, huh."
"すまん、悪ふざけをしたら、混乱させてしまったな。
未来、落ち着こうか","","Sorry, I got confused when I played a prank on you.
Future, let's calm down.","","Sorry, I messed with you.
Let's calm down, Mirai."
"今のは冗談だけどな、なにをすれば未来は、
日本一で世界一で宇宙一のアイドルになるのか……","","Now that was a joke, though, what would the future be if you do what?
Will you be the best in Japan, the best in the world, and the best idol in the universe? ......","","I was just kidding, but what can we do to make the
future Japan's greatest idol in all of space...?"
"もっと言えば、トップアイドルになったら、
なにがしたいのかを、まずは考えてみないか？","","More importantly, when you become a top idol,
Why don't you think about what you want to do first?","","To put it another way, when you become a top idol...
Why don't we start by thinking about what your goal is?"
"なにがしたいのか、ですか……？","","What do you want to do, is it ......?","","What do you want...?"
"ああ、そうだな。目標をたてるためには『その先』を
まず思い描くことが大事なんだ","","Yes, we need to look 'beyond' in order to set goals.
It's all about envisioning first.","","Yeah, that's right. In order to set a goal for yourself it is
important you first have the image of 『Beyond that.』 in your mind."
"宇宙一を目指そうか！
となると……そもそも宇宙一って何なんだ？","","Shall we aim to be the best in the universe?
So what is ...... the best in the universe to begin with?","","Let's aim to be the best in space!
In that case... what's the best in all of space anyway?"
"ええ！？　よく分からないですか？　宇宙って
一番広いから、いいかなって思ったんですけど……","","You don't know what the universe is?
It's the widest, so I thought it would be a good idea. ......","","Huh?! You don't really get it. Space is the
largest, so I thought that would be nice..."
"うーん……？　宇宙一になるってことは、あ！
もしかして、私、宇宙人になるってことですか！？","","Hmmm... ......? To be the best in the universe, ah!
Could it be that I'm going to become an alien!","","Hmm...? Become the best in space means, ah!
Are you saying I'm going to become an alien!?"
"待て待て、どうしてそうなるんだ！？
でも着眼点は悪くないと思うぞ！","","Wait, wait, wait, how can that be!
But I don't think your point of view is bad!","","Wait, wait. How did you know that!?
But I don't think you have a bad point of view!"
"あのな未来。宇宙人になるのが目的じゃないだろ？　
大切なのは宇宙一になって何がしたいかじゃないか？","","You know, the future...it's not about being an alien, is it?
What's important is what you want to do when you become the best in the universe, isn't it?","","You know, in the future. Becoming an alien isn't your goal right?
What's important is what you want to do as the best in space, right?"
"宇宙一になったら、なにがしたいか……？","","What would you like to do if you were the best in the universe: ......?","","What do you want to be when we're the best in space...?"
"ああ。未来がトップアイドルになった『その先』で
やりたいことが、目標なんじゃないか？","","Ah, in the ""beyond"" where the future has become a top idol.
What you want to do is your goal, isn't it?","","Yeah. Isn't what you want to do as the
future top idol 『Beyond that.』 your goal?"
"だからその先について、考えてみよう","","So let's think beyond that.","","So let's think about what happens next."
"うう……ううーん、ちょっとぐるぐるしてきました！","","Ummm ...... Ummm, I'm going a bit round and round!","","Hmm... I'm starting to get a little dizzy!"
"プロデューサーさん、私、まだその先が
うまく考えられそうにないですー！","","Producer, I'm still beyond that.
I don't think I can think well!","","I can't think straight
ahead, Mr. Producer!"
"そうだな……。
未来なりに一生懸命考えているのは分かるから……","","
I know you're thinking hard in your own future way, so ......","","That's true......
I know you're thinking hard about the future in your own way..."
"まずはいろんな仕事にチャレンジしよう。
その中で、考えてみようか","","Let's try various jobs first.
Let's see what we can come up with in that one.","","Let's try different jobs first.
Let's think about it."
"はい！　私、たくさんチャレンジします！","","Yes! I challenge myself a lot!","","Yes! I'm going to give it a lot of try."
"それで、その先が見つかるように、頑張ります！","","So, I'll do my best to find out where it goes!","","And I'll do my best to find a way forward!"
"（未来たちが事務所で宿題をしているようだが……）","","(Looks like the future guys are doing their homework in the office: ......)","","(Future and the others seem to be doing homework in their office...)"
"…………ぐー","","............gu","","......Zzz."
"…………。
み、未来さーん……！","","
Mi, Mirai-san. ......!","","............
M-Mirai...!"
"…………。
……未来、起きて？","","
...... future, wake up?","","............
...Wake up in the future?"
"…………ぐー…………ぐー。
むにゃ……おいしい……えへへ……","","............gu ............gu.
Mnya...... delicious...... ehehe......","",".....*snore*...
*mumble*... It's delicious. Heheh!"
"未来！　起きなさい！
居眠りしてないで、宿題をする！","","Future! Wake up!
Don't doze off, do your homework!","","Future, wake up!
Stop dozing off and get to doing your homework!"
"はっ！？　はい！　ごめんなさい！
私、寝てません！　いえ、寝てました！","","Ha! Yes! I'm sorry!
I didn't sleep! No, I did!","","Huh?! Yes, I'm sorry.
I wasn't sleeping! No, it was just a nap."
"ん？　あれ……？　ここは、事務所……？
私、さっきまでお菓子を食べていたような……？","","Hmm? Is that ......? Is this the office ......?
I, like I was eating candy earlier ......?","","Hm? Wait... Is this the office I've been looking for so long.
I feel like we were eating sweets just a moment ago..."
"はい！　事務所です！
未来さん、おかしの夢を見てたんですね！","","Yes! Office!
Mirai, you were dreaming of a scarecrow!","","Yes! This is the office.
Mirai-san, you were having a weird dream!"
"もう、未来ったら……。宿題を教えて欲しいって
言い出した張本人が居眠りして、どうするの？","","I'm already on ...... and she wants me to teach her homework.
What are you going to do when the person who initiated it dozes off?","","Geez, Mirai... What's the point of dozing off when
you just asked me to help with your homework?"
"うう……静香ちゃん、ごめん～！
つい、うとうとしちゃって……","","Uu...... sorry, Shizuka~!
I just dozed off. ......","","Uu... Shizuka-chan, I'm sorry!
I dozed off without thinking..."
"きっと、お仕事をスッゴくがんばったから
疲れちゃったんです……っ！","","I'm sure it's because you worked so hard.
I'm tired. ......","","I'm sure he must be tired
from working so hard...!"
"あの……あたし、チョコ持ってるんです！
よかったら食べてください！","","Um, ...... I have chocolate!
You can eat it if you like!","","Um... I have chocolate!
Please eat it if you like!"
"ありがとう果穂ちゃん～！　優しい～。
チョコおいひぃよ～","","Thank you Kaho~! You are so sweet~!
Chocolate is so good!","","Thank you, Kaho! You're so sweet.
The chocolate's delicious!"
"果穂、未来を甘やかしちゃダメよ。
宿題、まだ全然終わってないんだから","","Kaho, don't spoil the future.
I haven't finished my homework yet.","","Don't spoil the future, Kaho.
I haven't finished my homework yet."
"え？　っていうことは……
果穂ちゃん、宿題もう終わったの！？","","What? That means ......
Kaho, have you finished your homework yet!","","Huh? So that means...
Did you finish your homework, Kaho?!"
"はいっ！　静香さんが教えてくれたから、
いつもより早く終わりましたー！","","Yes! Because Shizuka taught me,
I finished earlier than usual!","","Yes! Because Shizuka-san told me,
I finished earlier than usual."
"それは……果穂が素直だったからよ。
宿題、よく頑張ったわね","","That's because ...... Kaho was honest.
Good job on your homework.","","That's because... you were so honest with yourself.
You did well with your homework."
"えへへっ！　でも、やっぱり静香さんのおかげです！
ありがとうございます！","","Ehehe! But it's still thanks to Shizuka-san!
Thank you very much!","","Heheh! But it's all thanks to Shizuka-san, as I thought.
Thank you very much!"
"すごいね、果穂ちゃん！
宿題、あっという間に終わらせるなんて！","","That's great, Kaho!
I can't believe you finished your homework so quickly!","","That's amazing, Kaho!
You finished your homework in no time at all!"
"それで、あの……静香ちゃん！　私、宿題が
まだ終わってないよ～！　教えて～！","","So, um, ...... Shizuka! I have homework.
I'm not done yet~!","","So, um... Shizuka-chan! I'm not done with
my homework yet Please tell meee!!"
"もう、未来ったら……。
果穂より年上なんだから、もう少ししっかりしてよ","","You can already see the future at .......
You're older than Kaho, you should be a little more firm.","","Geez, the future...
You're older than Kaho, so get a hold of yourself."
"プロデューサーからも、
未来になにか言ってあげてください","","Also from Producer,
Say something to the future.","","Please say something to the
future from your producer."
"お、俺？
そうだなぁ……","","Oh, me?","","M-Me?
Let's see..."
"未来、お疲れ！","","Good job, future!","","Good work, Mirai!"
"静香、よろしく！","","Shizuka, nice to meet you!","","Shizuka, I'm counting on you!"
"果穂、どう思う？","","Kaho, what do you think?","","What do you think, Kaho?"
"未来、お疲れ！
仕事も宿題も頑張ってて偉いぞ！","","Good job, future!
You're doing a great job with your work and homework!","","Good work, Mirai!
You're doing your best at both work and homework."
"プロデューサーさん……！　ありがとうございます！
よ～し、私、頑張っちゃいます！","","Thank you, producer ......!
Okay, I'll do my best!","","Thank you so much, Producer-san!
All right, I'll do my best!"
"その調子だ！　未来！
俺も終わるまで見ているからな！","","Keep it up, future!
I'll be watching until it's over, too!","","That's it, Mirai!
I'll be watching until you finish!"
"はい！　プロデューサーさんが見ていてくれるなら、
終わりそうな気がしてきました！","","Yes! If Producer is watching,
I have a feeling it will end!","","Yes! If Producer is watching,
I feel like it's going to be over."
"静香、よろしく！　未来の宿題が終わるかどうかは、
静香の手腕にかかっているぞ！","","Shizuka, please! I'll see if I can finish my future homework,
It's up to you, Shizuka!","","Shizuka, I'm counting on you! Whether or not we can
finish our future homework is up to her skill."
"プロデューサー、なに甘い事を言っているんですか？","","Producers, what are you talking so sweetly about?","","What are you talking about, producer?"
"私の手腕じゃなくて、
未来自身が一番頑張るところですよね？","","Not my handiwork,
The future itself is where you work the hardest, right?","","This isn't about my skills,
but the future itself."
"そ、そうだよな、うん。静香の言うとおりだ！
だから未来、宿題を早く終わらせるんだ！","","Yes, yes, Shizuka is right!
So future, finish your homework early!","","Y-Yeah, you're right. Shizuka is absolutely correct!
So in the future, finish your homework quickly!"
"で、ですよね～……。
よし、私、宿題頑張って、すぐに終わらせます！","","So, right - .......
Okay, I'll work hard on my homework and get it done soon!","","R-Right...
Alright, I'll do my best with homework and finish it right away!"
"果穂はどう思う？","","What do you think, Kaho?","","What do you think, Kaho?"
"えっ！？　えっと、えーっと……っ！","","What? Oh, uh, uh, ......!","","Huh?! Um, umm..."
"宿題が早く終わったら、いっぱい遊べるので……！
その……っ！　あたし、未来さんと遊びたいですっ！","","If you finish your homework early, you can play a lot. ......
I want to play with Mirai-san!","","If I finish my homework early, we can play a lot...!
Um...! I want to play with Mirai-san."
"ははは、そうだな。ごめんな困らせて。
未来、そういうわけだから、宿題を早く終わらせよう","","Haha, yeah, sorry for the embarrassment.
Future, that's why we should finish our homework as soon as possible.","","Haha, yeah. Sorry for troubling you like that!
In the future, so let's finish our homework quickly."
"はい……頑張ります～。はぁ……。
果穂ちゃんに気を使わせちゃって、情けないです……","","Yes ...... good luck~ haha .......
I'm so sorry for making you worry about Kaho. ......","","Okay... I'll do my best Hah.
I'm sorry for making you worry about me, Kaho..."
"それじゃあ、とりあえず残りの問題を解いて。
あともう１教科、あるんでしょ？","","Well then, solve the rest of the problems for now.
You have one more subject, don't you?","","Well then, for now I'll solve the remaining problems.
There's one more subject, right?"
