"お疲れさまで～す、プロデューサーさん♪","","Good work, producers!","","Good work, producer! ♪"
"悩んでるっていうか、
ちょっと考えごとをしてただけなんですけど……","","It's more like I'm having a hard time,
I was just thinking about something: ......","","I'm not sure what to do, but...I was
just thinking about something."
"モテモテで、ハッピーなライフをゲットするには
なにが必要なのかなーって","","To be irresistible and get a happy life
I was wondering what you need.","","I was just wondering what it takes to
be popular and have a happy life."
"最近、美希先輩のことを観察してるんですけど、
なんだかよく分からなくって……","","I've been observing Miki-senpai recently,
I'm not sure what it is. ......","","I've been observing Miki-sempai
lately, but for some reason...."
"どうやったら、『モテモテハッピーライフ』を
ゲットできると思います？　","","How can you make your ""irresistible happy life""?
Do you think you can get it?","","How do you think we're gonna
get 『Happy Life with Popularity』?"
"モテモテハッピーライフのゲットって……
そもそも、どうなるとゲットしたって思うんだ？","","What's it like to get a irresistibly happy life? ......
What makes you think you got it in the first place?","","Getting a popular, happy life...
What do you think would happen if I did?"
"え～、それはもちろん、美希先輩みたいに
モテモテで毎日がハッピーなことですよ♪","","Eh~ That is, of course, just like Miki-senpai.
It's about being irresistible and happy every day... ♪","","Eh  Of course, I'm happy every
day being popular like Miki-senpai♪"
"うーん、翼は前も似たようなことを言っていたが、
具体的に、どんな状況になればいいんだ……？","","Hmmm, Wings has said something similar before,
Specifically, what situation would you like to see ......?","","Hmm, Tsubasa said something similar
before. What exactly should we do...?"
"アイドルとして頑張れば、翼のファンが増えて
モテモテになるんじゃないのか？","","If you work hard as an idol, you will get more fans for your wings.
I thought you were going to be irresistible.","","If you work hard as an idol, won't your
wings gain more fans and become popular?"
"う～ん。なんていうか、
そういうのとは違うんですよねー","","Hmmm...what can I say?
It's not like that!","","Hmm. I don't know how to put it, but this
is different from that sort of thing"
"それに、アイドル活動を頑張るってレッスンが
増えるってことですよね。それはイヤだな～","","Besides, there's the lesson of working hard at being an idol.
I don't like that!","","Besides, doing your best at idol activities means
having more lessons. I don't want that to happen either~~"
"そうなると、モテモテハッピーライフは
もうちょっと先の話かもな","","Then the irresistibly happy life will be
Maybe a little further down the road.","","If that's the case, it might be a while
before I can live my happy life with popularity."
"えー、そんなあ～！　わたしだって、
毎日、ルミナスの活動を頑張ってるんですよー？","","Oh, no!
I'm working hard on my luminous activities every day!","","Whaaat?! But I'm doing my best to
help Luminous out every day, too."
"あっ……！　でも最近、ハッピーライフには
近づいてるなって感じます♪","","Oh, ......! But lately, I've been living the happy life.
I feel like we're getting closer.","","Ah...! But lately, I feel like we're
getting closer to a happy life. ♪"
"ハッピーライフ……。『モテモテハッピーライフ』は
『モテモテ』と『ハッピー』で分かれているのか……","","Happy Life. ....... ""The Motivating Happy Life"" is a
Are you divided between 'irresistible' and 'happy'? ......","","A happy life...『Happy Life with Popularity』
『Popular.』So it's divided by 『Happy.』, huh..."
"う～ん……よく分からないですけど、
今はハッピーライフって感じですよー♪","","Hmmm... I'm not sure about ......,
It's like a happy life now... ♪","","Hmm... I don't really get it,
but this is a happy life. ♪"
"たとえば、お仕事でかわいい洋服を着れたり、
プロデューサーさんからプレゼントをもらえたり♪","","For example, you can wear cute clothes to work,
Â I can get a present from Producer.","","For example, you can wear cute clothes for
work or get presents from Producer. ♪"
"充実したアイドル活動が出来て、なによりじゃないか","","I'm glad you're having a fulfilling idol career.","","I'm glad we were able to have a fulfilling idol activity."
"だけど、モテモテライフのほうは
全然ダメなんですよね～","","But the mote-mote life is not.
Not at all!","","But I'm no good at being
popular with the ladies."
"プロデューサーさん、
モテモテになる方法って知ってますか？","","
Do you know how to become irresistible?","","Do you know how to
be popular, producer?"
"も、モテモテになる方法……だって？","","Also, you said how to become irresistible ......?","","H-How to become popular...?"
"分からない","","I don't know.","","I don't know."
"誤魔化す","","cheat","","Don't try to play it off"
"自然体だ！","","Natural!","","It's natural!"
"ごめん、俺には分からない","","Sorry, I don't get it.","","Sorry, I don't know."
"そうなんですか……。プロデューサーさんにも、
分からないことってあるんですね～","","I see. ....... producer,
There are some things you just don't know!","","I see. I guess even Producers have
things they don't know about you, huh?"
"でも、正直に答えてくれて嬉しかったです♪
ウソをつかれるのって、イヤですからね～","","But I'm glad you answered honestly.Â
I hate it when people lie to me.","","But I'm happy that you answered honestly♪
Because it makes me hate being lied to~"
"いつか、プロデューサーさんにも、モテモテに
なる方法が分かる時が、来るといいですね！","","Someday, I'll be irresistible to Producer.
I hope the time will come when we can figure out how to become","","I hope Producer learns
how to be popular someday!"
"え、えっとだな……
つまりそれは……。つまり……","","Let's see... ......
So that's ....... So that's ......","","U-Umm...
In other words, you're saying..."
"プロデューサーさん。
目が泳いでますけど、どうしたんですか？","","Producer.
Your eyes are swimming, what's wrong?","","Mr. Producer.
Your eyes are swimming. What's the matter?"
"すまない、それは俺には専門外の分野だから、
他の子に相談してみてくれ……","","Sorry, that's not my area of expertise,
Talk to the other kids. ......","","Sorry, that's not my area of
expertise. You can talk to someone else..."
"え～そうなんですか～……。
あ、でも、正直に言ってくれて良かったです♪","","Oh, I see... .......
Oh, but I'm glad you were honest with me...","","Whaaat? I seeee...
Ah, but I'm glad you were honest♪"
"そう、自然体でいることだ！","","Yes, be natural!","","That's right, I have to act natural!"
"自然体？　えっと……。
つまりそれって、どういう意味なんですかー？","","Natural? Eh, .......
I mean, what does that mean?","","Act natural? Um...
In other words, what do you mean by that-?"
"つまりだな、自然体でいるということは……。
あー、自分らしく……。いや、自分らしさを……","","I mean, you know, being natural. ......
Uh, be yourself ....... No, be yourself ......","","In other words, if she's acting natural...
Ah, be yourself... No. Be your own persona and all that sort of stuff—"
"えー、もしかして、テキトーに言ってたんですか？
知らないなら、最初から正直に言ってくださいよー","","Well, maybe you were just being a texter?
If you don't know, please be honest with me from the beginning!","","Huh? Were you just talking nonsense to me, by any chance!
If you don't know, please be honest from the start-"
"なあ、翼。そのモテモテハッピーライフなんだけど、
もう少し、具体的に考えてみないか？","","Hey, Tsubasa, it's that irresistible happy life,
Why don't we try to be a little more specific?","","Hey, Tsubasa. About that popular happy life of yours...
Can't you think about it a little more concretely?"
"え～？　どうしてですか？","","Eh~? Why?","","Huh? What do you mean, that's not what I meant to say at all. Why would it be so bad for me..."
"なんとなくだけど、翼のアイドル活動にとって、
プラスになりそうな気がするんだ……","","Somehow, though, for Tsubasa's idol activities,
I think it's going to be positive. ......","","It's just a hunch, but I think it might be
good for the idol activities of Tsubasa..."
"アイドル活動に……プラス？
わたし、よく分からないですよ～","","Idoling ...... plus?
I don't really understand!","","It's a plus for... idol activities?
I don't really get it~"
"ゴメン、実は俺もよく分かっていないんだ。
だから、一緒に考えていこう","","Sorry, I actually don't understand it either.
So let's figure it out together.","","Sorry, I don't really get it myself.
So let's think about it together."
"あっ、プロデューサーさんが知らないなら、
美希先輩とか、ほかの子にも聞いてみよっと♪","","Oh, if Producer doesn't know,
I'll ask Miki and the other girls.","","Ah, if Producer doesn't know about it I
should ask Miki-senpai or someone else. ♪"
"プロデューサーさん、
わたし、行ってきますね～","","
I'm going to go now.","","I'm off, Mr.
Producer!"
"あ、お、おい、翼。
って、行ってしまった……","","Oh, oh, hey, wings.
And then I went ......","","Ah, h-hey wings.
...He's gone."
"（でも、モテモテハッピーライフについて
考えることは、翼にとって必要なはずだ！）","","(But about the irresistibly happy life
(Thinking must be necessary for the wings!)","","(But I'm sure thinking about how to live a happy life of
popularity is something that must be necessary for my wings!)"
"なあ、翼。この前のモテモテハッピーライフ
なんだけど、甘奈や美嘉に聞いてみるのはどうだ？","","Hey, Tsubasa, last time I was here, I had a very happy life.
I don't know, why don't you ask Amana or Mika?","","Hey, Tsubasa. How about we ask Amana and Mika
if they're happy with the popularity of girls?"
"ほら、ふたりとも華の女子高生じゃないか。
もしかしたら、参考になる話を聞けるかもしれないぞ","","See, they are both flowery high school girls, aren't they?
Maybe you'll hear something that will help!","","You two are high school girls, aren't you?
Maybe we can get some useful information out of her."
"確かに、そうかも～。
プロデューサーさん、ありがとうございま～す♪","","Sure, I guess so!
Thank you, producer!","","That might be true。
Thank you so much, producer! ♪"
"ふたりとも、
事務所の屋上で休憩しているって言ってたな","","Both of you,
You said you were taking a break on the roof of the office.","","Both of them said they were
taking a break on the roof."
"は～い！　早速、聞いてきちゃいますね","","Yes! I'm going to go ask them as soon as possible.","","Okay! I'll go ask him right away."
"あっ！　甘奈さん、美嘉さん♪　聞きたいことが
あるんですけど、いま大丈夫ですかー？","","Ah! Ms. Amana, Ms. Mika... I have a question.
I have a question...is this a good time?","","Ah! Miss Amana, Mika~ There's something
I want to ask you. Is now a good time?"
"うん、大丈夫だよー☆
甘奈でよければ、なんでも聞いて！","","Yeah, I'm fine.
Ask Amana anything if you like!","","Yeah, I'm fine-☆ You can
ask me anything if you want!"
"なになに～、聞きたいことって★
アタシたちで答えられるカンジ？","","What is it that you want to ask me?
Do you think we can answer the question?","","What's this? You want to know something★
Can we answer that question together, or..."
"はい！　あのー、女子高生って
どんな生活をしてるのかなーって、思って","","Yes! Um, high school girls...
I was just wondering what kind of life you lead.","","Yes! Um, I was just wondering what kind
of life a high school girl has."
"やっぱり、放課後とかお休みの日に出かける
場所って、中学生とは違うんですか？","","After all, I go out after school or on my days off.
Is the place different from junior high school?","","So the places you go after school or on your
days off are different from middle-schoolers?"
"勉強とか進路の話じゃなくて、
遊びの話っていうのが、翼ちゃんっぽいねっ☆","","I'm not talking about studies or career paths,
Talking about fun is very Tsubasa-chan-like☆.","","It's so like you to talk about
fun, not studying or your future. ☆"
"うーん、そうだね。遊びの活動範囲？
みたいなのは広がったかな","","Hmmm...yes...scope of play activities?
I wonder if something like that has spread.","","Hmm, let's see. Play area?
I think it's spread."
"うん！　けど、基本的には
中学生の時とそんなに変わらないかな","","Yeah! But basically.
Not so different from when I was in middle school, I guess.","","Yeah! But it's basically the same
as when we were in middle school."
"普通に勉強して、普通に遊んでって感じ！","","It's like studying and playing normally!","","It's like studying normally and playing normal!"
"あ、でも、中学生の頃より、自由の範囲が広がった
ような感じはあるかな。バイトをしてる子もいるし","","Ah, but I have more freedom than I did in middle school.
Some of the kids have part-time jobs.","","Ah, but I feel like the scope of my freedom has expanded since
middle school. There's even a part-timer who works here too..."
"友達も、中学の頃より遠くまで遊びに行ってる
みたいだし。……なんと放課後デートで★","","My friends go farther to hang out than they did in middle school.
It's like ...... what an after-school date *.","","My friends seem to have gone farther than they
did in middle school. ...What a date after class"
"デートですかー！？　いいなー、中学生だと
行ける範囲も限られてるし、うらやましいです","","Is it a date! That's so nice...being in middle school!
I'm jealous of the limited range of places I can go.","","A date?! That's so nice. There are only a few places that
middle schoolers can go, and I envy you for it..."
"デートする相手がいる場合だけどね……！
みんながみんな、そういうワケじゃないから","","That is if you have someone to date. ......
Not everyone is like that.","","But this is no time to be going on a date...!
Not everyone is like that."
"……うん、そういうことだ。ちなみにだが、
そういう話はみんなには早いからな！","","...... Yeah, that's what I meant, by the way,
It's too early for everyone to talk about that kind of thing!","","...Yeah, that's right. By the way... It was too
early for everyone to be talking about this!"
"あ、プロデューサーさん！
ガールズトーク盗み聞きしてる～☆","","Oh, Mr. Producer!
Eavesdropping on girl talk.","","Oh, it's Producer!
I'm eavesdropping on a girl talk☆"
"えー、なんでですかー。高校生になったら、
モテモテハッピーライフに近づけるんですよー？","","Well, why not...when you are in high school,
We can get closer to a irresistibly happy life!","","Whaaat? Why not! You're going to be so popular and
happy when you become a high school student, right~"
"モテモテハッピーライフ？
あははっ、なにそれカワイイ★","","Motivating happy life?
Haha, what's that cute?","","Popular, happy life?
Haha, that's so cute! ★"
"わたしの目標です！　美希先輩みたいに
モテモテでハッピーな女の子を目指してるんで～す♪","","That's my goal! Like Miki!
I'm trying to be an irresistible and happy girl.","","That's my goal! I want to be a
popular, happy girl like Miki-senpai♪"
"うん☆　翼ちゃんっぽくていい感じの目標だね！
甘奈も翼ちゃんのこと応援するよ！","","Yeah☆ That's a nice goal, just like Tsubasa!
Amana will also support Tsubasa!","","Yup! ☆ That's a great goal for you, Tsubasa-chan.
I'll support you too, tsubasa!"
"ありがとうございます♪
いいなー、わたしも早く高校生になりたいなー","","Thank you.Â
I wish I could be a high school student as soon as possible!","","Thank you very much♪ That's nice, I want
to be a high school student soon too-"
"ねえねえ、プロデューサーさん！
どうやったら、すぐに高校生になれると思います？","","Hey, hey, hey, producer!
How do you think I can become a high school student right away?","","Hey, Mr. Producer!
How can I become a high school student in no time?"
"はぁ……。
また、突拍子もないことを……","","Huh. .......
You can also go to ...... for a rush.","","Hah...
That's outrageous..."
"おとなしく待つんだ","","We'll just sit tight and wait.","","Just sit tight and wait."
"飛び級試験だな","","Skipping the test.","","It's a grading exam."
"年齢は誤魔化せない","","Age is not deceptive.","","You can't fool me for my age."
"それは、おとなしく待つしかないな","","Well, we'll just have to wait and see.","","Well, we'll just have to wait patiently."
"え～、そんなのムリですよ～。
わたし、今すぐ高校生になりたいんですから～","","Oh, no, that's impossible!
I want to be a high school student right now!","","Eh? I can't do that.
I want to be a high school student right now~"
"そんなに焦らなくても、今だって
モテモテハッピーライフは目指せるんじゃない？","","You don't have to be in such a hurry, even now.
I think we can aim for a irresistibly happy life, can't we?","","There's no need to rush. You can still aim
for a happy life with popularity, right?"
"うん！　
翼ちゃんが気付いてないだけかもっ☆","","Yeah!
Maybe Tsubasa-chan just doesn't realize it.","","Yeah!
Maybe Tsubasa-chan just hasn't noticed☆"
"え～っ！　ホントですか～♪","","Really?","","Whaaat! Really? ♪"
"飛び級試験をして、高校生になるしかないな","","I'll have to take the skip test and go to high school.","","I'll have to take the grading exam and become a high school student."
"試験……？
それを合格したら、高校生になれるんですか？","","Exam ......?
If I pass that, can I be a high school student?","","Exams...?
If I pass, will that make me a high school student?"
"ていうか、高校の飛び級試験ってあるの？
あんまり聞いたことないけど","","I mean, is there a high school skip test?
I haven't heard much about it.","","Wait, is there a high school jump test?
I haven't heard much about it."
"大学ではできるって聞いたことがあるかも……。
でも、飛び級試験ってめっちゃ難しいんじゃない？","","You may have heard that you can do this in college. ......
But isn't the skip test really difficult?","","I've heard that you can do it in college...
But isn't passing the grade exam really hard?"
"え～、いっぱい勉強しなくちゃいけないなら、
諦めて、普通に高校生になるのを待ちます……","","Eh - if you have to study a lot,
I'll give up and wait for a normal high school student: ......","","Whaaat? If I have to study a lot, then let's just give up
and wait until we become high school students like normal..."
"年齢は誤魔化せないからな","","You can't fake age.","","You can't fool me for my age."
"プロデューサーさん、年齢をウソついたって、
べつに高校生にはなれなくないですか？","","Producer, you lied about your age,
Can't I be a high school student?","","Producer said he lied about his age, but wouldn't
it be hard to become a high school student?"
"フツーに考えてそうだよね。プロデューサー、
もうちょっと真面目に答えてあげた方がいいよ？","","It sounds like a hoot, right, producer?
I think you should answer him a little more seriously, don't you?","","You seem to be thinking normally. Producer,
you should give her a more serious answer!"
"えへへ、プロデューサーさん、
冗談で言ったんだよね","","Eh, heh, heh, heh, producer,
I know you were joking.","","Heheh, the
producer was just joking."
"も～、プロデューサーさん！
わたしは真剣に悩んでるんですよ～？","","Moooooooooooooooooooooooooo, producer!
I am seriously worried about it, you know?","","Come on, Mr. Producer!
I'm seriously worried about it, you know?"
"ご、ゴメン。そうだな、
もう少し、真剣に答えるべきだったな……でも","","Sorry, you're right,
I should have taken your answer a little more seriously at ......","","S-Sorry. You're right, I should have
answered a little more seriously..."
"翼もその時がくれば、高校生になるから、
今は中学生として頑張ろうな","","Wings will be in high school when the time comes,
Let's just try to be middle schoolers now.","","When the time comes, Tsubasa will become a high school
student. Let's do our best as junior-high students for now!"
"はーい。あーあ、わたしの
モテモテハッピーライフはまだ遠いな～","","Yes, my
I'm still a long way from a irresistibly happy life!","","Okay. Ahh, my happy life of popularity
is still a long way off~"
"でも、参考になったかも。
ふたりとも、ありがとうございまーす！","","But it could have been helpful.
Thank you both very much!","","But it might have been helpful.
Thank you both so much!"
"（年上のふたりと話をして、なにかに気づけたか？
これで翼が成長……してくれたらいいんだけど）","","(Did you notice anything by talking to the two older people?
(I hope this makes the wings grow ......)","","(Did you notice anything after talking to those two older than me?
It'd be nice if my wings could grow...)"
"（翼と一緒に、繁華街へと買い出しに来た……）","","(I came downtown with my wings to do some shopping ......)","","(I came shopping downtown with Tsubasa...)"
"さてと、次は音無さんに頼まれた買い物だけど……。
翼、疲れてないか？　どこかで休んでもいいぞ","","Okay, next up is the shopping that Otonashi asked me to do. ......
Wings, aren't you tired? You can rest somewhere.","","Now then, as for the shopping Otonashi-san asked me to do...
Are you tired, Wing? You can rest somewhere."
"……えっ？","","","","...Eh?"
"ごめんなさい、プロデューサーさん。
ちょっと、聞いてなかったです……","","Sorry, producer.
Hey, I hadn't heard about this: ......","","I'm sorry, producer.
Hey, I wasn't listening..."
"いや、買い物に疲れたのなら、
どこかで休もうかって聞いただけだよ","","No, if you are tired of shopping,
I just asked if we could take a break somewhere.","","No, I was just asking if you're tired
from shopping. Why not rest somewhere?"
"あ、それならアイスショップでテイクアウトして、
どこかのベンチで一緒に食べませんか～？","","Oh, and take out at the ice cream store,
Why don't you eat with us on a bench somewhere~?","","Oh, why don't we go to an ice cream shop
and have some take-out on a bench together?"
"ああ、いいよ。え～と……、この近くだと、
アイス屋さんはどこにあったかな……","","Oh, okay, let's see, ......, it's near here,
Where was the ice cream shop: ......","","Yeah, sure. Let's see... I wonder where
the ice cream shop is around here"
"ホントですか！　ありがとうございまーす♪
えへへ、どのフレーバーにしようかな～♪","","Thank you very much!
Ehehe, which flavor should I choose~!","","Really?! Thank you so much~ Eheh,
I wonder what flavor to choose♪"
"まあ、ついてから好きなのを選べばいいよ。
……で、さっきはなにか考え事でもしてたのか？","","Well, you can choose whatever you want when you get there.
Were you thinking about something earlier at ......?","","Well, you can choose whichever one to like after we're done.
...So, were you thinking about something earlier?"
"え？　そうですね……、
考えごとっていうほどじゃないですけど……","","Eh? Yes, ......,
Not so much thinking as thinking: ......","","Huh? Well... It's not really
something I should be thinking about."
"美希先輩、それに甘奈さんや美嘉さんみたいな
アイドルになるためには、どうすればいいのかなって","","Miki-senpai, and like Amana and Mika.
I was wondering what I should do to become an idol.","","Miki-senpai, and I was wondering
how to become an idol like you two."
"プロデューサーさんって、いろんなアイドルを
見たり研究したりしてきたんですよね？","","Producers are so many different kinds of idols.
You've seen and studied them, right?","","You've seen and studied a
lot of different idols, right?"
"まあな。それが俺の仕事だから","","Well, yeah, because that's what I do.","","Yeah, I guess. It's my job to make sure it stays that way..."
"プロデューサーさん。わたしって
美希先輩たちみたいなアイドルになれますか？","","Producer, I am...
Can I become an idol like Miki and her seniors?","","Mr. producer, can I become an idol
like Miki-senpai and the others?"
"そうだな……。翼はアイドルとして、
美希たちみたいになりたいってことか？","","Yes, ....... wings as an idol,
You mean you want to be like Miki and the others?","","Let's see.... Does that mean Tsubasa wants
to be like Miki and the others as an idol?"
"はい！　だって、キラキラしてて
モテモテでハッピーってカンジじゃないですか～！","","Yes! Because it sparkles.
It's like being irresistible and happy, isn't it?","","That's right! It sparkles, and it makes
me happy to be popular with the ladies."
"……それなら、今だってキラキラしてて、
十分ファンにモテモテじゃないのか？","","......Then, even now, it's sparkling,
Aren't you irresistible enough to your fans?","","In that case, wouldn't you say he was
already sparkling and popular with the fans?"
"う～ん……そういうのは、
ちょっとだけちがう気がするんですよね～……","","Ummm ...... that kind of thing,
I think it's just a little different - ......","","Hmm... I don't think that
kind of thing is quite right."
"美希先輩たちみたいな魅力……って、いうんですか？
わたしにも、そういうのがあればな～って","","Is it called the charm ...... like Miki and her seniors?
I wish I had something like that.","","I'm attractive like Miki-sempai and the others... Is that what you mean?
If only I had something like that, too. That's what it would be nice to know about her..."
"なるほど、魅力か……。
欲しくても、簡単に手に入るものじゃないからなあ","","Okay, I see the attraction or .......
It's not something that's easy to get, even if you want it.","","I see. Charming, huh...
It's not easy to get your hands on, even if you want it."
"ねえ、プロデューサーさん。
わたしにも魅力ってあると思います？","","Hey, producer.
Do you think I have charm too?","","Hey, producer.
Do you think I'm attractive too?"
"ああ、もちろんだ。翼の魅力は……","","Yes, of course, the wings are fascinating: ......","","Yeah, of course. The charm in the wings is..."
"無邪気なところ","","Innocent place","","Innocent."
"元気なところ","","Cheerful place","","Somewhere healthy."
"大人っぽいところ","","A mature place","","The mature side."
"翼の魅力は無邪気なところだな","","The thing about wings is that they're so innocent.","","The charm of the wings is innocence."
"無邪気……ですか？
それって、わたしが子どもっぽいってことですか！？","","Are you innocent ......?
Does that mean I am childish!","","Innocent...?
Does that mean I'm childish?!"
"確かに、子どもっぽい部分もあるけれど、
天真爛漫な無邪気さが翼の魅力だと思うぞ","","Sure, there are childish aspects to it, though,
I think it's the innocence of innocence that's so appealing about the wings.","","▁It's true that she can be childish at times, but I think
her innocent innocence is the charm of a winged being."
"てんしんらんまん？","","Tenshin Ranman?","","Tenshinran?"
"ああ、いつも明るくて純粋で、
自分の気持ちに素直な女の子……って、感じかな","","Oh, always cheerful and pure,
A girl who is honest about her feelings. ......","","Yeah, she's always bright and innocent. She can be
honest with her feelings... Or something like that?"
"へ～、そういう意味なんですか～♪　あ、もしかして
プロデューサーさんの好きなタイプですか～？","","Heh~ is that what you mean?
Is this your favorite type of producer~?","","Huh, is that what you mean? ♪ Oh! You don't happen
to like Producer of this show or something..."
"それなら、わたし、てんしんらんまんな女の子で
いいですよ♪　えへへ～","","Then, I'm a girl with a lot of ambition.
It's fine...ehehehe~!","","In that case, I'm fine with
being a normal girl. ♪ Hehe~"
"元気なところかな","","I guess it's a cheerful place.","","I wonder if he's doing well."
"それって、なんか未来っぽくないですか？
べつに、否定してるんじゃないですけど……","","Doesn't that sound kind of futuristic?
Not that I'm denying it, but ......","","Isn't that kind of futuristic?
I'm not denying it, but..."
"確かに、未来は元気いっぱいだけど、
翼には翼にしかない元気さがあるからな","","Sure, the future is full of energy,
Because wings have a vitality that only wings can have.","","It's true that the future is full of energy,
but wings have a vitality only they can possess."
"わたしだけの元気さ……？　もしかして、
大人っぽくて、モテモテってカンジですか！？","","My own energy ......? Perhaps,
Do you feel mature and irresistible?","","Is it just me, or is he
more mature and popular?!"
"大人っぽいかは別だが……。翼の元気に
パワーを分けてもらっているファンも多いと思うぞ","","Not if it's mature or not. ....... wing's fine.
I'm sure there are a lot of fans out there who are sharing the power with you.","","I don't know if it looks mature or not, but I think there are a lot
of fans who share their power with the winged being in good health."
"そうなんだ～！　私だけの元気……。うん、これも
わたしの大事な魅力ってことにしますね","","Oh yeah~! My own personal energy ....... Yeah, this one too.
I'll call it my precious charm.","","I see! So it's just for me... Yeah, this
is an important part of my charm."
"大人っぽいところかな","","I think it's more mature.","","I guess it's mature."
"わたしが大人っぽい……ですか？　もしかして、
プロデューサーさん。気を使ってませんか？","","Am I a mature ......? Perhaps,
Producer, are you paying attention?","","I look like an adult...? Are you trying
to be considerate, Mr. producer?"
"そ、そんなことないぞ。ルミナスプロジェクトに
参加してから、少し大人っぽくなった気が……","","No, it's not...it's for the Luminous Project.
I feel a little more mature since joining ......","","Th-That's not true. I feel a little more mature
since joining the Luminous Project..."
"それって、ほんの数ヶ月の話じゃないですか。
たしかに、少しずつ大人に成長してますけど……","","That's just a few months, isn't it?
Yes, I'm slowly growing into an adult, but ......","","Isn't that just a matter of months?
It's true that she has been growing up bit by little, but..."
"むぅ～、プロデューサーさん、ごまかしてませんか？
それが一番子ども扱いですよー","","Mmmm...aren't you cheating, producer?
That's the best way to treat children!","","Ugh... Are you trying to trick me, Mr. Producer?
That's the best way to treat a child."
"まあ、モテモテハッピーライフを目指すのも
大事だけど、活動やレッスンにも集中するようにな","","Well, you can't just go for the irresistibly happy life.
It's important, but you've got to focus on the activities and the lessons, too.","","Well, it's important to aim for a happy life with popularity.
But you should focus on your activities and lessons as well!"
"心配しなくても大丈夫ですよ～。
今のレッスン、簡単ですし","","Don't worry about it!
Now that's a lesson, and it's an easy one.","","You don't have to worry.
That lesson was easy."
"……レッスンが簡単かどうかって話じゃなくて、
しっかり取り組むようにって、意味で言ったんだぞ","","I'm not talking about whether ...... lessons are easy or not,
I meant for you to work on it.","","...I'm not asking if your lessons will be
easy. I meant to make sure you work hard, okay?"
"それに、レッスンを頑張るのは、翼のモテモテ
ハッピーライフのために、必要になる気がするんだ","","Besides, it's the winged motormouths who work hard on their lessons.
I have a feeling we're going to need it for a happy life.","","Besides, I feel like it's necessary to work hard at my lessons
for the sake of a happy life with popular wings."
"え～、ホントですか～？
あんまり関係ない気がするんですけど……","","Oh, really?
I don't think it matters much. ......","","Whaaat, really?
I don't think it has anything to do with this..."
"うまく説明できなくて悪いが、俺も翼の目標について
考えているから……少し待っていてくれ","","Sorry I can't explain it better, but I've been thinking about the wing goals too.
I'm thinking about it. ...... just wait a bit.","","Sorry I can't explain it to you properly, but just give me a moment. My wings have something in
mind as well... so please wait here for the next few minutes and see what comes out of my mouth"
"プロデューサーさんがそこまで言うならいいですよ。
わたし、待ってますね♪","","If Producer wants to go that far, fine.
I'll be waiting for you.","","If Producer says so, it's fine.
I'll be waiting for you♪"
"（翼はレッスン嫌いだが、才能があるのは事実だ。
彼女の能力に見合ったレッスンをしてみるか……）","","(I don't like wings for lessons, but they are talented.
Let's see if we can give her a lesson worthy of her abilities (......).","","(Wings don't like lessons, but it is true that they have talent.
(Maybe I should give her a lesson that matches the girl's abilities...)"
"（新しいレッスンを受けられるようになってから、
翼の様子が変わってきた……）","","(When you are ready for a new lesson,
(Wings are looking different: ......)","","(Ever since I started taking new lessons,
my wings have changed...)"
"ワン・ツー・スリー・フォー……♪
ワン・ツー・スリー・フォー……♪","","One Two Three Four ......♪
One Two Three Four ......♪","","One two three four... ♪
Just onetwothreefour~"
"（翼、イキイキしているな。表情も明るくて、
今までより、キラキラ輝いている気がする）","","(Tsubasa, you're looking so lively, your expression is so bright,
(I feel more sparkly than ever.)","","(Her wings are twitching. Her expression is bright,
and I feel like they're shining brighter than before...)"
"ワン・ツー……。あっ、プロデューサーさんだ～！
いつの間に来てたんですか～？","","One Two ....... Oh, it's Producer!
When did you get here~?","","One two... Oh, it's Producer!
When did you get here?"
"そうだ！　さっき、トレーナーさんに
ダンスが上手だって褒められたんですよ～♪","","Yes! Earlier, I had a trainer.
They complimented me on my dancing!","","That's right! The trainer just praised
me for being a good dancer. ♪"
"ちょっ、ちょっと待った、翼！
今はレッスンの途中だろ？","","Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa!
We're in the middle of a lesson, right?","","W-wait a minute, Tsubasa!
You're in the middle of a lesson, right?"
"そうですけど……。
それがどうしたんですか？","","Yes, but see .......
What about it?","","That's true, but...
So what about it?"
"だったら、レッスンに集中しないと。
ほら、レッスンに戻るんだ","","Then I need to focus on the lesson.
Come on, back to your lesson.","","If that's the case, I have to focus on my lessons.
Come on, get back to your lesson."
"え～、上手に踊れてるって、
トレーナーさんも言ってたんですよ～？","","He said, ""Oh, you're dancing well,
The trainer said it too - right?","","Huh? Didn't the trainer say
you danced pretty well, too~"
"振り付けは完璧で、体でも覚えたし、
他にレッスンしておくことってありますか～？","","The choreography was perfect, and I learned it with my body,
Is there anything else I should take a lesson in -?","","Your choreography is perfect, and you've memoRinzed it with
your body. Is there anything else that needs to be taught?"
"でも、さっきはちゃんと
ダンスレッスンをやってたじゃないか","","But you got it right earlier.
You gave dance lessons.","","But you were giving dance
lessons earlier."
"さっきのは、トレーナーさんに教えてもらった、
新しいダンスレッスンの振り付けですよ～","","The trainer told me what you just said,
It's choreography for a new dance lesson!","","That was choreography for the new dance
lessons that our trainer taught us earlier."
"だいたい、覚えちゃったんですけど、何度も踊って
体に覚えこませるのが大切なんですって～","","I've memorized most of it, but I danced it over and over again.
It's important to let your body learn how to do it.","","I've already memoRinzed it, but the important thing
is to make your body remember how many times you dance"
