"（伊織が雑誌を読んでいるみたいだ……。
声をかけてみよう）","","(It looks like Iori is reading a magazine. ......
(Let's call out to him.)","","(It looks like Iori's reading a magazine...
Let's try talking to her.)"
"伊織の実家を頼る","","Rely on Iori's parents' home","","Rely on Iori's family"
"伊織が直接路上で配ってみるのはどうだ？
人が集まるし、絶対盛り上がるぞ！","","How about Iori handing them out in person on the street?
It's going to bring people together and it's definitely going to be a lot of fun!","","How about Iori distributes them directly on the street?
There's gonna be a lot of people here, so we have to make sure it gets exciting!"
"にひひっ♪　そうね、話題にならないはずないわね！
オレンジジュースブームを起こしてあげるわよ！","","NIHHIHI ♪ Yes, how could it not be a topic of conversation?
I'll start an orange juice boom for you!","","Hehe♪ That's right, there was no way it wouldn't be a hot topic!
I'll make an orange juice boom for you!"
"あっ、でも私が配ることが事前にわかっちゃったら
みんな大パニックになるから……秘密でお願いね♪","","Oh, but if they find out in advance that I'm going to hand them out...
Please keep it a ...... secret because people will freak out big time... ♪","","Oh, but if they find out I'm going to be handing them over
in advance everyone will panic... Please keep it a secret.♪"
"新商品のオレンジジュースよ。
この秘密の味、あなたも飲んで確かめてみて♪","","It's our new orange juice.
You can taste the secret and see for yourself....","","Here's your new orange juice.
You should try some of this secret flavor.♪"
"えっ！？　伊織ちゃんじゃないか！　伊織ちゃんが
くれたジュース……もったいなくて飲めないよー！","","What? It's Iori, isn't it?
I can't drink the juice ...... you gave me because it's too good to waste!","","Huh?! If it isn't Iori-chan. The juice
you gave me is too wasteful to drink~"
"（伊織が直接サンプルドリンクを手渡すシークレット
イベント……そのおかげでジュースは大ヒット！）","","(Secret: Iori directly hands out sample drinks.
(The event ...... that made the juice a big hit!)","","(The secret event where Iori hands over her sample
drink... Thanks to that, the juice became a huge hit!)"
"（思惑通りにオレンジジュースブームも
到来し、伊織も大満足の結果になった！）","","(And the orange juice boom, as I suspected.
(It arrived, and Iori was very happy with the results!)","","(Just as I expected, the orange juice boom
arrived. And now it's all coming together!)"
"そうだな、伊織が試飲して、
新作ジュースを褒めるっていうのはどうだ？","","Yes, Iori tasted it,
How about a compliment on the new juice?","","Let's see, how about Iori tries
it and praise the new juice?"
"なんだかヒネリのない感じだけど、悪くないわね。
さっき試飲させてもらったけど、美味しかったしね♪","","It's kind of twitchy, but not bad.
I got to taste it a while ago and it was delicious.Â","","It doesn't seem to have any twists or turns, but it looks good.
I tried some earlier, and it was delicious.♪"
"ゴクゴク……ぷはぁ♪　これが飲みたかったのよ！
伊織ちゃんも大満足な、最高のオレンジジュース！","","Goku goku ...... puhhhh... I wanted to drink this!
Iori is also very satisfied with the best orange juice!","","*gulp*... Pwah♪ This is what I wanted to drink!
Iori-chan's satisfied with the best orange juice ever!"
"（伊織が実際に飲んで、オレンジジュースを
褒めたことで、伊織のファンが興味をもってくれた）","","(Iori actually drank and orange juice.
(The praise got Iori's fans interested.)","","(When Iori actually drank it and praised the
orange juice, her fans took an interest.)"
"（口コミが広がり、ファン以外も購入してくれて
中々の売り上げになったみたいだ！）","","(Word of mouth spread, and non-fans also purchased the product.
Looks like they made some moderate sales!)","","(Word of mouth spread, and they even bought something
that wasn't a fan. Looks like it sold pretty well!)"
"あえて広告っぽさをなくして、伊織の
いつも通りの様子のままで行こう","","Iori's daring to eliminate the advertisement-like
Let's just keep things the way they are.","","Let's stop advertising and keep
Iori the same as always."
"それってどういう狙いなのよ？
私は普段通りにジュースを飲んでればいいわけ？","","What's the point of that?
Am I supposed to just drink my juice like I normally do?","","What's that supposed to mean?
Should I just drink juice like usual?"
"（ジュースはそこそこ売れたけれど、伊織の影響力は
あまり感じられず、クライアントは曇り顔だった）","","(Juice sold well, but Iori's influence was
(Not much felt right, and the client had a clouded look on his face.)","","(The juice sold pretty well, but Iori didn't seem to have
much influence. Our client had a cloudy look on his face...)"
"伊織の実家、水瀬グループの大企業の力を使おう。
それこそ、伊織しか出来ないことだ","","Let's use the power of Iori's family, the big company in the Mizuse Group.
That's exactly what only Iori can do.","","I'll use the power of a large company in my family, Minase Group.
That's something only Iori can do."
"アンタ、私の力だけじゃ売れないって思ってるの？
……いいわ、言われた通りやってあげるわよっ","","You think I can't sell it on my own?
...... Okay, I'll do as you say.","","You don't think I can sell you my power alone?
...Fine, I'll do as you say."
"（伊織は話をしてくれたが、企業同士の交渉は
難航し、企画自体が没になってしまった……）","","(Iori spoke with us, but negotiations between companies are
(The project itself was abandoned due to difficulties ......)","","(Iori told me about it, but the negotiations between
companies were difficult. The project itself was ruined...)"
"（今回の仕事は成功だ！）","","(This job was a success!)","","(This job was a success!)"
"（今回の仕事は失敗だ。次こそは！）","","（This job was a mistake...next time!)","","(This job didn't go well,
Let's try again next time!)"
"伊織、ＴＶの仕事だ。
バラエティ番組に出演が決まったぞ！","","Iori, it's a TV job.
You're going to be in a variety show!","","Iori, it's TV work.
It's been decided that she will appear on a variety show!"
"アンタがとって来た仕事ね。
どんな内容かしら？","","You got the job, didn't you?
What do you think it's about?","","That's the job you got.
What do you think it's about?"
"えーと……テーマは『アイドル×山ガール』か……。
山ガール、ってことはもしかして……","","Let's see, ...... theme is ""Idol x Mountain Girl"" or .......
Mountain girl, which could mean ......","","Let's see... The theme is 『Idol × Mountain Girl』, huh?
A mountain girl? Does that mean..."
"伊織、ロケで山に行くみたいなんだが、
どうだ？　大丈夫そうか？","","Iori, I think we're going to the mountains for a location shoot,
How's it going? Is everything okay?","","Iori, it looks like you're going to the mountains for a
location shoot. How about that? You okay with this one?"
"あら、もしかして山が平気か心配しているの？
大丈夫よ、家族で乗馬しに高原に行くこともあるしね","","Oh, you're worried about whether the mountain will be okay?
It's okay. Sometimes my family goes to the highlands for horseback riding.","","Oh, are you worried about the mountain?
Don't worry, we go to the highlands with our family for horseback riding."
"乗馬で高原にか……でも、今回の企画は
どうも登山っぽくてな。用意が要るんじゃないか","","Riding on horseback on the plateau or ......, but this time the project is
I think it's a bit of a climb, and you'll need to be ready for it.","","Riding in the highlands, huh... But this plan seems like a
bit of hiking. I think we'll need to be prepared for it first!"
"高原だって山みたいなものでしょ？
でも、山に必要なものが分からないわね……","","Even the plateau is like a mountain, right?
But I don't know what you need for the mountains. ......","","The highlands are like mountains, aren't they?
But I don't know what the mountain needs..."
"服とか持ち物とか……。
何を持っていけばいいのかしら？","","Clothes and belongings. .......
What should I bring?","","Clothes and personal effects...
What should I bring with me?"
"そうだな、山に必要なものは……","","Yes, the mountain needs ......","","That's right, what the mountain needs..."
"靴","","shoes","","Shoes."
"服装","","attire","","Clothes"
"飲み物","","drink","","Drink."
"お弁当","","bento (Japanese box lunch)","","Lunch box"
"とにかく靴だな。普段の靴じゃ山道は歩けないし、
慣れない状況だからこそ、靴が大事だと思うぞ","","Anyway, it's shoes...I can't walk on mountain paths in my normal shoes,
You're in an unfamiliar situation, and that's why I think it's important to have the right shoes.","","Anyway, shoes. You can't walk the mountain path with your normal boots on and I think
you need to wear them in a situation like this that is unfamiliar for most of us"
"あら、的確なアドバイスね♪　それじゃあ早速、
私にぴったりの登山シューズを作るわよ！","","Well, that's good advice... Now then, let's get to it,
I'll make you the perfect pair of climbing shoes for me!","","Oh, that's some good advice. ♪ Then let me make
you the perfect pair of climbing shoes!"
"作る？　買うじゃなくてか？","","Make it? Not buy it?","","Make it? Not buyin' one of those things, I mean."
"伊織ちゃんの足を支えるんだから、
オーダーメイドに決まってるでしょ？","","You have to support Iori's legs,
Of course it's custom-made, right?","","Since you're supporting
Iori-chan, it must be custom made."
"ねえ、プロデューサー、どんな登山シューズが
私に似合うか、特別に選ばせてあげるわ！","","Hey, producer, what kind of climbing shoes are you wearing?
I'll let you make a special selection to see if it suits me!","","Hey, producer. I'll let you choose
what kind of shoes look good on me!"
"ああ、分かった。伊織が怪我をしないように、
ちゃんと合ったものを作ろう","","Yeah, okay, so that Iori doesn't get hurt,
Let's make sure it fits properly.","","Yeah, got it. I'll make something to match you so
that your wounds don't get too badly hurt either"
"（伊織はオーダーシューズで意気揚々と番組撮影に
挑み、山道も難なくクリアした！）","","(Iori was elated to be filmed for the program in her custom-made shoes.
(He took on the challenge and cleared the mountain roads with no difficulty!)","","(Iori triumphantly tried to take photos of the show with
her shoes, and cleared a mountain path without any trouble!)"
"（伊織の靴も話題になった結果、商品化の相談が
来たりもして、企画は大好評だった！）","","(Iori's shoes also became a topic of conversation, and as a result, we were asked to commercialize them.
(They even came, and the project was a big hit!)","","(As a result of Iori's shoes becoming the talk, people started
talking about selling them. The project was really popular!)"
"服装かな。服装が大事だと思うぞ。
山の天気は変わりやすいしな","","I think it's all about the clothes.
Mountain weather is changeable.","","I wonder if it's about your clothes. Your outfit is important, you know?
The weather in the mountains changes easily."
"そうね、動きやすくて通気性もよくって、
ちゃんと汚れてもいい服を考えないとね","","Yes, it's easy to move around and breathable,
I'll have to come up with some clothes that can get properly soiled.","","That's right. They are easy to move in and breathe,
so we need a clothes that can get dirty properly!"
"お気に入りのブランドのデザイナーに
登山服を作ってもらっちゃおうかしら♪","","To the designers of your favorite brands.
Maybe I'll get some climbing clothes made...","","Maybe I'll get a designer from my favorite
brand to make me some hiking clothes.♪"
"（確かに服は大事だった。おかげで伊織の登山は
快適に過ごせたし、服自体も話題になったぞ！）","","(Clothes were indeed important, and thanks to them, Iori's mountain climbing
We were comfortable, and the outfit itself got people talking!)","","(Clothing was important. Thanks to that, Iori's mountain climbing
experience became much more comfortable and clothes were a hot topic!)"
"（ただ、山道が少し歩きにくそうだったから、
靴も考えたほうが良かったかもしれないな）","","(Just because the mountain path looked a little difficult to walk on,
(Maybe I should have thought about shoes, too.)","","(But it seemed like the mountain path was a bit
difficult to walk, so maybe I should have thought of shoes.)"
"飲み物がなくなったら大変だから、
ドリンクを用意した方がいいな","","If we run out of drinks, we're in trouble,
I better get you a drink.","","It'd be bad if we ran out of drinks,
so I think you should prepare one."
"そうね。じゃあ、アンタ、当日までに
オレンジジュースを用意しなさいよ！","","Well, then, by the end of the day, you...
Get the orange juice ready!","","That's right. Then, make sure you get
the orange juice ready by that day!"
"（オレンジジュースを用意していったけれど、
途中で、お茶やお水が欲しくなってしまった）","","(I had prepared orange juice, though,
(Along the way, I wanted some tea or water.)","","(I prepared some orange juice, but I ended up wanting
tea and water on the way here anyways.」)"
"（伊織の具合が悪くなってしまい、
収録は中断になってしまった……）","","(Iori's condition became worse,
(The recording was interrupted: ......)","","(Iori's not feeling well, so the recording
session has been put on hold...)"
"そうだな、お腹が空いたら大変だし、
お弁当の用意もしないとな","","Yes, it's hard when you're hungry,
I'll have to pack a lunch for you, too.","","That's right. It would be bad if you were
hungry, so I need to prepare lunch for us as well..."
"そうね、お腹が空いたら動けないものね。
完璧なお弁当を用意するわ！","","Yes, you can't move when you're hungry.
I'll prepare the perfect lunch!","","That's right. If you get hungry, it won't be able to move at all...
I'll make you the perfect lunch!"
"（伊織の完璧なお弁当はすごく豪華だったが、
重すぎて山頂に辿り着けなかった……）","","(Although Iori's perfect lunch was absolutely gorgeous,
(Too heavy to reach the summit ......)","","(Iori's perfect bento was so extravagant,
but it felt too heavy to reach the top...)"
"（雑誌で『水瀬伊織のライブＭＣの魅力に迫る！』
という、特集記事が組まれることになったが……）","","(In the magazine, ""Iori Minase's Live MC Attraction!"")
(......), which will be the subject of a feature article.","","(『I'll show you the charm of a live MC!』 in magazines.
And so, a feature article was put together...)"
"伊織、今日はそのＭＣの取材のために、
雑誌の記者がライブに来ているぞ","","Iori, today is for that MC interview,
There's a magazine reporter at the gig.","","Iori, a reporter from the magazine
is here today to interview that MC."
"え、あれってライブ後のインタビューじゃなくて、
今から始まるライブに密着取材って内容だったの？　","","Eh, that wasn't an interview after the concert,
Was it about a close interview for a live show that is about to start?","","Huh? Wasn't that supposed to be an interview after the
concert, but a close-up coverage of our upcoming live performance."
"あ、ああ。ライブの後よりも、ライブ開始前や
本番の様子を主にレポートしたいらしくて","","Ah, ah...more than after the gig, before the gig starts or
They wanted to report mainly on the show.","","Y-Yeah. Rather than after the concert, he mainly wants to
report on how things went before and during it started..."
"もしかして、取材内容を間違えて伝えてたか？
そうだとしたら俺のミスだな、すまん……","","Perhaps I misrepresented the content of the interview?
If so, that's my mistake, sorry: ......","","Did I accidentally tell her about the interview?
If that's the case, it was my mistake. Sorry..."
"そういえば……ライブ密着取材って書いてたわ……。
もう！　私が勝手にカン違いしただけよ！","","Oh, I remember writing ...... live close coverage. ......
Oh, my God, I just misinterpreted it!","","Come to think of it... she did say something about a live coverage.
Geez! I just misunderstood on my own."
"でも今日のＭＣで特別なことなんて、
なにも考えて来なかったわ……","","But nothing special about today's MC,
I didn't think anything of it. ......","","But I didn't think anything special
about being the MC today..."
"プロデューサー、ちょっと参考までに聞くけど、
なにかいいアイディアはない？","","Producer, I'm just asking for your information,
Any ideas?","","I'm just asking, producer.
Do you have any good ideas?"
"もっと魅力的なＭＣをするには、か……","","To make your MC more attractive, or ......","","To become an even more attractive MC, huh..."
"お礼を言う","","thank","","I thank you."
"いつも通り","","as always","","Same as always."
"甘えてみる","","I'm going to spoil him.","","I'll take you up on that."
"俺に言うみたいに","","Like you're talking to me.","","Like you're telling me."
"そうだな、応援してくれるファンに
たまには素直にお礼を言ってみたらどうだ？","","Yes, to the fans who support us.
Why don't you be honest and say thank you once in a while?","","You should thank the fans who
support you once in a while."
"たまにはってなによ、いつも言ってるでしょ？
でも、そうね……素直に言葉にするのも悪くないわね","","What do you mean sometimes? You always say that, don't you?
But yeah, ...... it's not a bad idea to be honest with your words.","","What do you mean, 'sometimes'? I always say that.
But, yeah... It's not a bad idea to just come out and say it."
"にひひっ♪　スーパーアイドルとして、
ファンのみんなを、もっと夢中にさせちゃいそうね！","","Nihihihi♪ As a super idol,
It's going to make all your fans even more enthralled!","","Heheh♪ As a super idol, I'm going to
make all my fans even more entranced!"
"ああ、きっとファンのみんなが喜んでくれるぞ！","","Yeah, I'm sure the fans will love it!","","Yeah, I'm sure the fans will love it!"
"……ここから見ると、光がすごくきれい……。
みんなー、いつも応援してくれてありがとう！","","The light is so beautiful from here .......
Thank you all for your support!","","...Looking at it from here, the light is really pretty...
Everyone, thank you for always cheering me on!"
"こ、こちらこそ、ありがとう～！！","","Thank you so much for this one~!","","Th-Thank you, too!!"
"（伊織とファンとの素直な応答に、記者も感激して
いた……後日の雑誌記事も、熱いものになった）","","(The reporter was thrilled by Iori's honest response with the fans.
(A magazine article on ...... later in the day that was also hot off the press.)","","(The reporter was impressed by Iori and her fans' honest response...
Even the magazine article from a later date became passionate.)"
"（記事のおかげか、雑誌の売上もよく、
ライブも前より盛り上がるようになったぞ！）","","(Thanks to the article, the magazine sold well,
(And the live show just got more exciting than ever!)","","(Thanks to the article, we're selling a lot of magazines
and getting even livelier than before!)"
"いつも通りのＭＣでいいんじゃないか？
伊織の魅力が一番伝わると思うぞ","","Just MC as usual, right?
I think you'll find Iori most appealing.","","Isn't it fine to be the usual MC?
I think iori's charm will get the most out of you."
"そうね、私は『世界のアイドル』だもの。
見てなさい、いつも通り盛り上げて見せるわ♪","","Yes, I am an ""idol of the world.
Watch me, I'll make it exciting as usual... ♪","","That's right, I am 『Idols of the World』.
Watch me, I'll liven things up as usual.♪"
"ああ、頑張ってくれ！　頼んだぞ！","","Yeah, good luck with that!","","Yeah, good luck! I'm counting on you."
"次の曲は、みんなの大好きな伊織ちゃんのあの曲！
さ、いっしょに歌いましょ♪","","The next song is that Iori song that everyone loves!
Come on, let's sing together","","The next song is Iori-chan's favorite!
Come on, let's sing it together.♪"
"（記者は興奮した様子でメモを取っていた。
後日の雑誌記事も、場の興奮が伝わるものとなった）","","(The reporter was taking notes with excitement.
(A later magazine article also conveyed the excitement of the occasion.)","","(The reporter was taking notes excitedly.
The magazine articles at a later date also conveyed excitement in the room.)"
"（記事のおかげか、雑誌の評判も良く、
伊織の自然な振る舞いも各所で好評だ！）","","(Thanks to the article, the magazine was well received,
(Iori's natural behavior has also been well received in various places!)","","(Thanks to the article, Iori's well-received in magazines
and her natural behavior is popular everywhere!)"
"たまには甘えた感じでファンに接するのも
いいんじゃないか？","","Sometimes you have to treat your fans like they're spoiled.","","I think it's good to act like
a spoiled child sometimes."
"え？　甘え、って……たとえば、翼みたいな感じ？
私のそういう姿、ファンに見せていいのかしら","","What? Spoiled, like ...... for example, like wings?
I wonder if it's okay for my fans to see me like that.","","Huh? What do you mean, 'spoiled'... Like wings or something like that 
I wonder if it's okay for fans to see me like this."
"（甘えた雰囲気はファンに好評だったが、記事には
『もっと辛口の魅力が恋しい』と書かれた……）","","(The pampered atmosphere was well received by fans, but the article
'I miss the more dry charm,' it says (......).","","(The fawning atmosphere was well received by the fans, but in an article
『I miss the dry charms.』 written on it...)"
"普段のステージでの伊織じゃなく、俺に接する
みたいに遠慮なく、色々言ってみたらどうだ？","","You treat me, not Iori on stage as you usually do.
Why don't you say things like, ""I'm not afraid to say things like.","","Why don't you try saying all sorts of things
to me, like how I feel around her?"
"ちょっと、普段の伊織ちゃんに文句でもあるの！？
……わかったわよ、やりたいようにやってやるわ","","Hey, do you have a problem with the usual Iori!
...... Okay, I'll do whatever I want.","","Hey, do you have a problem with Iori-chan being normal!?
...Fine, I'll do whatever you want."
"（ライブのＭＣで伊織はいつもよりも強気な発言を
繰り返し、記者もファンも唖然とさせてしまった）","","(Iori made a more forceful statement than usual during the live MC.
(Repeatedly, he stunned reporters and fans alike.)","","(At the concert, Iori said more bold things than usual. The
reporters and fans were dumbfounded by her words as well...)"
"……あら、プロデューサーじゃない。
今日もしっかり働きなさいよね♪","","...... Oh, no, I'm not a producer.
You've got to work hard today... ♪","","...Oh, if it isn't Producer.
Work hard today too, okay?♪"
"ちょっと、プロデューサー！　そんな眠たそうな
顔をしていないで、シャキっとしなさいよ！","","Hey, producer! You look so sleepy.
Don't be facetious, get your sh*t together!","","Hey, producer! Don't look so sleepy. Get a
hold of yourself and snap outta it already!!"
"お疲れ様、プロデューサー。
明日も馬車馬のごとく働きなさい。にひひっ♪","","Good job, producer.
Work like a cart horse tomorrow.","","Good work, producer.
Work like a carriage horse tomorrow.♪"
"ふふっ、今日はどのバブルバスにしようかしら♪
プロデューサーも、しっかりと休みなさいよね","","Hmmm, I wonder which bubble bath I'll have today...
Producers, you better get some rest, too.","","Hehe, which bubble bus should I take today?♪
Make sure you get some rest, too."
