"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"んっふっふ～♪
とうとう兄ちゃんも分かったようだね！","","Mmm-hmm~♪
I guess you finally figured it out, brother!","","Heeheehee! ♪ Looks like you've
finally figured it out!"
"亜美がウルトラスーパーせくしーアイドルだって
ことを！","","Ami says she's an ultra-super sex idol.
Things to do!","","That Ami is an
Ultra Super Sexy Idol!"
"え！？　自然っていうのは、等身大の亜美が……","","What? Nature means that the life-size Ami is ......","","Eh!? Nature is a life-size Ami..."
"今日のグラビアで亜美は世間をあっとビックラポン
させてしまうのだ！　ふははははー！","","Ami's Gravure Today Gives the World a Surprise!
I'm going to let you do it!","","Today's swimsuits will make Ami's
world go wild! Bwahahahaha!"
"（ぜ、全然話を聞いていないな……。別のこと……
仕事が上達していたところを褒めるか）","","(Ze, you're not listening to me at all. ....... Something else ......
(Or praise where the work had improved.)","","(I-I haven't heard a word of this...Something else...)
(Maybe I should praise him for improving his work.)"
"期待以上に良かったぞ！","","You've exceeded my expectations!","","That was better than I expected!"
"んっふっふ～♪　亜美の大人なミリキが
ドッカーンっと、爆発しちゃったかなー！？","","Nnnnghhhh~♪ Ami's mature milikki...
Boom, I think it exploded!","","Heh heh heh. ♪ Did Ami's
mature Miriki explode?!"
"あ、いや、大人というよりは……
亜美らしくてよかったと思うぞ","","Oh, no, it's more like an adult: ......
I think it was very Ami of you.","","Ah, no, it's not that I'm an adult...
I'm glad it's like you, ami."
"亜美らしさが大人顔負けのアダルティーてことだね！
うむうむ、亜美はツミブカ～イアイドルじゃのう","","It means that Ami-ness is as adulterated as an adult's face!
Mmmmmmmm, Ami is a very popular idol.","","Ami is an adult who loses to adults!
Hmm, Ami is such a sweet idol."
"（話を自分勝手に解釈しているな……。
別のこと……仕事が上達していたところを褒めるか）","","(You're interpreting the story in your own way. ......
(Another thing ...... to compliment you on how your work has improved?)","","(She's interpreting the conversation however she wants......
(Another thing... I should praise him for improving his work.)"
"大人かどうかはわからないが、カメラマンさんも
みんな褒めてくれていたな！","","I don't know if he's an adult or not, but he's also a photographer.
You've all been very complimentary!","","I don't know if you're an adult or not,
but the photographer was praising you!"
"え～、兄ちゃんの感想は～？
みんなが褒めてくれるのは嬉しいけどさ～","","Well, what do you think, brother?
I'm glad people are complimenting me on my work.","","Whaaat? What do you think?
I'm happy everyone's praising me, but..."
"亜美は兄ちゃんの感想が聞きた～い！","","Ami wants to hear what her brother thinks~!","","Ami wants to hear what you think!"
"確かに、自分の感想を言って無くて悪かった。
良かったぞ！　等身大の亜美らしくて！","","Sure, I'm sorry I didn't tell you what I thought.
Good! It was very life-size Ami!","","It's true that I'm sorry I didn't tell her my opinion.
That's great! It's a life-size Ami!"
"とにかく、亜美が勉強していたってことが
よく伝わって来たよ","","Anyway, the fact that Ami was studying...
It came across well.","","Anyway, I can tell that
you've been studying."
"いつの間にか亜美もずいぶん、
撮影の仕事に慣れてたんだな","","Before I knew it, Ami was long gone,
You were used to working on a photo shoot.","","Before I knew it, Ami had gotten
pretty used to taking pictures."
"ふっふ～ん♪　ぼん！　きゅっ！　ぼんな
せくしーアイドルにも負けてないっしょ？","","Bom! Bonna!
You can't lose to a sekushi-idol, can you?","","Heh-heh-heh! ♪ Bon! kyu! Don't you think
you're just as sexy as that sexy idol?"
"亜美の魅力のベクトルはちょっと違うが、
いい線、いっていると思うぞ！","","Ami's vector of attraction is a bit different, though,
I think you're on the right track!","","Ami's charm has a slightly different vector,
but I think she's on the right track!"
"んっふっふ～♪　でしょでしょ～♪","","I know, right?","","Hehehe~ Isn't that right?"
"ついに兄ちゃんも、亜美の『大人のミリキ』に
気づいたようですなぁ！","","Finally, my brother is also an ""adult Miriki"" of Ami.
You seem to have noticed!","","Looks like you've finally
noticed Ami's 『Adult Miki.』!"
"いや亜美の場合は、大人の魅力というよりも……","","No, in Ami's case, it's more of an adult attraction: ......","","No, in Ami's case, it's not that she's attractive as an adult..."
"やっぱり、大人なミリキに目覚めていた亜美！
アイドル天下統一の日は、近いのだー！","","After all, Ami was awakening to the adult Miriki!
The day of idol unification is near!","","I knew it! Miriki's awoken to adulthood!
The day to unify the world of idols is nigh!"
"こうしちゃいられない！　天下統一の日のために、
準備をしなくちゃならんのぅ！　ふぉっふぉっふぉ！","","We can't let this happen! For the day of unification,
I have to get ready!","","I can't just stand here! I have to get
ready for the day of unification! Ho ho ho ho!"
"て、天下統一！？","","The unification of the world!","","T-To unify the whole country?!"
"やっぱり１番大事なのは、大人な亜美による
パワーアップしたイタズラっしょ☆","","After all, the most important thing is the mature Ami.
Power-up prank ☆.","","As I thought, the most important thing is
the power-up teasing by the mature Ami☆"
"兄ちゃんもそう思うよねっ！？","","You think so too, brother!","","Don't you think so too, onii-chan!?"
"いや、イタズラは控えてほしいかな……","","No, I hope you'll refrain from pranks: ......","","No, I'd prefer it if you refrained from teasing me..."
"またまたツンケンしちゃってー！　楽しみなくせに☆
イタズラは真美にも相談かなー？","","You're being so stubborn again!
I wonder if the prank is also discussed with Mami?","","You're getting all prickly again! You're looking forward to
it☆ Are you going to talk to Mami about your pranks too?"
"け、謙遜のことか？　それも使い方は違うけど……
って、そうじゃなくてだな……","","I'm not sure if you mean modesty or modesty? That's not how it's used either, but ......
That's not what I mean. ......","","Y-You're talking about modesty? That's not how you use it, either...
Wait, that's not what I meant..."
"あとはアイドル天下統一に向けて、
大人なミリキをもっと身につけないとね～","","The rest is for the unification of idol heaven,
I need to learn to be more of a grown-up Miriki!","","Now all that's left is to learn more about
adult Miki so we can unify the world as idols."
"よーし、頑張るぞー！　おー！","","Alright, let's go for it!","","Alright, I'll do my best!"
"（よ、よくわからないが、暴走というか、やる気
だな……。しかし、亜美の大人な魅力、か……）","","(Yo, I don't know, but I'm going to go out on a limb or something.
(I know. ....... But Ami's mature charm, huh? ......)","","(I-I don't really get it, but it's more like she's
going berserk... But, Ami's mature charm, huh...)"
"（今日は亜美が仕事を頑張ったご褒美に、
中華街に来ている……）","","(Today Ami was rewarded for her hard work,
(You're in Chinatown: ......)","","(Ami came to Chinatown today as
a reward for her hard work...)"
"中華街はおいしそーなものがたっくさんあるから、
ぐるぐるぐるぐる迷いますなぁ","","Chinatown is full of delicious food,
I'm lost in circles.","","There's a lot of yummy food in
Chinatown, so I'm getting lost in circles."
"でもやっぱり仕事帰りの寄り道はカクベツだね、
兄ちゃん！　大人～って感じっしょ？","","But after all, a stopover on the way home from work is cakubetsu,
You're like an adult, aren't you?","","But taking a detour on the way home from work really
is special, isn't it? You're like an adult, aren't you?"
"そうだな。亜美は今日頑張ったし……
食べたいものがあれば買ってやろう！","","Yes, Ami worked hard today and ......
If you want something to eat, I'll buy it for you!","","That's right. Ami did her best today...
If there's something you want to eat, I'll buy it for you!"
"やったー！　兄ちゃんサイコー！
できる男はチガイをわかってるね！","","Yay! Brother Psycho!
A man who can do it understands chigai!","","Yay! You're the best!
A man who can do it knows he's wrong!"
"じゃあ、えっとー、小さいドラゴン……包み……？
っておいしそう！　兄ちゃん、亜美、あれ食べたい！","","So, let's see, a small dragon ...... wrapped in ......?
Looks so delicious!","","So, um, a little dragon......wrapped......?
Hey, that looks delicious! Onii-chan, Ami, I want to eat that!"
"小籠包か。
それならもう少し行った先に食べ歩き用のが……","","A small basket.
Then there's one for eating a little further down the road: ......","","A boxed lunch, huh?
If that's the case, there's food for walking a little further ahead..."
"むむっ、兄ちゃん！　ほねなんちゃらしな屋さんから
ただならぬオーラを感じるよ！","","Mmmm, bro! From the Naniwa Shinara Shinaya.
I can feel the aura of something special!","","Grrr! I can sense an aura emanating
from the shopkeeper!"
"ああ、骨董品か。
古いものや珍しい物を売ってるお店のことだよ","","Ah, antiques.
I'm talking about stores that sell old and rare items.","","An antique, huh?
It's a shop that sells old and rare things."
"ななな……なにこれー！　このナゾのお人形から
ただモノではないオーラが！","","Nanana...... what's this! From this riddle doll!
An aura that is not just a thing!","","Wh-Wh-Wh-What is this?! This mysterious doll gives
off an aura of something other than mere objects!"
"もしやこれは……お宝マイゾーキンだー！","","If this is ...... treasure mizokin!","","Could this be......the treasure, Maizokin!?"
"兄ちゃん、亜美ったらお宝発見しちゃったよ、
もしかして、トレンドハンターになれちゃうかも！？","","Brother, Ami has found a treasure,
Maybe you can become a trend hunter!","","Big bro, Ami found a treasure!
Could you be a trend hunter?!"
"トレジャーハンターか？
いや、しかしこれはお宝っていうか……","","Treasure hunters?
No, but this is a treasure. ......","","Treasure hunters?
No, but, this is a treasure..."
"（土偶っぽいというか、
土で出来た謎の人形にしか見えないな……）","","(It's more like a clay figurine,
It looks like a mystery doll made of clay. ......)","","(It looks more like a mysterious
doll made of earth than a doll...)"
"亜美の思わぬ才能ハッケーン！
アイドルハンター亜美、冒険の旅に出るぞー！","","Ami's unexpected talent hacken!
Ami, the idol hunter, is going on an adventurous journey!","","Ami's unexpected talent!
Idol Hunter Ami is going on an adventure!"
"きっとこの土人形は、亜美の大人なミリキを
アップさせる秘めたパワーを持ってるね、間違いない！","","I'm sure this clay figure will be a very mature Miriki of Ami.
You have the hidden power to make it up, that's for sure!","","I'm sure this clay doll has the hidden power to
boost Ami's adult miriki. There's no doubt about it!"
"そんなすごい人形なのか……？","","Is it such a great doll ......?","","Is she really that amazing...?"
"ねえ兄ちゃん、ドラゴン包みよりも、このナゾ人形が
ほしい！　大人な亜美に必要なお宝だよー！","","Hey brother, this riddle doll is more than a dragon wrapping.
I want it! It's a treasure needed for the mature Ami!","","Hey bro, I want this puzzle doll more than the dragon
wrap! It's a treasure Ami needs as an adult!"
"え？　この土人形を買うのか？
そうだな……","","What? You're buying these clay figures?
Yes. ......","","Huh? You're buying this clay doll?
Yeah, you're right"
"亜美が欲しいなら","","If you want Ami.","","If you want ami"
"小籠包は
いらないのか？","","Xiaolongbao is
Don't you want it?","","You don't want
a basket?"
"この人形はダメだ！","","This doll is no good!","","This doll is no good!"
"こんなガラクタ……い、いや、
亜美が本当に欲しいならいいけど……","","This crap ...... yi, no,
I hope Ami really wants it: ......","","This piece of junk... I-I mean, if you
really want it, Ami, that's fine..."
"やったー！　やっぱり兄ちゃんは話がわかる男！
デキル男のショウセツ術ってやつだね！","","Yay! I knew my brother was a man who knows what he's talking about!
It's called ""Dekiru-man no Shousetsu-jutsu!","","Yay! You really are a reasonable guy!
It's a showmanship of a dead man!"
"処世術な。
亜美が喜んでくれるなら、まあいいか……","","The art of getting around.
If Ami is happy, well, that's okay. ......","","It's the way of the world.
If it'll make Ami happy, then I guess it's fine..."
"亜美は兄ちゃんを信じてたよ、
この人形の良さがわかるメキキだってね☆","","Ami trusted her brother,
He said he knows how good this doll is.","","Ami believed in you, big brother. She said
you'd be able to see how good this doll is☆"
"小籠包はいいのか？　美味しいぞ","","Can I have a small basket? Delicious.","","What about the xiaolongbao? It's delicious."
"兄ちゃんは分かってないなー。ドラゴン包みは
他にもあるけど、この人形は世界でただひとつ！","","You don't understand, brother - dragon wrapping is
There are others, but this doll is the only one in the world!","","You don't get it, do you? There's other dragon
wraps, but this is the only doll in the world!"
"亜美に出会うために待っていた、生き別れの……
なんかすごい設定がある人形だかんね！","","Waiting to meet Ami, who is still alive ......
It's a doll with some amazing settings!","","The parting that I've been waiting for so I could meet Ami...
It's a doll with some kind of amazing setting!"
"今考えた設定だな……。
まあ、そんなに欲しいなら……","","That's a setup I just thought of. ......
Well, if you want it so bad, you can go to ......","","I just thought of that......
Well, if you want it that badly..."
"この人形はダメだ、呪われている！","","This doll is no good, cursed!","","This doll is no good. It's cursed!"
"ええっ！　呪われてる！？
もしかして……ホラーな展開が待ち受けてるの！？","","Eh! I'm cursed!
Maybe there's a ...... horror story waiting to happen!","","What!? Cursed!?
Is this...a horror story waiting for us!?"
"ホラーな展開はない！","","There are no horror stories!","","There's no such thing as horror!"
"ええー？　じゃあ、全然大丈夫じゃーん！
ちょっとくらいの呪いなら、亜美、全然ヘーキだし","","Eh? Then, it's totally fine, isn't it?
If it's just a little curse, Ami, I'm totally fine with it.","","Ehhh? Then it's totally fine!
If it's just a little curse, Ami will be fine."
"確かに亜美なら大丈夫そうだけど……。
って、そうじゃない！","","Certainly Ami would be fine. ......
And that's not what I mean!","","I'm sure Ami would be fine, but...
Wait, that's not it!"
"ふふ……お嬢ちゃん、この人形の価値が
分かるだなんて、若いのに見る目があるねえ","","Hmmm ...... little girl, this doll is worth a lot.
You have good eye for a young man.","","Haha...young lady, you have a good eye
for this doll, even though you're young."
"うん、亜美ビビッときちゃったよ。
このお人形はただモノじゃない、スペシャルだって！","","Yes, Ami, I got scared.
This doll is not just a thing, it's special!","","Yeah, Ami freaked out.
This doll isn't just any old thing! It's a special one!"
"気に入った！　この人形はお嬢ちゃんにやろう！
持って帰っていいよ","","I like it! Let's give this doll to the little girl!
You can take it home with you.","","I like it! Let's give this doll to the little lady!
You can take it home with you."
"な、なんだってー！　持ってけドロボー、タダより
安いものはナシだー。なんて気前のいい店主さん！","","Take it, slobo, for free!
What a generous owner!","","Wh-What?! Take it, thief! Nothing's cheaper
than free! What a generous owner!"
"ホネホネのお店なのに、太っ腹だね！
亜美、店主さんも人形も気に入ったよ☆","","It's a honeysuckle store, but it's a fat one!
Ami, I like the owner and the dolls.","","That's pretty generous of you, considering it's a bone-paste shop!
Ami, I like both the shopkeeper and the doll☆"
"ははは、元気だね。
持っていきな、ほれ","","Haha, you are fine.
Take it. Here.","","Hahaha, you're doing well.
Take it. Here."
"ありがとうー！　亜美、このお人形で大人なミリキ
アップだけじゃなく、雨だって降らせてみせるから！","","Thank you! Ami, this doll makes me feel like an adult Miriki.
I'll not only make it up, I'll even make it rain!","","Thank you! Ami, not only will I make this
doll mature, I'll make it rain, too!"
"お嬢ちゃんならできそうだねえ。
楽しみにしているよ","","I think you can do it, young lady.
Looking forward to it.","","I'm sure you can do it, young lady.
I'm looking forward to it."
"まっかせて☆　亜美のパワーは無限大だからね♪","","Wait for me☆ Ami's power is unlimited...","","Leave it to me☆ Ami's power is infinite, after all♪"
"（新しい事務所に不思議な置物が
増えていきそうだな……）","","(Mysterious figurine in the new office.
(It's going to increase. ......)","","(Looks like there's going to be more
strange ornaments in the new office...)"
"（亜美、真美と買い出しに来ているが……）","","(Ami and Mami and I are here to shop, but ......)","","(Ami, I'm here shopping with Mami...)"
"真美、みてみて、鼻血大出血セールだって！
いろんなグッズを仕入れて、トラップをしかけよう♪","","Mami, look at this, a nosebleed sale!
Let's stock up on all kinds of goodies and set traps!","","Mami, look, look! There's a bloody nose sale!
Let's stock up on all sorts of goods and set up some traps~"
"ナイスアイディアだよ、亜美！
お得にイタズラグッズをたくさんゲットだ～！","","Nice idea, Ami!
Get a lot of itazura goods at a great price!","","Nice idea, Ami!
I got a lot of mischievous goods at a bargain!"
"大量のイタズラグッズを使って、亜美と真美の
イタズラパラダイスを作るのだー！","","Ami and Mami with a large amount of prank goods.
We are going to create a prank paradise!","","I'm going to use a ton of mischievous goods to
create a mischievous paradise for Ami and Mami!"
"真美たちでＤＤＴして、
新しいイタズラグッズとかも作っちゃおうよ～！","","DDT with Mami and the others,
Let's make new prank goods and stuff!","","Let's DDT together and make
some new mischievous goods!"
"ＤＩＹな。ＤＤＴはプロレス技だ……。
ふたりとも危険だからやらないようにな","","DIY. ddt is a wrestling technique. ......
Don't do it. It's dangerous for both of you.","","It's DIY. DIDT is a pro wrestling move....
Don't do it, you two. It's dangerous."
"むむっ！　兄ちゃんってば、
亜美たちを危険物扱いするとはナニゴトだー！","","Mmmm!
How dare you treat Ami and her friends as dangerous objects!","","Grrr! What's your problem with treating
Ami and the others like dangerous objects?!"
"こうなったら、プロレス技なみの
ど派手なイタズラアイテム……","","If this happens, it's like a wrestling match.
The Flashy Mischief Item......","","Now that it's come to this, it'll be a flashy
prank item just like a pro wrestling move..."
"バリバリ買いまくるよー♪","","I'm going to buy a lot of stuff!","","I'll buy lots and lots-♪"
"買いすぎで荷物を持ち切れない、とかに
ならないように、イタズラも買い物もほどほどにな","","I can't carry all my stuff because I'm buying too much, or something like that.
Don't be a prankster and shop in moderation.","","Just don't buy too much and you won't be able to carry
all your stuff, so don't pull any pranks or buy too much."
"んっふっふっふ～♪　それは大丈夫！
兄ちゃんに持って帰ってもらうかんね～","","Mmmmmmmmm~♪ That's okay!
I'll ask my brother to take it home.","","Hehehe~ That's fine!
I'll have my brother take it home with him."
"俺に仕掛けられるイタズラを俺が持って帰るのか……","","I'll take back the prank you can set on me. ......","","So I'll be the one to bring back the pranks I'm about to pull..."
"あれ？　兄ちゃんに持って帰ってもらったら、
イタズラの内容がバレちゃわない？","","Huh? You should ask your brother to take it home with him,
Won't they find out what the prank is about?","","Huh? If you bring it back, won't
they find out what we're doing?"
"んっふっふっふ～♪　そうやって兄ちゃんを
安心させておく作戦なのだよ～","","Mmmmmmmmmmmmmm.......
It's a strategy to reassure them.","","Heh heh heh... ♪ That's
how I plan to keep you safe."
"兄ちゃんの想像のナナメ上をいくイタズラを
仕掛ければ、ダメージが何倍にもなるっしょ～☆","","A prank that goes beyond your brother's imagination.
If you set it up, the damage will be multiplied many times over.","","If I pull a prank that's better than what you're
imagining, the damage will be many times worse☆"
"うおお～！　それ、メチャイケだよ～！
亜美司令官、真美はその作戦に賛成であります！","","Wow~! That's mechaike!
Commander Ami, Mami is in favor of that strategy!","","Wow! That's so cool!
Commander Ami, Mami agrees with that plan!"
"うむ！
亜美は大人顔負けせくしーアイドルだかんね！","","Mm!
Ami is a sexy idol who can compete with adults!","","Yes!
Ami is a sexy idol who loses to adults!"
"今までとヒトアジ違う亜美司令官に、
ついてきたまえ！","","To Commander Ami, who is different from the previous human agi,
Follow me!","","Follow Commander Ami, who's
different from the others!"
"早速だけど兄ちゃん、このガムパッチンと
ミニブーブークッション、どっちがいい？","","Quickly, brother, I'm going to use this gum patch and
Which is better, the mini boob cushion or the mini boob cushion?","","I know it's sudden, but which do you want?
This gum patch or this mini-boo cushion?"
"イタズラの内容まで俺に相談するのか。
高度な心理戦だな……。さて……","","Do you even consult me on the details of the prank?
It's advanced psychological warfare. ....... Now ......","","So she's going to talk to me about the details of the prank, too.
It's a high-level psychological warfare game... Now then..."
"亜美らしくないな","","That doesn't sound like Ami.","","It's not like you, ami."
"ブーブークッション
はバレやすいぞ","","Boo Boo Cushion
is easy to find out.","","The boo-boo
cushions are easy to spot."
"痛いイタズラは
いやだな","","Painful pranks are
Oh, no.","","I don't want to do
anything that hurts."
"どっちも嫌だな","","I don't like either one.","","I don't like either of them."
"イタズラの内容まで相談するのは、
イタズラ司令官の亜美らしくないんじゃないか？","","I'm not even going to discuss the details of the prank with you,
It's not like Ami, the Mischief Commander, is it?","","It's not like Ami to talk
about the details of a prank."
"亜美、策におぼれる！？　兄ちゃんってば、
イタズラのゴクイをよく分かってるね～","","Ami, you're drowning in tricks! Oh, brother,
You know your pranks, Gokui!","","Ami, are you going to fall for my plan!?
You know how to pull a prank, don't you?"
"アイドルだけじゃなくてイタズラまでよく分かってる
なんて、やっぱ兄ちゃんはデキル男だね","","I know exactly what I'm talking about, not just the idol, but the prank.
Oh, my God, you're such a good man.","","You're not just an idol, you're also well-versed
in pranks. You really are a dead man, aren't you?"
"そんな兄ちゃんだからこそ……亜美は、亜美は……
とびっきりのイタズラで驚かせたい！！","","That's why my brother is such a ...... Ami, Ami is such a ......
I want to surprise you with an incredible prank!","","And that's why... Ami, Ami...
I want to surprise her with an amazing prank!!"
"その答えに行き着くのか……","","Do you get to the answer to that question: ......","","So you'll come to that conclusion...?"
"ブーブークッションはミニでもバレやすいぞ","","Boo-boo cushions are easy to spot on a mini.","","The boo-boo cushions are easy to spot, even in a miniskirt."
"なんってテキカクなアドバイス……！
やっぱり経験者が語る言葉は重みが違うね～","","What a tekikak advice ......!
I guess words spoken by those who have been through it all carry a different weight.","","What kind of advice is that?!
The words spoken by someone with experience really do carry a lot of weight~"
"亜美と真美にイタズラを仕掛けられた経験しか
ないけどな……","","I've only experienced Ami and Mami playing pranks on me.
I don't have one, though: ......","","I've only ever had Ami and
Mami pull a prank on me..."
"痛いイタズラはいやだな。それはやめようか","","I don't want to be a pain in the ass, let's not do that.","","I don't want to play a prank on you. Let's not do that."
"じゃあガムパッチンはやめておこうかな！
でも相手に軍手をつけてもらってからなら……！？","","I guess I'll stop with the gum-picking then!
But if you can get your opponent to put on a pair of military gloves, then you can ......!","","Well then, I guess I'll stop with the gum patch!
But what if he's wearing gloves first?!"
"下準備が丁寧なイタズラだな……","","It's a carefully prepped prank. ......","","It's a well-prepared prank..."
"うーん。どっちも嫌だな","","Hmmm...I don't like either one.","","Hmm. I don't like either of them."
"ええー兄ちゃんってば、ノリ悪ーい！
ちょっとツンドラし過ぎじゃない？　つまんないよ～","","Eww, brother, you're so flippant!
You're a little too tundra-ish, aren't you? It's so boring!","","Whaaaat?! You're such a spoiled brat!
Aren't you being a little too tsundane? It's boring~"
"ツンデレか？　いや俺はツンデレではないし……。
イタズラをしないって選択肢はないのか……？","","Are you a tsundere? No, I'm not a tsundere, and I'm not a tsundere. ......
Is there an option to not play pranks ......?","","Is she a tsundere? No, I`m not a tsundere...
Isn't it an option not to play a prank on her...?"
"あ、亜美司令官、大変だよ、あっちにお宝
ハッケーン☆　気になるアイテム盛りだくさんだよ","","Oh, Commander Ami, my God, there's a treasure over there!
Hacken* There are a lot of Items I'm interested in.","","Commander Ami, there's trouble over
there. There's a lot of treasure!"
"ホントだ！　チェックしなくちゃ！
真美隊員、突撃だー♪","","Really! I'll have to check it out!
Mami, let's charge!","","You're right! We have to check it out!
Officer Mami, charge! ♪"
"迷子になるなよー","","Don't get lost!","","Don't get lost."
"はーい！","","Hai!","","Yes!"
"～数十分後～","","~A few minutes later~.","","-- After Dozens of Minutes --"
"兄ちゃーん！","","Brother!","","Nii-chan!"
"（買い物が終わったみたいだな……）","","(Looks like you're done shopping ......)","","(Looks like she's done shopping...)"
"ほら荷物渡して、そっちの袋も。
さ、事務所に帰るぞ","","Here, give me your luggage, and your bag too.
Come on, let's go back to the office.","","Here, give me your bag.
Come on, let's go back to the office."
"は～い♪","","Yes~♪","","Okay~♪"
"あー楽しかった♪
兄ちゃん、イタズラ期待していいからね！","","Oh, that was fun!
Brother, you can expect pranks!","","Ahhh, that was so much fun♪ You can
look forward to the teasing, mister!"
"びっくりしたらびっくりした～！　って
リアクションしていいからね！","","If you're surprised, you're surprised~!
You can react to it!","","You can react by saying,
“I was so surprised!"
"ああ、楽しみにしているよ","","Yeah, I'm looking forward to it.","","Yeah, I'm looking forward to it."
"んっふっふ～♪
事務所に戻ったらーあれをこ～してあ～して……","","Mmm-hmm~♪
When I get back to the office - do this and do that: ......","","Hehehe~♪ When I get back to
the office, I'll do that..."
"うあうあ～！　兄ちゃん、絶対ビックラポンだよ！
亜美ってばめちゃくちゃ天才かも！？","","Uhhhhhhh~! Brother, it's definitely a Bicrapon!
Ami might be a total genius!","","Uwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
Ami, you might be a genius!"
"（ここ最近は大人の魅力にこだわっているけど、
亜美は自然体で年相応なところがかわいいな）","","(Though these days I'm all about the adult appeal,
(Ami is cute in a natural, age-appropriate way.)","","(Lately, I've been fixated on adult charm, but
Ami's natural, age-appropriate side is cute.)"
"（ファンも、亜美のそういうところに
癒やされているんだと思うんだけどな……）","","(Fans also have that kind of thing with Ami.
I think they're healing. ......)","","(I think that's what's so
soothing about Ami...)"
"お仕事を頑張った後の兄ちゃんとの帰り道！
ふたりっきりの絶好の質問チャーンス☆","","On the way home with my brother after a hard day's work!
A great chance for the two of you to ask questions in private.","","On the way home with my brother after hard work!
It's the perfect question for just the two of us!"
"さあ、兄ちゃん、兄ちゃん！
最近の亜美について気付いたことない？","","Come on, brother, brother!
Have you noticed anything about Ami lately?","","Come on, big brother, big brother!
Have you noticed anything about ami lately?"
"気付いたこと……？
なんだろう？　元気に頑張ってるな、とか？","","What did you notice: ......?
What's that? You're doing well, I guess?","","Something you noticed...?
What could it be? Something about her doing her best?"
"ノー！　ノンノンノーン！
亜美、最近大人っぽくなったっしょ？","","No! Nononononon!
Ami, you've become more mature lately, haven't you?","","No! Non non non!
Ami, you've become more mature lately, haven't you?"
"……いつも通りじゃないか？","","...... Isn't it always the same?","","...Isn't that the same as always?"
"ええー！　前に兄ちゃんが大人っぽいって言って
くれたから、亜美、チョー頑張ってるのに！","","Eee! My brother said before that you look mature.
Ami, I'm working so hard because you gave it to me!","","Whaaat?! But you said I was mature
before, so Ami's doing her best!"
"あれは仕事を頑張っている姿が大人顔負けで、
しっかりしてたって話だよ","","That was a grown-up face working hard at his job,
I'm just saying it was solid.","","I heard that he was more level-headed than
most adults when it came to his hard work"
"だから……頑張るなら、
仕事を頑張った方がいいんじゃないか？","","So ...... if you want to work hard,
Maybe you should work harder at your job.","","So...if you're going to work hard,
shouldn't you do your best at work?"
"仕事は～まぁ頑張るけども！　でもでもでーも、
もっと大人のミリキを磨かないといけないっしょ！","","Work - well, I'll do my best!
You need to polish up your adult miriki more, don't you?","","As for work... Well, I'll do my best! But,
but, but! I have to polish up my adult form!"
"大人な亜美……ズバリ、みかぴょんみたいな
『コアクマポーズ』が必要だと思うんだよ！","","Adult Ami ...... Zubari, like Mikapyon.
I think we need a 'core bear pose!","","The mature Ami... Frankly, she's like Mika-pyon.
『The Coa Bear pose.』I think you need it!"
"なんで美嘉のポーズなんだ？","","Why the Mika pose?","","Why mika's pose?"
"兄ちゃん、わかってないな～。
みかぴょんって男の人にウルトラ人気じゃん！","","Brother, you don't understand!
Mikapyon is ultra popular among men!","","You just don't get it, do you?
Mikapyon's super popular with guys!"
"だから、みかぴょんのコアクマポーズを身に着けたら
亜美ってば、もっと大人になっちゃうよね☆","","So if you wear Mikapyon's core bear pose
Ami will grow up to be more mature.","","So, if I wear Mika-pyon's coa bear
pose, Ami will become even more mature☆"
"んっふっふ～♪　そういうわけで、兄ちゃん！
プロデューサーのお仕事だよ","","Mmmmmmm~♪ That's why, brother!
It's a producer's job.","","hmhmhm~ That's how it is, big bro!
It's a producer's job."
"俺の仕事？　なんだ？","","My job? What?","","My job? What is it?"
"ポーズをするために聞きたいんだけど、
亜美のミリキってどこに集まっていると思う？","","I'd like to ask you to pose,
Where do you think Ami's Miriki gathers?","","I'd like to ask you something so we can pose, but where
do you think all the Mikis from Ami are gathered?"
"亜美の魅力がつまった場所か……
そうだな……","","Is this a place where Ami has a lot to offer? ......
Yes. ......","","A place full of Ami's charms, huh...
Yeah, you're right"
"頭を撫でる","","stroke a person's head","","Pat her head"
"腕をタッチ","","Touch arm","","Touch her arm"
"タッチ（その他）","","Touch (Other)","","Touch (Others)"
"タッチミス時間切れなど","","Touch misses, time loss, etc.","","Touch mistakes, running out of time"
"えへへ、頭なでられるのっていいよねー♪
って頭！？　なんで頭……？　大人な頭？","","Hehehe, it's nice to have your head stroked, isn't it?
What is a head? Why a head ......? An adult head?","","Ehehe, patting my head is nice, isn't it-♪
Wait, my head?! Why my head...? An adult head?"
