"菜々じゃないか、おはよう","","Good morning, Nana, isn't it?","","Good morning, Nana."
"やよいちゃんって、すごく頑張り屋さんですよね！
ナナも見習っていきたいなって思ってます！","","Yayoi-chan is a very hard worker, isn't she?
Nana would like to follow her example!","","Yayoi-chan, you're such a hard worker!
I want to follow your example, Nana!"
"やよいを見習うか……それって","","Let's take a look at Yayoi's ...... that is","","Maybe I should learn from Yayoi's example, huh? That means..."
"元気なところ","","Cheerful place","","Somewhere healthy."
"頑張るところ","","Where we do our best","","I'm gonna do my best."
"家族思いなところ","","A family-oriented place","","The way you care about your family."
"元気なところかな。
やっぱり、やよいの最大の魅力だし","","I guess it's a cheerful place.
After all, it's the most attractive thing about Yayoi.","","I wonder if she's doing well.
Yayoi's greatest charm, after all."
"はいっ！　ナナもみんなを、もっと元気にさせて
あげたいので！　勉強させてもらってますっ","","Yes, Nana also makes everyone more cheerful!
I'm learning a lot!","","Yeah! I want to make everyone feel better too,
so we're learning a lot from you guys!!"
"一生懸命がんばるところだよな。
まだ、１４歳なのに、すごいと思う","","It's the part where you try your hardest.
I think it's amazing that he's only 14.","","She's going to give it her all.
He's only 14 years old, and I think it was amazing."
"そうですね！　あの若々しさが眩しくて……ハッ！
な、ナナもまだまだ若いですけど！","","Yes, that youthful dazzle ...... ha!
Nana is still young, though!","","You're right! That youthfulness is so bright... Hah.
I-I'm still young, though!"
"家族思いなところかな。
家が貧乏な時なんて、家計を支えてたし……","","I guess I'm a family man.
When I was poor at home, I was supporting my family. ......","","I guess it's a place of familial love.
When my family was poor, I supported our finances..."
"そうだったんですね。ナナにも苦労していた
時代があるので、共感しちゃいます……。ホロリ……","","So it was, and Nana had a hard time with it too.
I sympathize with you because of the times. ....... holler ......","","I see. There was a time when Nana had her fair share of
hardships, so I can sympathize with that... Holori......"
"それになにより、あの仕草と
笑顔がかわいくて、癒されちゃいますよ～♪","","And above all, that gesture and
Their smiles are so cute and soothing~!","","And more than anything, your smile and
mannerisms are so cute that it makes me feel better~♪"
"ああ。
無垢な感じはやよいの特徴だな","","
Innocence is a hallmark of the yayoi.","","Yeah.
Innocent is a good trait."
"特徴と言えば、ハイタッチもそうですよね！
プロデューサーさん、ナナたちもやってみませんか？","","Speaking of features, so is high-fiving!
Producers, why don't you and Nana do the same?","","Speaking of which, high fives are one thing!
Why don't we give it a try, producer?"
"ええっ？　まあ、別にかまわないけど、
やよい以外の子とするのは緊張するな","","Well, I don't mind,
I'm nervous about doing it with a girl other than Yayoi.","","Huh? Well, I don't really mind. But it makes me
nervous to do this with someone other than Yayoi..."
"それじゃ、行きますよー！
ハイ、ターッチ♪　キャハッ☆","","I'll go then!
Hi, Tatch... ♪ Cahhhh ♪","","Alright, let's go!
Hey, Turch! ♪☆"
"（空き時間が出来たので、
菜々とカフェに来た……）","","(I've got some free time,
(Nana and I came to a cafe: ......)","","(I had some free time, so
we came to the cafe...)"
"菜々、何を頼む……って、
どうかしたのか？","","Nana, what do you ask ......,
What's wrong?","","Nana, what are you...
Wait. What's wrong?"
"……あ、プロデューサーさん。
なんだか、ちょっと懐かしいなあと思っちゃいまして","","
I kind of miss it a little bit.","","...Oh, it's Producer.
I was just thinking about how nostalgic it felt to see you again, that's all."
"実は昔、メイド喫茶でアルバイトしてたんですよ♪
『お帰りなさいませ、ご主人様☆』とか言ったり！","","Actually, I used to work part-time at a maid cafe... ♪
I would say things like, ""Welcome home, Master☆!","","Actually, I used to work part-time at a maid cafe.♪
『Welcome back.☆』?!"
"メイド喫茶で働く菜々、か。
その当時の菜々は……","","Nana working at a maid cafe, huh?
Nana at that time was ......","","Nana working at a maid cafe, huh.
Back then, Nana..."
"ウサミンメイド","","Usamin Maid","","Usamine Maid"
"歌って踊れるメイド","","A maid who can sing and dance","","Maids who can sing and dance."
"ツンデレメイド","","tsundere maids","","Tsundere Maid"
"やっぱり、ウサミンメイドだよな","","I knew it. Usamin Maid.","","I knew it. You're a Usamin maid, right?"
"はいっ☆　メイドさんのウサミンとして、
みんなにウサミンパワーをお届けしていましたっ！","","Yes☆ As Usamin, the maid,
I was delivering Usamin power to everyone!","","Yes☆ As a maid, I've been
bringing out my power to everyone!"
"今みたいに、
歌って踊れるメイドだったんだろうな","","Like now,
She must have been a maid who could sing and dance.","","She must have been a maid who could sing
and dance, just like she is now."
"そうですね～。今ほど本格的ではないですが、
当時から歌もダンスもやっていました！","","Yes - not as authentic as it is now,
I have been singing and dancing since that time!","","That's right. It may not be as authentic,
but I used to sing and dance back then!"
"もしかして、
ツンデレメイド……？","","Perhaps,
Tsundere Maid ......?","","Is she a tsundere
maid...?"
"ツンデレキャラは、やったことありませんね～。
ナナは歌って踊れる、正統派のメイドさんでした！","","I've never played a tsundere character!
Nana was a legitimate maid who could sing and dance!","","I've never played a tsundere character before.
Nana was an orthodox maid who could sing and dance!"
"そして今は、ルミナスで新たな進化を遂げた、
新メイドアイドルウサミンですっ","","And now, with Luminous, a new evolution has taken place,
I am Usamin, the new maid idol!","","And now, I'm the new maid idol
Usamine who has evolved anew in Luminous!"
"……なるほど。なんとなくだが、菜々の成長が
うかがえる話だったな。これからもよろしく頼むぞ","","...... I see...somehow, Nana's growth...
Keep up the good work!","","...I see. It's just a hunch, but I can tell how much Nana has grown since
we last talked about this stuff together... Good luck out there!"
"キャハ☆　こちらこそですっ！
よろしくお願いします、プロデューサーさんっ！","","Cacha☆ My pleasure!
Nice to meet you, producer!","","Kyaha☆ Likewise!
I'm counting on you, Mr. Producer!"
"（菜々が歌う、アニメの主題歌リリースイベントの
打ち合わせにやってきた……）","","(sung by Nana, the theme song release event for the anime
(I came to the meeting: ......)","","(We're here to discuss the anime theme song
release event that Nana will be singing...)"
"担当者さんから遅れるって連絡が入ったから、
今のうちに俺たちで内容を詰めておこうか","","I got a call from the person in charge that I would be late,
While we're at it, why don't we work out the details ourselves?","","We got a message from the person in charge saying
we'd be late, so let us go over what happened."
"はい！　ナナ、もうドッキドキです。
楽しんでもらえるイベントにしなきゃですね！","","Yes! Nana, I am already thrilled.
We need to make this an event that people can enjoy!","","Yes! Nana's heart is pounding.
We have to make it an event that'll be fun!"
"ああ。そのためには、どんなファン層に
楽しんでもらうかを考えよう。そうだな……","","Yeah...and to do that, you need to know what kind of fan base you're going to have.
Let's see if we can get them to enjoy it...yeah right. ......","","Yeah. To do that, we need to think about
what kind of fans will enjoy the show..."
"アニメのファン","","Animation fans","","Anime fans"
"菜々のファン","","Fans of Nana","","Nana's Fan"
"他の声優のファン","","Fans of other voice actors","","Another voice actor fan."
"よし、アニメのファンに、
満足してもらえるようにしよう","","Okay, to the animation fans,
Let's make sure you're satisfied.","","Alright, let's make sure the
fans of anime are satisfied."
"はいっ！　ナナもそう思います！　アニメのファンの
みんなに楽しんでもらえるよう、精一杯頑張ります☆","","Yes, Nana thinks so, too!
I will do my best to make it fun for everyone!","","Yes! I think so too, Nana. We'll do our best to make
sure the fans of anime can enjoy it as much☆"
"やっぱり、菜々のファンが
楽しめるといいよな","","I knew that fans of Nana's
Hope you enjoy it.","","I hope Nana's
fans can enjoy it."
"そうですね～、いつもナナのことを
応援してくれる、その気持ちに応えなきゃですね☆","","Yes - I've always been a fan of Nana's.
They support us, and we have to respond to that support.","","That's right~, I have to respond with
those feelings of support for Nana.☆"
"一緒に登壇する他の声優のファンにも、
思いっきり菜々の魅力を伝えよう","","To the fans of the other voice actors who will be on stage with us,
Let's convey Nana's charm with all our might.","","Let's show the fans of other voice
actors how much we love Nana."
"そ、そうしたほうがいいんでしょうか？
ナナ、厄介者になっちゃいそうな予感が……","","Should I do that?
Nana, I have a feeling it's going to be tricky: ......","","I-Is it better that way?
Nana, I have a feeling you're going to be trouble...."
"とにかく、来てくれたファンのみんな全員に、
楽しんでもらえるように努力しなくちゃですね！","","Anyway, to all the fans who came,
We should try to make it enjoyable for them!","","Anyway, we have to do our best so that
all the fans who came will enjoy it!"
"それなら大丈夫だろう。菜々はいつも、
丁寧にファンと交流しているからな","","Then you'll be fine, Nana always is,
I'm being polite and interacting with my fans.","","That should be fine. Nana is always politely
interacting with her fans, after all..."
"応援してくれているファンのみんなを、
大切にするのは当たり前ですから☆","","All of our fans who support us,
It's natural to take good care of them.","","It's only natural to cherish
the fans who support you.☆"
"当たり前を大事に出来る菜々は、すごいと思うぞ。
その調子だと、次のイベントも問題なさそうだ","","I think it's great that Nana can take care of the obvious.
At that rate, the next event should be no problem.","","I think it's amazing that Nana can take care of the obvious.
At this rate, the next event won't be a problem."
"（菜々が自主練をしていると聞き、
レッスンスタジオに見学に来たのだが……）","","(I heard that Nana was practicing on her own,
I came to visit the lesson studio (......)","","(I heard that Nana was practicing on her own,
so we came to the studio for a look...)"
"あれ、菜々の姿が見当たらないな。
もうレッスンを終えて、帰ったのか……","","Oh, I don't see Nana.
You've already finished your lesson and left: ......","","Huh? I don't see Nana anywhere.
So she's already finished her lessons and gone home..."
"ぷ、プロデューサーさん～……
ナナ、もうダメ……ですっ……","","Psst, Mr. Producer ~ ......
Nana, I can't take it anymore: ......","","P-Producer...
Nana, I can't... take it anymore."
"バタッ……！","","Bata ......!","","*flash*...!"
"おい、菜々！　大丈夫か、しっかりしろ！
菜々……返事をしろ！","","Hey, Nana! Are you okay? Pull yourself together!
Nana ...... Reply!","","Hey, Nana! Are you okay? Hang in there.
Nana... Answer me!"
"……で、レッスンに没頭しすぎたら、体力の限界が
来て倒れこんだ……ということでいいんだな？","","If you go to ...... and get too immersed in the lesson, you'll find that your stamina is limited.
Are you sure it's ...... that you came and fell down?","","...So, if I got too absorbed in my lessons
and collapsed from exhaustion... Is that okay?"
"はい、そうです……。あっ、プロデューサーさんの
差し入れを食べて、今はもう元気ですよっ！","","Yes, that's right. ....... Oh, Producer's
I ate the food that was brought to me and I'm fine now!","","Yes, that's right... Oh! I ate the food you brought me.
Now it looks like everything is back to normal again!!"
"……それなら良かったけど、
どうして倒れるまで自主レッスンをしたんだ？","","...... I wish that was the case,
Why did you do independent lessons until you collapsed?","","...I'm glad to hear it, but why did you take
independent lessons until I passed out?"
"えっと……。みんなの足を引っ張らないように、
こっそり自主練をしようと思ったんです……","","Let's see, ....... Don't drag everyone down,
I thought I'd sneak in some voluntary training: ......","","Um... I was thinking of practicing on my own, so that we wouldn't hold everyone back in the
first place. That would be a good way to start things off with you guys and your friends"
"みんなの足を引っ張らないように……か。
菜々……","","I guess I don't want to drag everyone down .......
Nana ......","","So as not to hold everyone back, huh?
Nana..."
"よく分かるぞ","","I know exactly what you mean.","","I know exactly what you're talking about."
"甘いぞ","","Sweet.","","You're too soft."
"アイドル失格だ","","You're not an idol.","","You're not fit to be an idol."
"その気持ち、よく分かるぞ。
俺も経験があるからな","","I know exactly how you feel.
I've been there myself.","","I know exactly how you feel.
I've done this before."
"あ、あの……無茶をしたナナのこと、
プロデューサーさんは怒らないんですか？","","Oh, that ...... reckless Nana,
Doesn't Producer get angry?","","U-Um... Aren't you going to get mad
at Nana for being so reckless?"
"本来なら怒るところだが、菜々なりに
一生懸命になる理由があるなら、否定はしないよ","","Normally, I would be angry, but in my own way, I'm not.
If you have a reason to work hard, I won't deny it.","","Normally, I'd get mad at you for that. But if there is
a reason why Nana would put so much effort into it..."
"その気持ちは、甘いぞ。自分だけが努力すれば、
自分の気持ちに整理がつくと考えたんだろう","","That sentiment is naive, if you only try,
He thought it would help him sort out his feelings.","","Those feelings are naive. You thought that if you put in the
effort alone, your own emotions would be sorted out for all to see?"
"は、はい……その通りです。ナナが頑張れば、
ルミナスも順調に活動が進むと思ったんです","","Ha, yes ...... that's right, if Nana works hard,
I figured the luminous activity would go well.","","Y-Yes... That's right. I thought that if Nana worked hard, Luminous
would be able to continue her activities without any trouble at all"
"ルミナスに菜々の努力は必要だ。だけど菜々ひとりの
努力でルミナスが成長するとは言い切れない","","Luminous needs Nana's effort, but Nana alone.
I can't say that luminous grows with effort.","","Luminous needs to put in a lot of effort, but I can't
say for sure that she will grow by herself."
"し、失格……！？　ご、ごめんなさ～い！
どうかルミナスを破門にしないでください～！","","Shhh, disqualified ......! Sorry, sorry!
Please don't excommunicate Luminous~!","","I-I'm disqualified...?! Sorry about that~
Please don't excommunicate Luminous!"
"ああ、すまん、言い過ぎた！　破門になんて
しないから大丈夫だ。最後まで一緒に頑張ってくれ！","","Oh, I'm sorry, I was out of line! I didn't mean to excommunicate you.
It's okay, I won't do it, just hang in there with me until the end!","","Oh, sorry! I shouldn't have said anything like that.
You can do it with me until the end of this thing..."
"ただし、これだけは確かなことだ。ルミナスの問題を
ひとりで解決しようとしないで、まずは相談してくれ","","This much is certain, however: luminous issues.
Don't try to solve this problem alone.","","▁However, there is one thing I know for sure. Do not try to solve
Luminous's problem on your own; speak with me about it first and foremost"
"みんなの力を借りれば、どんな問題も解決できる。
だから、自分を限界まで追い詰める必要はないぞ","","With everyone's help, any problem can be solved.
So don't push yourself to the limit, my friend.","","With everyone's help, we can solve any problem.
So you don't have to push yourself too hard."
"あ、ありがとうございます、プロデューサーさんっ！
これからは、なにかあったらみんなに相談します！","","Oh, thank you, producer!
From now on, I will consult with everyone if something happens!","","Th-Thank you so much, Mr. Producer!
From now on, I'll talk to everyone if anything happens!"
"ああ、それがいい。俺にでもみんなにでも。
それが、菜々らしく活動できることになるからな","","Yeah, that's the way to go, for me or for everyone.
Because that's how you can operate as a nana.","","Yeah, that's for the best. For me and everyone else too...
That'll give you a chance to act like one of those nasty types, after all."
"最近、アイドル同士で
モノマネをするのが流行ってるらしいな","","Recently, idols have been working with each other.
I hear it's all the rage to do montages.","","I heard that imitating each
other is a fad these days."
"はい！　ナナも流行に乗っかって、モノマネを
練習しましたっ。これ、誰だかわかりますか！？","","Yes! Nana is also joining the bandwagon and doing montages!
I practiced...can you guess who this is?","","Yes! I've been practicing imitating it to keep
up with the fashion. Do you know who this is?"
"（この動きは、もしかして……）","","(This move may be ......)","","(Could this movement be...)"
"咲耶","Sakuya","","","Sakuya"
"真","Makoto","","","Makoto"
"響","Hibiki","","","Hibiki"
"咲耶じゃないか？","","Sakuya, isn't it?","","Isn't that Sakuya?"
"さすが、プロデューサーさんっ！
大正解ですよ～！　ぶいっ！","","That's what I'm talking about, producer!
It's a great answer~!","","That's our producer!
You guessed right! *puff*"
"（よし！　ちゃんと当てられたぞ！）","","（I got it right!)","","(Okay! I got it right.)"
"真、か？","","True, huh?","","Is that... true?"
"残念っ！　ハズレですよ～","","Too bad!","","Too bad! You're wrong."
"（どうやら違ったらしい）","","(Apparently not.)","","(Looks like I was wrong.)"
"わかった！　響だ！","","All right! It's Hibiki!","","Okay! Hibiki here."
"違います～。
上手く出来たと思ったんですけど……","","There is a difference~.
I thought I did well. ......","","That's not it
I thought it went well, but..."
"（うーん、うまく当てられなかった）","","(Hmmm, couldn't guess right)","","(Well, I didn't hit it right.)"
"（みんなへの差し入れを買いに、
菜々と一緒にコンビニに来た）","","(To buy food for everyone,
(I came to the convenience store with Nana)","","(I came to the convenience store with Nana, so I
could buy some snacks for everyone else as well.」)"
"これで、全員分ですね……。
ううっ、みんなの分を買うと、やっぱり重たいですね","","This is for all of us. ......
Ugh, buying enough for everyone is still heavy!","","That's enough for everyone...
Ugh, it's so heavy when you buy enough for everyone."
"（買い出しに付き合ってくれたお礼に、
菜々になにか買ってあげよう）","","(Thanks for accompanying me on my shopping trip,
(Let's buy something for Nana.)","","(I'll buy you something in
return for going shopping with me.)"
"（さて、なににするか……）","","(Well, what to make of it: ......)","","(Now, what to do...)"
"駄菓子","","cheap sweets","","Dagashi"
"アイス","","ice cream","","Ice cream."
"肉まん","","manju (steamed bun) with meat filling","","Meat bun"
"菜々、買い出しに付き合ってくれたお礼だ","","Nana, thank you for accompanying me on my shopping spree.","","Nana, this is for helping me with my shopping."
"ありがとうございますっ！
この駄菓子、小さい頃よく食べてたんですよ～！","","Thank you very much!
I used to eat this candy all the time when I was little!","","Thank you very much!
I used to eat these snacks all the time when we were kids!"
"（よし！　すごく喜んでくれているな……！）","","(Okay! You're making me very happy. ......!)","","(All right! She's really happy about it...)"
"ありがとうございます☆　は～、頑張った体に、
冷たいアイスがしみますね～","","Thank you☆ Ha~ to the body that worked so hard,
Cold ice cream stings!","","Thank you so much! ☆ Haaah, I'm getting
ice cream on my hard work."
"（うん、喜んでもらえたみたいだ）","","(Yeah, he seemed pleased.)","","(Yeah, it looks like she's happy about the food we made for her.)"
"ありがとうございます！　あ、あちち！
熱々で食べられません～……","","Thank you! Oh, ah, ah, ah, ah, ah, ah!
It's too hot to eat - ......","","Thank you so much! O-Ow, ow...
It's too hot to eat..."
"（うーん……
すぐに食べられるものが良かったかな）","","(ummm ......)
(Would you have preferred something that you could eat right away?)","","(Hmm...
I wish we could've had something to eat right away.)"
"（事務所内で、じゃんけんが流行っているようだ。
そんな中、菜々は連敗続きらしい……）","","(It seems that rock-paper-scissors is a popular game in the office.
In the meantime, Nana seems to be on a losing streak (......)","","(It seems rock paper scissors are all the rage in this office.
Meanwhile, Nana's been losing nonstop...)"
"……それで、俺と練習試合をしたいってわけか。
よしっ、菜々。いくぞ！","","So you want to have a practice match with me. ......
Okay, Nana, let's go!","","...So that's why she wants to have a practice match with me.
Alright, Nana. Let's go!"
"むむっ、ウサミン星からの電波を受信！
キュピピピーン！　今度こそ負けませんよ～","","Mmmm, received a radio signal from the planet Usamin!
I won't lose this time~!","","Hmm, I'm receiving a signal from Planet Usamin!
Beep beeeeek! I won't lose this time for sure~"
"（ん……？　菜々、集中するあまり。
手が『チョキ」の形をしている……）","","(N......? Nana, you are too focused.
(The hand is in the shape of a 'choki' (......))","","(Hm...? Nana's too focused.
My hand is shaped like 『Snip」...)"
"それじゃ、行きますよ～！
じゃーんけーん……","","I'll go then!
Janken: ......","","All right, let's go!
Rock, paper..."
"（よし、それなら俺が出す手は……）","","(Okay, then the move I'll give you is ......)","","(Okay, then I'll just have to...)"
"グー","","rock (in rock-paper-scissors game)","","Rock"
"チョキ","","scissors (in rock paper scissors game)","","Snip"
"パー","","par","","Par."
"ポン！　
菜々がチョキで俺がグー、俺の勝ちだな！","","Pon!
Nana's a chokie, I'm a goo, I win!","","Pon!
Nana plays scissors, I play rock!"
"ううっ……！　また、負けちゃいました……。
ですが、全力で挑んだので悔いはありませんっ！","","Ugh ......! I lost again .......
However, I have no regrets because I gave it my all!","","Ugh...! I lost again.
But I did everything in my power to challenge you, so there's no regret!"
"（そう言う菜々だったが、こっそり負けた理由を
教えると、すごく感謝された……）","","(It was Nana who said so, but the reason why she lost secretly.
(When I taught him, he thanked me so much: ......)","","(That's what Nana said, but when I told her the
reason for my secret defeat she thanked me...)"
"ポン！　菜々がチョキで俺がチョキ、
あいこだな","","Pon! Nana was the chopper and I was the chopper,
small cupboard or closed shelf on the side of a tokonoma","","Pon! Nana plays scissors,
and I play scissors."
"あ、あいこですか～……。
でも、負けじゃないだけヨシとしますっ！","","Oh, is it aiko - .......
But I'm glad I didn't lose!","","A-are we even...?
But, I'm glad we didn't lose!"
"（納得はしてなさそうだけど、
負けなかったから、良かったらしい……）","","(You don't seem convinced,
(He's glad he didn't lose because he didn't. ......)","","(You don't seem convinced, but it seems
like you were glad not to lose...)"
"ポン！　
菜々がチョキで俺がパー、俺の負けか","","Pon!
Nana gets a slice, I get a par, I lose.","","Pon!
Nana plays scissors and I play paper."
"もしかしてプロデューサーさん、遠慮しましたか？
ナナ、真剣勝負をしたかったです……","","Perhaps you were reserved, Mr. Producer?
Nana, I wanted to have a serious competition: ......","","Are you holding back, producer?
Nana, I wanted to have a serious match...."
"（うーん、良かれと思ったんだけど、
判断を間違えたかな……？）","","(Hmmm, for goodness sake,
(Did I make a bad decision ......?)","","(Hmm... I thought it was a good thing,
but maybe that wasn't the right decision.)"
"（菜々の仕事終わり、
気分転換を兼ねて出かけることにした……）","","(Nana's end of work,
I decided to go out for a change (......)","","(After Nana's work, I decided to
go out for a change of pace...)"
"（もうこんな時間か……。
菜々も楽しんでくれたようだな）","","(Is it that time already? .......
(I see Nana enjoyed it as well.)","","(It's already this late...
Nana seems to have enjoyed it too.)"
"ウーサミン♪　今日はありがとうございましたっ。
おかげさまで、ウサミンパワー充電完了ですっ！","","Usamin ♪ Thank you very much for today.
Thanks to you, my Usamin power is fully charged!","","Usamin♪ Thank you for today.
Thanks to you, I've charged up my Usamin Power!"
"今日はありがとうございます♪　これからも、
不肖安部菜々をよろしくお願いしますっ。キャハ☆","","Thank you for today.........................and for the future,
Please take good care of Nana Abe.","","Thank you so much for today♪ I hope we
can continue to be friends. Kyaha!☆"
