"（今日は春香と繁華街に、
事務所の備品を買い出しに行くことになった）","","(Today, Haruka and I went downtown,
(I had to go shopping for supplies for the office.)","","(Today, Haruka and I are going
downtown to buy some office supplies.)"
"資料によると……『調理師学校を主席で卒業した
調理師免許持ちのアイドル』らしい……強敵だな","","According to the document: ...... 'I graduated from culinary school with first class honors.
It seems ""Idol with a cooking license"" ...... is a strong competitor.","","According to the data... 『She's an idol with a cooking license who graduated
top of her class from Cooking School.』 seems like a formidable foe."
"ええっ！？　そ、そんなぁー！
それって、もうプロの料理人じゃないですか！","","That's not true!
Isn't that already a professional cook?","","Whaaat!? N-No way!!
You're a professional chef now!"
"心配しなくても、春香らしくやれば大丈夫だ。
ところで今日は何を作るんだ？","","Don't worry, just be Haruka and you'll be fine.
By the way, what are you making today?","","Don't worry, Haruka will be fine.
By the way, what are you making today?"
"それがまだ全然決まってなくて……。
プロデューサーさんは、何がいいと思いますか？","","That hasn't been decided at all yet and can be found at .......
What do you think Producer would like?","","That hasn't been decided yet...
What do you think would be good, Mr. Producer?"
"そうだな、春香が作るなら……","","Yes, if Haruka makes it: ......","","Let's see, if Haruka is going to make it..."
"お菓子","","sweets","","Some snacks."
"家庭料理","","home cooking","","Home-cooked dishes"
"高級懐石","","quality and quantity of one's laundry","","High-grade kaiseki"
"フランス料理の
フルコース","","French Cuisine
complete meal","","A full course
French meal."
"お菓子なら得意だし、いいんじゃないか？
春香らしさもアピールできる！","","I'm good with sweets.
Haruka-ness can also be appealing!","","I'm good at sweets, so why not?
I'll show you just how Haruka is!"
"私らしさ……そうですよねっ！","","It's my personality ...... I know, right?","","That's just like me!"
"無理するより、私らしくいつも通り作れば、きっと
大丈夫ですよね！　かわいいクッキーがいいかなぁ♪","","Instead of overdoing it, just be me and cook as usual, and I'm sure you'll be fine.
It's okay... I think I'll just have a cute little cookie...","","Instead of overdoing it, I'll just make the cookies as usual.
It should be fine! Maybe a cute cookie would work?♪"
"（春香が楽しそうに、お菓子のアイディアを
練り始めたぞ。これはいい流れだ！）","","(Haruka looks happy and has an idea for a pastry.
(They're starting to knead it, this is a good trend!)","","(Haruka seems to be enjoying herself as she starts
working on her idea of sweets. This is going well!)"
"お友達にプレゼントするお菓子、というテーマで、
かわいくって食べやすい、クッキーを作りました♪","","On the subject of sweets to give to friends,
We made cookies that are cute and easy to eat.","","I made some cookies that are cute and easy to eat,
under the theme of 'gifts for friends.' ∴♪"
"うん、すごく美味しいね！
しかも見た目もかわいくて、贈り物にピッタリだよ！","","Yes, it's very tasty!
Plus, it looks cute and makes a perfect gift!","","Yeah, it's really good!
And it looks cute, too! It's perfect for a gift."
"（春香のお菓子は大絶賛され、番組も盛り上がった。
春香のお菓子レシピ本の発売も決まったぞ！）","","(Haruka's snacks were highly praised and the program was a lot of fun.
(We've even got Haruka's recipe book for sweets coming out!)","","(Haruka's snacks were highly praised, and the show got really into it.
Haruka's recipe book for sweets has also been released!)"
"ここはあえて、普通の家庭料理ならどうだ？
作るのもそこまで難しくないだろうし……","","How about a regular home-cooked meal?
It wouldn't be that hard to make: ......","","How about a normal home-cooked meal?
It shouldn't be too difficult to make..."
"家庭料理って、肉じゃがとかカレーとか……ですか？","","Is home cooking, like meat and potatoes or curry, ......?","","Do you mean... meat and potato stew or curry?"
"そうそう。いい機会だし、アイドルとして
家庭的な面があることもアピールしていこう！","","Yes, yes, it's a good opportunity to be an idol.
Let's also show that we have a family-friendly side!","","That's right. This is a good opportunity to show them
that I have family-like qualities as an idol!"
"わ、わかりました！　でもちょっと不安なので……
お母さんに電話をして、レシピを聞いてみます！","","Wow, okay, but I'm a little nervous. ......
I will call your mother and ask her for the recipe!","","U-Understood! But I'm a little worried...
I'll call Mom and ask her for the recipe!"
"えっと、お母さんからアドバイスをもらって
家庭の味をテーマに、肉じゃがを作りました！　","","Well, I got some advice from my mom.
On the theme of ""Taste of Home,"" we made meat and potatoes!","","Um, I took advice from my mom to make meat
and potato stew with the theme of home cooking!"
"うん、家庭的な味で安心するね。それに春香ちゃんが
一生懸命作っている姿、かわいかったよ！","","Yes, it tastes homey and comforting, and Haruka is a great help.
It was so cute to see them working so hard to make it!","","Yeah, it's nice and homey. And the way you put
so much effort into cooking was really cute!"
"（番組はまずまずの盛り上がり。
春香の一生懸命な姿に、スタジオも和んだようだ）","","(The program was a good start.
(Haruka's hard work seems to have made the studio feel at home.)","","(The show's excitement is palpable.
Seems like the studio is calming down after seeing Haruka put in so much effort.)"
"やっぱりライバルが強敵だからな……。
ここは春香も懐石料理で対抗しよう！","","After all, our competitors are strong competitors. ......
Here, Haruka should also compete with kaiseki cuisine!","","After all, my rival is a formidable enemy...
Haruka, let's counterattack with kaiseki cuisine!"
"か、懐石料理ですか！？
わ、私にできるかな……","","Kaiseki cuisine?
Wow, I wonder if I can do it: ......","","A-A kaiseki dish?!
Y-You think I can do it...?"
"（春香らしくない料理で、しかも調理も失敗の連続。
ディレクターからダメ出しが入ってしまった……）","","(It's not like Haruka's cooking, and moreover, the cooking is a series of failures.
(I got a no-no from the director: ......)","","(It's not like Haruka to cook, and on top of that her cooking failed repeatedly.
The director won't let me in...)"
"フランス料理のフルコースなら
いくら手ごわい相手でも圧倒できるんじゃないか？","","For a full course of French cuisine
No matter how formidable the opponent, you can overpower them, can't you?","","A full course meal of French cuisine
could overwhelm even the toughest opponents."
"フ、フランス料理のフルコースですか！？
そもそも、どうやって作ったらいいんだろう……","","Hu, a full course of French cuisine!
How do I make it work in the first place? ......","","A-A full course French meal?!
How am I supposed to make it in the first place...?"
"（段取りが悪く、材料を黒焦げにしてしまった。
異臭が辺りに漂い、収録は中断。お蔵入りになった）","","(The setup was poor and the ingredients were burnt black.
(A strange smell wafted through the area, and the recording was interrupted and put on hold.)","","(The arrangements were poor, and the ingredients had been burnt to a crisp.
The recording was interrupted by a foul odor. We're in the closet now, so I thought we might as well go back to normal and watch it again sometime later than usual )"
"（今回の仕事は成功だ！）","","(This job was a success!)","","(This job was a success!)"
"（今回の仕事は失敗だ。次こそは！）","","（This job was a mistake...next time!)","","(This job didn't go well,
Let's try again next time!)"
"（今日は、春香が出ることになった、人気スポーツ
番組のアイドル運動会のリハーサルだが……）","","(Today, Haruka is going to be in, popular sports
(It's a rehearsal for the show's Idol Sports Day. ......)","","(Today, Haruka will be performing on a popular sports
program's idol athletic meet rehearsal...)"
"春香、どうした？
なんだか元気がないな？","","Haruka, what's wrong?
You look kind of down, don't you?","","Haruka, what's wrong?
You don't look so good."
"す、すみません！　実はさっき競技決めの練習で、
徒競走に挑戦してみたんですけど……","","I'm sorry! Actually, I was practicing for a competition decision earlier,
I tried my hand at running a race: ......","","S-Sorry! Actually, I tried to
take on a race earlier..."
"いつもみたいに思いっきり転んじゃって……。
はあ、私ってなんで何もないところで転ぶんだろう","","I fell down as hard as I usually do. ......
Huh, why do I fall down in the middle of nowhere?","","I tripped and fell like always...
*sigh* Why do I always trip over nothing?"
"そうか……。
そういうことなら、競技を変えてみるか？","","
If that's the case, why don't we change the competition?","","I see......
In that case, why don't we try a different sport?"
"えっ、いいんですか！？","","What, are you sure!","","Wait, really?!"
"ああ。種目もいろいろあるし、
春香に合う競技もあるはずだぞ","","Yeah, there are a lot of different events,
There must be some competitions that would suit Haruka.","","Yeah. There's a lot of events, and I bet there
are some that go well with Haruka in them too"
"……嬉しいです！　あの、プロデューサーさんから
見て、私に向いていそうな競技って、ありますか？","","...... I'm so happy! Um, from Producer.
Are there any competitions that you see that I might be suited for?","","...I'm so happy! Umm, is there any
competition that you think would be good for me?"
"春香に向いていそうな競技か。
そうだな、予定されている種目から選ぶなら……","","Is this a competition that Haruka would be suited to?
Yes, if you want to choose from the scheduled events, you can do so at ......","","It's a competition suited for haruka.
Let's see, if we were to choose from the events planned..."
"障害物競走","","obstacle race","","Obstacle race"
"パン食い競争","","bread-eating contest","","Bread-eating competition"
"飴食い競争","","candy-eating contest","","Candy eating competition"
"徒競走","","children's game in which (at least three) people stand back-to-back in a circle and jostle","","Kachikurasou"
"障害物競走はどうだ？　何もないところで転ぶなら、
逆に何かある場所なら転ばないんじゃないか？","","How about an obstacle course, if you're going to fall on nothing,
On the other hand, if you're in a place where there's something going on, you're not going to fall.","","How about the obstacle course? If you fall in an
empty place, maybe if there's something to trip over."
"え、ええっ！？
そ、そういうものなんでしょうか？","","Eh, eh!
So, is that how it is?","","Wh-What?!
I-Is that how it works?"
"確証はないが、試してみる価値はある。
どうだ？　挑戦してみないか？","","No proof, but it is worth a try.
What do you think? Would you like to give it a shot?","","I don't have any proof, but it is worth a try.
What do you say? Want to give it a try, then."
"プロデューサーさん……。そうですよね、
何事もチャレンジが大事、ですよねっ！","","Producer: ....... Yes, that's right,
Everything should be a challenge, right?","","You're a producer... That makes sense.
Challenge after challenge is important!"
"それじゃあ私、思い切って挑戦してみます！
プロデューサーさんも、見守っててくださいね♪","","I'll take the plunge then!
Producers, please keep an eye on it...","","Well then, I'll give it a shot!
Please watch over me, too.♪"
"わ、私が１位……！？　プロデューサーさんの
言う通り、転ばずにゴールできちゃいました♪","","Wow, I'm in first place ......! Producer.
I was right, I made it to the finish line without falling down.","","I-I'm in first place?! Producer was right,
we made it to the finish line without falling.♪"
"（リハーサルで見事な走りを見せた春香。
本番でも大健闘をして、チームを優勝に導いた！）","","(Haruka showed an excellent run at the rehearsal.
He did a great job in the show and led his team to victory!)","","(Haruka showed off her impressive performance during the rehearsal.
He fought hard in the real match, and led his team to victory!)"
"パン食い競争はどうだ？　転んでも、素早くパンを
取れれば、充分巻き返しができる","","How about a bread-eating contest? Fall down, quick bread.
If we can get it, we can rewind enough.","","How about a bread-eating contest? Even if you fall
over, the more quickly I can get my hands on it."
"な、なるほど……！　上手にパンが取れるかは
わからないですけど……私、頑張ります！","","Oh, I see. ......! I'll see if I can get a good loaf of bread.
I don't know, but ...... I'll do my best!","","I-I see...! Even though it's hard to say whether or not you
can make good bread out of this stuff, if that makes any sense."
"結局転んじゃいましたけど、パンもおいしかったし
とっても楽しかったです♪","","I ended up falling, but the bread was delicious.
It was a lot of fun.","","I ended up tripping, but the bread
was delicious. It's really fun!♪"
"（一生懸命頑張る春香を見て、チームは団結した。
本番では一丸となって競技に挑むことができた！）","","(Seeing Haruka trying her best, the team was united.
We were able to compete as one in the real thing!)","","(Seeing Haruka trying her best, the team unites.
During the performance, we were able to challenge all of them as one!)"
"飴探しはどうだ？　素早く飴を取れば、
ライバルたちにも差を付けられる","","How about looking for candy? If you take the candy quickly,
You can stand out from your rivals.","","How's the candy hunt going? If you can get your hands on some
quickly, it should be enough to win over our competitors."
"飴探し……！　そうですね、さっと取って
急いでゴールすれば、きっと大丈夫ですよね！","","Looking for candy ......! Yes, take it quickly.
If we hurry to the finish line, I am sure we will be fine!","","Looking for candy...! That's right, if we just
hurry and pick it up so that everything will be fine."
"ああ、でも転んで粉をぶちまけないようにな","","Yeah, but don't fall down and spatter the powder all over the place.","","Yeah, but make sure you don't fall over and spill the powder."
"大丈夫ですよ、まかせてください！
あ、でも……飴って、どんな味の飴なのかな？","","It's okay, leave it to me!
Oh, but what kind of candy does ...... candy taste like?","","Don't worry, leave it to me!
Ah, but... What kind of candy does it taste like?"
"（リハーサルで飴探しに夢中だった春香。
本番でもスピードをあげることはできなかった）","","(Haruka was absorbed in looking for candy at the rehearsal.
(I couldn't even speed up in the show.)","","(Haruka, who had been absorbed in searching for candy during the rehearsal.
I couldn't speed up during the real thing.)"
"いや、やっぱり逃げるのはよくないな。
このまま徒競走を頑張ろう！","","No, I still don't think it's a good idea to run away.
Let's keep up the clambering!","","No, running away really isn't a good idea.
Let's do our best at the foot race!"
"そ、そうですよね……。わかりました、
チームのためにも、一生懸命頑張ります！","","Yes, that's right. ....... Okay,
I will do my best for the team!","","Y-You're right... Okay, I will
do my best for the team!"
"（リハーサルで、最下位になってしまった春香。
それを引きずって、本番でも調子を出せなかった）","","(Haruka, who came in last place at the rehearsal.
(I dragged it out and couldn't get into the right shape for the race.)","","(Haruka ended up in last place during the rehearsal.
I couldn't even get myself to act on it during the performance.)"
"（アイドル情報番組『ＴＯＰ×ＴＯＰ！』に、
ディレクターからの指名で春香が出ることになった）","","(for the idol information program ""TOP x TOP!
(Haruka was nominated by the director to be on the show.)","","(The director has nominated Haruka for the
idol information program 『Top x top!』.)"
"どうだ、春香。
もうすぐ収録が始まるが、準備はできてるか？","","How about that, Haruka?
The recording will start soon, are you ready?","","How about it, Haruka?
We're about to start recording. Are you ready?"
"はいっ！　ディレクターさんからのご指名ですし、
気合いを入れないと、ですよねっ！","","Yes, the director has asked me to do it,
You have to get into it, right?","","Yes! The director wants us to do it,
so we've gotta put our all into this."
"でも……プロデューサーさん、実はこの質問の
答えをどうしたらいいか、迷ってるんです","","But ...... producer, I actually have this question.
I'm not sure what to do with the answer.","","But... Producer isn't sure
what to do about this question."
"ん？　これが質問リスト……。
『アイドルをやっている理由は？』……か","","Hmm? This is the list of questions: .......
'Why are you in Idol?' ...... or","","Hm? Here's the list of questions...
『What's your reason for being an idol?』... huh."
"……なるほど、これは確かに少し難しい質問だな","","...... Okay, this is definitely a bit of a difficult question.","","...I see. That's certainly a difficult question to answer, huh?"
"そうなんです……。改めてそう聞かれると、
なんのためって選びきれなくて……","","Yes, ......, if you ask me that again,
I couldn't choose what for. ......","","That's right... When you ask me that
again, I can hardly decide what it is for."
"私がアイドルをやっている理由……","","Why I am an idol: ......","","The reason I'm an idol..."
"確かにそうだな……。
でも春香がなんのためにアイドルをするのか、か……","","That's for sure. ......
But what's Haruka's idol for? ......","","That's certainly true...
But why would Haruka be an idol, huh..."
"笑顔","","smile","","Smile."
"歌","","song","","Uta"
"自分","","myself","","Myself."
"俺","","I","","I..."
"やっぱりみんなの笑顔が見たいから、じゃないか？
春香はみんなの笑顔が好きだろ？","","After all, you want to see everyone smile, don't you?
Haruka likes to see everyone smile, right?","","Isn't it because she wants to see everyone smile?
You like everyone's smile, right?"
"笑顔……。
……っ！　はい！　笑顔、好きです！","","Smile. .......
......! Yes! Smile, I like it!","","A smile...
...! Yes, I like that smile on your face."
"ありがとうございます、プロデューサーさん！
私、胸を張って笑顔だって答えてきますね♪","","Thank you, producer!
I'll go ahead and answer that I have a smile on my face.","","Thank you so much, Mr. Producer!
I'll answer with a proud smile.♪"
"私がアイドルを続けるのは、
みんなの笑顔が見たいからです","","I will continue to be an idol,
Because I want to see smiles on everyone's faces.","","The reason I'm still an idol is because
we want to see everyone smile."
"だから私、これからもみんなを笑顔にするため、
アイドルとして、ステージに立ち続けたいです！","","So I, to continue to make everyone smile,
As an idol, I want to continue to stand on stage!","","That's why I want to keep standing on stage
as an idol, so that everyone can smile!"
"（力強い春香の言葉に、スタジオからは拍手喝采。
アイドル、天海春香を象徴するような言葉だった）","","(The studio applauded Haruka's powerful words.
(The words were emblematic of Haruka Amami, the idol.)","","(Haruka's powerful words elicit applause from the studio.
It was like a symbol of the idol, Amami Haruka.)"
"春香は歌が好きで、アイドルになったよな。
歌を歌いたくて……とかかな？","","Haruka loves to sing and became an idol, right?
Maybe something like ...... to sing a song?","","Haruka loved singing, so she became an idol.
Maybe... she wanted to sing?"
"確かに、私がアイドルを目指したのは、歌が好きで
……今も、そこは変わりません。でも……","","Indeed, I wanted to become an idol because I love to sing.
......Now, that hasn't changed, but ......","","It's true that I aspired to be an idol because of my
love for singing... That hasn't changed, even now."
"私が歌うと、みんな笑顔になってくれるから、今は、
もっと好きになりました！　それを伝えてみます！","","When I sing, people smile, now,
I like it more! I'll try to tell them that!","","When I sing, everyone smiles at me. So now we're even more in love!
Letting them know that is what it means to be a part of someone else..."
"私が歌うことでみんなが笑顔になってくれるから……
だから、アイドルを続けています！","","Because my singing makes people smile. ......
That is why I continue to be idle!","","Because my singing will make everyone smile...
That's why I continue to be an idol!"
"（春香の言葉に、スタジオからも感嘆の声が。
アイドルらしい姿に、頼もしさを感じた）","","(Haruka's words were met with admiration from the studio.
(I felt a sense of dependability in her idol-like appearance.)","","(Haruka's words elicit a voice of admiration from the studio as well.
Seeing her act like an idol makes me feel reliable.)"
"ここはあえて自分のためだと言ってみるのはどうだ？
意外性が演出できるかもしれないぞ","","How about daring to say it's for your own good here?
You might be able to create the unexpected.","","Why don't you try saying this is for your own good?
You might be able to stage a surprise."
"自分のため、ですか？　うーん、それも
間違ってはいないと思いますけど……","","For yourself? Hmmm, that too.
I don't think you're wrong, though: ......","","For your own sake? Hmm... I
don't think that was wrong, either."
"でも、そうですね。
たまには強気でいくのも大切……なのかな？","","But yes.
Is it important to be bullish sometimes ......?","","But, I guess you're right.
It's important to be strong once in a while... I guess?"
"（自分のためと答えた春香に、スタジオも困惑。
強気にいく作戦は、今回は失敗だったようだ……）","","(The studio was puzzled when Haruka answered that she was doing it for herself.
(The strategy of going strong seems to have failed this time: ......)","","(The studio is bewildered by Haruka's answer.
Looks like my strong-willed plan didn't work this time...)"
"俺のため、とかどうだ！？　プロデューサーを
喜ばすためにアイドルをやる春香……。とかな！","","How about for me, or something! I need a producer.
Like Haruka ......, who plays the idol to please!","","How about doing it for me?! Haruka, who's going to
be an idol just so Producer can enjoy herself..."
"ええ！？　プロデューサーさんのためって、ゼロでは
ないですけど、趣旨と違うような……いいのかなあ？","","Yeah!? For Producer, zero.
I don't have one, but I wonder if it's ...... good enough, which doesn't seem to be the purpose.","","Huh?! For Producer's sake, I mean... It isn't exactly zero. But it doesn`t seem to be what
we were hoping for at all... Is that really okay with you guys being together like this?"
"（残念ながら番組の趣旨からずれていたようで、
この質問の場面はカットされることになった……）","","(Unfortunately, this was not the purpose of the program,
(The scene of this question was to be cut: ......)","","(Unfortunately, it seems that the show didn't go
according to plan. This question scene was cut short...)"
