"（休憩中の咲耶に声をかけてみよう……）","","(Let's talk to Sakuya during a break: ......)","","(I should call out to Sakuya while she's taking a break...)"
"おはよう、プロデューサー。
今日もみんなと活動ができると思うと、胸が躍るね","","Good morning, producer.
I'm so excited to be able to do another activity with everyone today!","","Good morning, producer.
It's exciting to think that I can work with everyone again today."
"フフッ、今日も多くのことを学ばせてもらったよ。
明日も自分の可能性を信じて頑張らせてもらおうかな","","Phew, I learned a lot today.
I guess I'll just have to keep believing in my own potential tomorrow.","","Hehe, I learned a lot today.
Tomorrow, I'll believe in my own potential and work hard."
"遅くまでお疲れ様、プロデューサー。
今日はゆっくり休んで、明日の英気を養うようにね","","Thanks for staying up late, producer.
Get some rest today so you'll have the energy for tomorrow.","","Thanks for staying up so late, producer.
Rest well today and rest up for tomorrow."
"（『助けてお姉様！』というＴＶ番組に、
咲耶が出演することが決まった……）","","(to a TV program called ""Help, Sister!
(Sakuya will be performing at ......)","","(It's been decided that Sakuya will
appear on 『Help me, sister!』...)"
"――リハーサル中――","","--Rehearsal in progress...","","――During rehearsal―"
"（『悩める女性に答えるトークバラエティ』とは
聞いていたが、応募女性が多すぎる……）","","(What is ""Talk Variety to Answer Women in Distress""?
(I had heard about it, but there are too many women applying: ......)","","(『Talk about answering a troubled woman』? I'd heard
that, but there are too many applicants...)"
"ちょっといいかな、プロデューサー？","","Can I have a word with you, producer?","","Excuse me, producer?"
"……時間が押しているらしくてね。まだ残っている
相談者にも、ちゃんと答えたいのだが……","","...... time seems to be pushing it. still left.
I'd like to make sure I'm answering the right questions for the consultant. ......","","...It seems we're running out of time.
I want to give a proper answer..."
"残りの相談者に答えたいか……。
悩ましいところだな","","Do you want to answer the rest of the consultants? .......
It's a tricky one, isn't it?","","Do you want to answer the other people...?
That's a troubling place."
"時間を決める","","decide on the time","","I'll tell you when."
"丁寧に答える","","answer politely","","Answer politely"
"急ぐ","","hurry","","Hurry"
"笑ってごまかす","","laugh at a person's expense","","Laugh it off."
"時間を決めて対応しよう。番組にも収録時間が
あるし、出演者も帰りの時間があるからな","","Let's set a time to respond; the program has a recording time as well.
There is, and the performers have time to get home.","","Let's set a time for this. The show has recording
hours, and the performers have to go home soon too..."
"そうだね、目標とする時間を決めて、
みんなの悩みに答えるということか……","","Yes, set a target time,
So you're answering everyone's problems. ......","","That's right. We need to decide on a time when we
can meet our goals and answer everyone else..."
"……それを両立してこそ、関係者も、
来てくれた人も、みんなを笑顔にできる","","...... only if you can manage to do both of those things, and the people involved,
It can make everyone smile, even those who come.","","It's only by doing both that I can make
everyone involved and those who come smile at me."
"ありがとう、プロデューサー。
時間を守ってやってみる、見ていてくれ！","","Thanks, producer.
I'll try to do it on time, watch me!","","Thank you, producer.
I'll try to be punctual. Just you watch!"
"（その後、番組収録は時間内に終了できた。
悩める女性たちに答えるばかりでなく……）","","(The program recording could then be finished in time.
(......) as well as answer to women in distress.","","(After that, we finished recording the show in time.
I didn't just answer the troubled women...)"
"（ひとり残らず魅了した結果、みんな咲耶の
ファンとなり、笑顔とともに帰っていった！）","","(As a result of fascinating every single one of them, they were all attracted to Sakuya's
(They became fans and left with smiles on their faces!)","","(Everyone became Sakuya's fans and went
home with a smile on their faces!)"
"時間が多少押しても、丁寧に答えた方がいい。
内容は違えど、悩み事に重い軽いはないからな","","You should answer politely, even if the time is a little pressed.
The content may be different, but there's nothing heavy or light about your worries.","","It's better to answer politely, even if it takes some time.
It's a different story, but there are no heavy or light things to worry about."
"……ああ、プロデューサーの言う通りだ","","...... Yeah, Producer is right.","","...Yeah, Producer's right."
"そうだ。私は悩める人たち全員が、
笑顔になってほしいと思っている。だから……","","Yes, I am all those who are afflicted,
They want you to smile, so go to ......","","That's right. I want all the people
who are troubled to smile, so..."
"……うん、力が湧いてきたよ。ありがとう。
私のこと、しっかり見ていてくれ","","...... yeah, I feel empowered, thank you.
Keep an eye on me.","","...Yeah, I feel a lot better now. Thank you!
Watch me closely."
"（その後、番組収録は時間が少し押してしまった。
番組内容が充実したから、大丈夫とは聞いたが……）","","(The program recording was then pushed back a bit in time.
(I've heard it's okay now that the program content has been enhanced. ......)","","(After that, we pressed the recording session a bit.
I've heard that the content of this show is pretty good, so it should be fine...)"
"（スタッフをも魅了した、咲耶のトークは好評で、
なにより、咲耶が笑顔で収録を終えられてよかった）","","(Sakuya's talk, which fascinated even the staff, was well received,
(Above all, I'm glad Sakuya was able to finish the recording with a smile on her face.)","","(Sakuya's talk that captivated the staff was well received,
and most of all I am glad she finished recording with a smile.)"
"収録時間には限界もある、急ぐしかないか……。
大変だとは思うが、巻き気味で頼む！","","There is a limit to how much time we can record, we'll have to hurry. ......
I know it's a lot of work, but please be reeling!","","There's a limit to how much time we can record, so I have no other choice...
I know it's a lot of work, but please wrap this up!"
"確かに。収録予定の時間を考えると、
今までよりは、急いで対応しないといけないね","","Certainly. given the time of the scheduled recording,
We'll have to deal with this more quickly than we have in the past.","","▁Indeed. Considering the time of recording, we'll
have to deal with it more quickly than before"
"押してしまっているのは、私が未熟なせいだ。
プロデューサーには迷惑をかけるね……すまない","","I'm pushing it, and it's because I'm immature.
Sorry to bother your producer. ......","","It's my inexperience that pushed me.
I'm sorry to cause trouble for Producer."
"その代わり、みんなの悩みに答えられるよう、
精いっぱい頑張ってみることにするよ","","Instead, to answer everyone's concerns,
I'll try my best.","","In exchange, I'll do my best to help everyone out with their
problems in the future. That way we can all be happy together again someday"
"（番組収録は時間内に終えることができたが……。
急ぎ目に進行したため、内容が薄くなってしまった）","","(The program recording was able to finish in time, but .......
(The content was thin due to the rushed progression.)","","(We were able to finish recording in time, but...
The story's gotten a little thin because of how quickly it progressed.)"
"笑ってごまかす……とか……？","","Laugh and cheat ...... or ......?","","Like... trying to laugh it off?"
"それは、あまりいいことじゃないね。
わからないことは、わからないと言うべきだ","","That's not very nice.
If you don't know, you should say you don't know.","","That's not a good thing.
You should say you don't know what it is."
"悩みを抱えている人が目の前にいるのだから。
何より大切なのは、真摯に向き合う気持ちなんだ","","There are people in front of you who have problems.
The most important thing is to be sincere.","","There's a person in front of me who is worried about something.
More than anything, the most important thing is to face your feelings with sincerity."
"（咲耶はうまく立ち回れず、中途半端な相談に
なってしまった……。アドバイスを失敗した……）","","(Sakuya did not get around well and halfway through the consultation.
(....... I failed to advise ......)","","(Sakuya couldn't do anything about it, so we ended up talking
things over half-assedly... I failed to give her any advice.)"
"（今回の仕事は成功だ！）","","(This job was a success!)","","(This job was a success!)"
"（今回の仕事は失敗だ。次こそは！）","","（This job was a mistake...next time!)","","(This job didn't go well,
Let's try again next time!)"
"（フラワーショップ『グリーンガーデン』の
イベント会場で、１日店員をすることになった……）","","(Flower store ""Green Garden"")
(I will be a clerk for a day at the event ......)","","(I'll be working as a clerk at the Flower
Shop 『Green Garden』 event hall for one day...)"
"プロデューサー、素敵な仕事をありがとう。
私の装いはどうだろう？","","Thanks for the great job, producer.
What about my attire?","","Thank you for your wonderful work, producer.
What about my outfit?"
"もちろん、よく似合っているよ。
咲耶は花のように凛として綺麗だからな","","Of course, it suits you well.
Sakuya is as dignified and beautiful as a flower.","","Of course, it looks good on you.
Sakuya is beautiful and dignified, like a flower."
"花と触れ合うこの仕事はぴったりだと、
そう思っていたんだ","","He thought this job, where he would be in contact with flowers, was a perfect fit,
That's what I thought.","","I thought this job was perfect
for interacting with flowers."
"……フフ、慧眼だね","","...... Huh, that's a good eye for wisdom.","","...Hehe, you're pretty perceptive."
"そこまで言われたら頑張らないわけにはいかないね。
では店員として、私は何に励めばいいかな？","","I can't help but do my best when you say that much.
So, as a clerk, what should I be working on?","","If you're going to go that far, then I have no choice but to do my best.
So, what should I devote myself to as an employee?"
"フラワーショップのイベント店員として、
咲耶が頑張るといいのは……","","As an event clerk at a flower store,
Sakuya should do her best at ......","","Sakuya, as an employee
at a flower shop event..."
"花束の作成","","Creating a bouquet","","Creation of a bouquet"
"レジ業務","","cash register operation","","Residency"
"お客様の呼び込み","","Customer Call-in","","Customers call in."
"清掃","","cleaning","","Cleaning"
"センスの良さを活かして、お客様に合った
花を選定して、花束を作るとかどうだろう？","","We will use our good taste to suit your needs.
How about selecting flowers and making a bouquet?","","How about we make use of our good taste to select
a bouquet that's suitable for the customer?"
"お客さんと触れ合い、花束を……。
フフ、それは新しいコミュニケーションの形だね","","Touch with the customers and give them a bouquet of flowers at .......
Huh, that's a new form of communication.","","I made contact with the customers, and brought a bouquet of flowers...
*chuckle* That's a new form of communication."
"……黄と白の花々を基調としつつ、葉の緑で
和らぎを加えたこちらの花束はいかがでしょう？","","...... yellow and white flowers, but with green leaves.
How about this bouquet with added harmony?","","How about this bouquet of yellow and white
flowers, but also softened with green leaves?"
"アナタの未来に、明るい希望の色を……。
そんな願いを込めて作らせていただきました","","For your future, please visit ...... to see the bright colors of hope.
We made it with such wishes in mind.","","A bright color of hope for your future...
I made it with that wish in mind."
"うわぁ、きれいー！
ありがとうございます！！","","Wow, beautiful!
Thank you!","","Wow, it's so pretty!
Thank you very much!!"
"フフ、ありがとうございます。
……アナタの素敵な笑顔で、花が霞んでしまうな","","Huh, thank you very much.
...... your beautiful smile makes the flowers so hazy!","","Haha, thank you very much.
...Your wonderful smile makes the flowers hazy."
"（咲耶が作った花束は、ホープイエローと呼ばれ、
世間の話題となった）","","(The bouquet that Sakuya made is called Hope Yellow,
(It became a public topic of conversation.)","","(The bouquet Sakuya created was called Hope Yellow, and
became a hot topic of conversation for the public at large.)"
"（咲耶のセンスが世間に認められ、しかも
ホープイエローが笑顔を広げてる。いい仕事だ！）","","(Sakuya's sense of style is recognized by the public and
Hope Yellow is spreading smiles--great job!)","","(Sakuya's sense of style has been recognized by the world,
and Hope Yellow is smiling even wider. That was a good job!)"
"レジ業務はカウンターにいる。咲耶自身が華になる
ことで、長蛇の列となれば……イベントは大成功だ！","","The cashier is at the counter; Sakuya herself is the flower.
If the line is long, the ...... event will be a great success!","","The cashier's at the counter. If Sakuya becomes a stand-in...then
this event will be an enormous success!"
"なるほど。私自身も華に、か……。
フフ、その期待に応えられるよう、頑張るよ","","I see...I myself am a flower, or .......
I'll do my best to live up to those expectations.","","I see. So it'll make me look gorgeous, too...
Hehe, I'll do my best to meet your expectations."
"種と球根、花束の３点で合計が４５００円です。
……はい、５０００円のお預かりでおつりが……","","The total for the three items (seeds, bulbs, and bouquet) is 4,500 yen.
......Yes, you can keep 5,000 yen and get change at ......","","The seeds, bulbs and bouquets are worth 4500 yen.
...Yes, your change will be 5000 yen..."
"きゃっ！　さ、咲耶さんと、手が触れちゃいました！
ま、また追加を選んできます！","","Saya-san and I touched hands!
Well, I'll go back and choose an addition!","","Eek! I-I touched Sakuya's hand.
I-I'll go pick another one!"
"…………何度もレジに並んでくれる人が多いね。
何度も会えるのは嬉しいことだけれど……","","I've seen a lot of people who'll stand in line at ............ many times to checkout.
It's nice to see you again and again, but ......","","......There sure are a lot of people lined up at the register.
I'm happy to see you again, but..."
"（咲耶がレジにいると、ひとりで何度も買い物をする
お客様が増え、列が途切れることはなかった）","","(When Sakuya is at the cash register, he makes many purchases by himself.
(More customers, and the line never stopped.)","","(When Sakuya was at the register, there were more
customers who went shopping by themselves than usual.)"
"（想定以上の売上で、クライアントも喜んでいた。
咲耶がフラワーより華やいで目立っていたが……）","","(Sales exceeded expectations, and the client was pleased.
(Although Sakuya stood out as more flamboyant than Flower: ......)","","(The client was happy with the sales.
Sakuya stands out more than a flower, but...)"
"お客様の呼び込みをするのはどうだ？
咲耶がやれば、大勢の人が集まると思うぞ！","","How about calling in customers?
If Sakuya does it, I'm sure you'll get a lot of people!","","Why don't we try to attract customers?
If Sakuya does it, I think a lot of people will gather!"
"フフ、呼び込みで集客か。責任重大だね。
頑張ってみるよ","","You're responsible for attracting customers by calling in.
I'll try my best.","","Hehe, attracting customers? That's a heavy responsibility.
I'll try my best."
"みなさま、フラワーショップ『グリーンガーデン』
１日店員の白瀬咲耶です","","Ladies and gentlemen, the flower store ""Green Garden
My name is Sakuya Shirase and I will be your clerk for a day.","","Everyone, Flower Shop 『Green Garden』
I'm shirasesaki sakuya, a waitress for the day."
"本日限定イベント開催中です。
どうぞお立ち寄りください","","The event is being held today only.
Please stop by.","","Today's special event is underway.
Please stop by."
"えっ、咲耶さん！？
買う、買います！　花束ください！","","What, Sakuya!
I'll buy, I'll buy! Please give me a bouquet!","","Eh, Sakuya-san!?
I'll buy it! Give me a bouquet of flowers."
"（咲耶に注目は集まったが、イベントの意義が
薄くなってしまった……アドバイスを失敗したな）","","(Although attention was focused on Sakuya, the significance of the event
(You failed to ...... advice that got thin)","","(The focus of Sakuya's attention has been drawn to the event, but now it
feels less meaningful... I failed at giving her advice on that matter.)"
"清掃とかはどうかな？
花に関する専門知識がなくても貢献できるぞ","","What about cleaning and such?
You don't have to have any expertise in flowers to contribute.","","How about cleaning?
I can contribute even if you don't have my expertise with flowers."
"うん、それならば私でもできそうだ。
頑張ってみるよ","","Yeah, I guess I could do that.
I'll try my best.","","Yeah, even I can do that.
I'll try my best."
"お客様、足元の葉っぱを
掃除してよろしいでしょうか？","","Sir, the leaves at your feet.
May I clean it up?","","Sir, may I clean the
leaves at your feet?"
"移動いただき、ありがとうございます。
今、片付けさせていただきます","","Thank you for moving.
I will clean up now.","","Thank you for moving.
I'll clean it up now."
"あ、あの、咲耶さんが、お掃除した葉っぱ……。
捨てるのなら、記念に１枚いただいてもいいですか？","","Oh, um, Sakuya, the leaves you cleaned up: .......
If you are going to throw it away, may I have one as a memorial?","","U-Um, Sakuya's cleaning leaves...
If you're going to throw it away, could I have one as a souvenir?"
"このようなものでよいのですか？
あちらに素敵なお花が、たくさんありますが……","","Is this the right kind of thing to do?
There are a lot of nice flowers over there, but ......","","Are you sure this is the right thing to do?
There are a lot of wonderful flowers over there..."
"（お客様は喜んでいるのだが……。
みんな咲耶に見惚れて、花が売れない……！）","","(Customers are happy with .......
(Everyone is so in love with Sakuya that they can't sell flowers ......!)","","(The customers are happy, but...
Everyone's so captivated by Sakuya, they can barely sell their flowers...!)"
"（旅が好きな咲耶を見込んで、旅番組の企画から
参加してくれとディレクターに言われているが……）","","(In anticipation of Sakuya's love of travel, she started planning a travel program.
(The director has asked me to participate. ......)","","(The director asked me to participate in the planning of a
travel program, since Sakuya likes traveling so much...)"
"（咲耶は今、打ち合わせ中だ……。
うまくいっているといいのだが……）","","(Sakuya is in a meeting right now. ......
(Hope that's working: ......)","","(Sakuya's in the middle of a meeting...
I hope it goes well...)"
"ディレクターさんに、私も何か
企画案を出してみないかと言われたんだ","","To the director, I'd like to say something too.
They asked me if I'd be interested in coming up with a plan.","","The director asked me if I wanted
to come up with a plan, too."
"せっかくそう言ってもらったのだから、
見てくれた人が楽しめる案を出したいのだけど……","","I'm glad you said so,
I'd like to come up with a proposal that people can enjoy looking at: ......","","I'd like to come up with an idea that the
people who saw it will enjoy, but..."
"旅番組の企画で、視聴者が楽しめるようなものか。
咲耶も楽しめたほうがいいよな……","","Is it a travel program project that the audience will enjoy?
Sakuya should enjoy it too. ......","","I guess it's a travel program that the viewers can enjoy.
It'd be nice if Sakuya could have some fun, too..."
"現地の人に注目","","Focus on the locals","","Look at the locals."
"事前調査を番組に","","Preliminary research into the program.","","Preliminary investigations."
"ダイスで決める","","Decide by dice","","I'll decide by dice."
"当日に決める","","decide on the day of","","I'll decide on the day."
"現地の人に注目した番組はどうだ？　ファンは咲耶の
自然な表情が楽しめて、咲耶は交流が楽しめる！","","How about a show that focuses on the locals? The fans are Sakya's
Sakuya enjoys the natural look and enjoys the interaction!","","How about a program that focuses on the locals? The fans can
enjoy Sakuya's natural expression, and you get to interact with them!"
"なるほど……！
旅の醍醐味は、新しい出会いにあるからね","","I see. ......!
The best part of traveling is meeting new people.","","I see...!
The best part of traveling is meeting new people."
"うん、いい企画になりそうだ……。
フフ。それに、その企画は私がとても楽しめる","","Yeah, it's going to be a good project. ......
Phew...and I'd really enjoy that project!","","Yeah, it'll be a good plan...
Heh. And I'm quite enjoying the project myself, too!"
"ああ、咲耶を見ていて思いついたんだ。
俺だけでは思いつかなかったよ","","Yeah, I got the idea from looking at Sakuya.
I couldn't have come up with that on my own.","","Yeah, I had an idea while watching Sakuya.
I couldn't have come up with that on my own."
"ありがとう、プロデューサ－！
この企画、ディレクターさんに話してみるよ","","Thank you, Producer!
I'll talk to the director about this project.","","Thank you, Producer!
I'll talk to the director about this project."
"（ディレクターも興味をもったらしく、趣旨に適した
咲耶のメイン起用が決まった！　大抜擢だ！）","","(The director was also interested in the project and found it suitable for the purpose.
Sakuya's main appointment has been decided!)","","(The director seems to have taken an interest in
Sakuya's main role, and has decided on a grand selection!)"
"事前調査を、番組の主軸にするのはどうかな？
様々な情報が集まるから、面白くなりそうだ","","How about making preliminary research a mainstay of the program?
It's going to be interesting because it's going to bring together all sorts of information.","","How about we focus on our preliminary investigation?
It'll be interesting to see all the information we can get."
"確かに……。ぶらりと行くのもいいけれど、
入念に計画して臨む旅もまた面白い","","Sure, ....... It's nice to hang out, though,
A carefully planned trip is also interesting.","","▁You're right. It would be nice to just wander around, but I also
enjoy the idea of carefully planning out a journey for myself as well"
"ロケ場所のガイド本を見たり、口コミ情報を
調べたりする時間も、その旅の一部だからね","","Look at guidebooks for locations and word-of-mouth information.
And the time you spend researching is part of that journey.","","After all, the time spent reading guidebooks and
gathering word of mouth information is a part of that journey."
"ってことは、今も既に旅は始まっている……。
と、いうことかな？","","Which means that even now, the journey has already begun. ......
I'm not sure if that's what you mean.","","Which means that the journey has already begun...
Is that how it is?"
"フフ、そういうことになるね、プロデューサー。
なかなか面白い切り口を、ありがとう！","","Huh, that's how it works, producer.
Quite an interesting angle, thank you!","","*chuckle* That's right, producer.
That's an interesting way to cut it. Thank you!"
"（旅の予定から始まり、観光も楽しめた。充実した
情報で、デートスポット特集が組めるほどになった）","","(I started with my travel plans and enjoyed the sights...it was fulfilling)
information, so much so that we could do a special feature on dating spots).","","(We started with our plans for the trip, and we enjoyed sightseeing. The
information was so fulfilling that it gave us a special date spot feature!)"
"（予定の段階から、咲耶とディレクターの話が
盛り上がり、咲耶は番組のゲストに決まった！）","","(From the planning stage, Sakuya and the director talked about
(The crowd went wild, and Sakuya was chosen to be a guest on the show!)","","(Sakuya and the director's conversation got really heated,
so it was decided that she would be a guest on our show!)"
"ダイスを振ってみてはどうかな？
あらかじめ地図に番号を割り振っておくんだ","","Why not roll the dice?
We'll assign numbers to the map in advance.","","Why don't you try rolling the dice?
I'm going to assign a number on the map."
"なるほど。旅先では、想像もつかないようなことが
起こるからね","","I see....things you can't even imagine when you are traveling.
It happens.","","I see. It's hard to imagine something like
this happening on the road, after all..."
"ゲーム感覚のロケ番組……。
私も見てくれる人も、とびきりドキドキできそうだ","","A game-like location show. ......
I'm sure I'll be incredibly thrilled, and so will everyone who sees it.","","It's like a video game show...
Both me and the people watching will be thrilled to death, I'm sure of it."
"何が起こるかわからないけど、
体当たりで頑張ってみるよ","","I don't know what will happen,
I'll try my best to be physical.","","I don't know what will happen,
but we can do it."
"（実際は悪い目ばかりが出てしまい、収録は
全く盛り上がらなかった。これはお蔵入りだ……）","","(In fact, all the bad eyes came out, and the recording was
It wasn't exciting at all; this one's in storage (......).","","(The recording session ended up being pretty hectic because of
all the bad things that happened. This is a storehouse...)"
"当日に決める。
出たとこ勝負の旅番組はどうかな？","","Decide on the day of the event.
How about a travel show that goes where it comes from?","","I'll decide on the day of.
How about a competitive travel show?"
"そのほうが、フレッシュな反応の咲耶が
見られるんじゃないかな","","That way, the fresh reaction Sakuya
I guess we'll see.","","I think you'll get a fresher
reaction that way, Sakuya."
"プライベートでは、行先を決めずに
ふらりと出かけることもあるけれど……","","In private, you don't have to decide where to go.
Sometimes I go out on a whim, but ......","","In my private life, I sometimes wander
off without knowing where to go..."
"番組の企画として、
何も決めずにいて大丈夫だろうか？","","As a program project,
Is it safe to make no decisions?","","Is it really okay for us not to decide
anything as part of our program plan?"
"ここはスタッフの都合もあると思う。
ディレクターさんに、意見を聞いてみるよ","","I think there is some staff availability here.
I'll ask the director for his opinion.","","I'm sure there are staff here as well.
I'll ask the director for his opinion."
"（出たとこ勝負は、考えなしだとみなされてしまい、
番組企画の仕事の話がなくなってしまった……）","","(The ""out of the box"" approach is seen as ill-considered,
(I've lost my job offer for program planning: ......)","","(The contest was deemed a thoughtless one, and we
lost the topic of planning work for our show...)"
