"改めまして……コホン。
はじめまして！　プロデューサーさん！","","Once again, ...... Kohon.
Nice to meet you, producer!","","Allow me to introduce myself... Ahem.
Nice to meet you, Mr. Producer!",""
"本当ですか！？　やりました～♪
実はこの魔法のステッキ、ナナの手作りなんですよ！","","Really? I did it!
In fact, this magic walking stick was handmade by Nana!","","Really?! I did it~ This magic wand
is actually handmade by Nana.",""
"細かいところもよく見てください。
どうですか、このステッキ、いいでしょう？","","Look closely at the details.
What do you think of this stick?","","Take a good look at the details.
What do you think of this wand?",""
"ああ、そうだな。
まるで既製品みたいで……","","
It's like a ready-made ......","","Yeah, you're right.
It's almost as if it were ready-made...",""
"すごくかわいいよ","","You look so cute.","","She's so cute.",""
"商品化もあるな","","There's commercialization.","","There's also commercialization.",""
"よくできているな","","Well done.","","You're doing a good job.",""
"素敵なステッキ……","","Nice stick: ......","","A wonderful wand...",""
"ああ、すごくかわいいよ。
菜々らしいセンスで良いと思うぞ","","Yeah, it's very cute.
I think you've got good taste, Nana.","","Yeah, she's really cute.
I think it's good that you have a sense of nana.",""
"えへへ～♪　自分でもすごく気に入っているので、
褒めてもらえて、すっごく嬉しいです～！","","Ehehe~♪ I really like it myself,
I am so happy to hear your praise!","","Heheh! ♪ I really like it, so
being praised makes me happy.",""
"プロデューサーさんに太鼓判を押してもらえて、
作ってよかったなぁって、しみじみ……","","Producer gave me a drumstick,
I'm so glad I made it. ......","","I'm so glad Producer gave
me his approval to make it.",""
"ウサミンワールドが実現したら、
商品化もあるな","","If Usamin World is realized,
There's commercialization.","","If Usamin's world is realized, there
will be commercialization.",""
"商品化、ですかぁ！？　ナナのデザインした
ステッキがお店に並ぶなんて……！","","Commercialization, huh! Nana's design.
I can't believe the stick is in the store. ......","","Commercialization?! Nana's wand
is lined up in a store...",""
"全国の子どもたちがナナのステッキを
持っていると想像したら……泣けてきちゃいますっ！","","Nana's stick for children across the country.
I can't help but cry ...... when I imagine having it!","","Just imagining all the kids in
Japan holding Nana's wand makes me cry!",""
"なかなかよくできてるんじゃないか？
器用なものだな、かなり難しいだろう","","Pretty well done, isn't it?
Dexterous stuff, must be pretty hard to do.","","Isn't it pretty well made?
Skillful, I'm sure it will be difficult.",""
"分かりますか！？
そうなんです、このあたりは細かくて……","","Do you understand!
Yes, this area is very detailed: ......","","Do you understand?!
That's right, this area is very detailed...",""
"ちょっと大変だったんですけど、ウサミンワールドに
来てくれるみんなに、喜んでほしいですからっ！","","It was a bit of a challenge, but I was able to get into Usamin World.
I want everyone who comes to the event to be happy!","","It was a bit of an ordeal, but
I want everyone to be happy!",""
"ああ、そうだな、素敵なステッキだ","","Oh, yeah, nice stick.","","Yeah, I know. It's a nice wand you got there for me",""
"はいっ！　ありがとうございます……って
ステキな……ステッキ！？","","Yes! Thank you very much ......
Nice ...... stick!","","Yes! Thank you very much...
Wait, isn't that a wonderful wand?",""
"だ、ダジャレだったんですね！
すみません、気づかなくて……","","I'm sorry, that was a pun!
Sorry, I didn't realize that. ......","","Th-That was just a pun!
Sorry, I didn't notice...",""
"い、いや！　そんなつもりで言ったんじゃなくて、
素直に素敵だなって、思っただけだ……","","No, no! I didn't mean it like that,
I just thought it was nice and honest. ......","","N-No! I didn't mean it that way.
It was just honestly admirable...",""
"よし。このアイディアは後で企画書にまとめて、
先方に提案してみるよ","","Okay, I'll put this idea together in a proposal later,
I'll make a proposal to the other party.","","Alright. I'll put this idea into a proposal later and
propose it to the person who came up with that plan!",""
"ありがとうございますっ！
あっ、それで、ひとつご相談なんですけど……","","Thank you very much!
Oh, and one thing I'd like to discuss: ......","","Thank you very much!
Oh, and there's something I wanted to ask you...",""
"いつウサミンワールドがオープンしてもいいように、
魔法の練習をしておきたいんです！","","Whenever Usamin World opens, we'll be ready,
I want to practice my magic!","","I want to practice magic so that we can
open up Usamin World at any time!",""
"だから、このステッキ、
事務所に置いておいてもいいですか？","","So, this stick,
Can I leave it in my office?","","So, can I leave this
wand in the office?",""
"もちろん、いいよ。菜々の魔法、
ルミナスのみんなも楽しんでくれるだろう","","Of course, okay, Nana's magic,
I'm sure everyone at Luminous will enjoy it.","","▁Of course. I'm sure everyone in
Luminous will enjoy your magic too, Nana-chan。","Of course, it's fine. I'm sure
everyone in Luminos will enjoy Nana's magic"
"わあ！　そうですよねっ！
みんなにもウサミンの魔法をかけてあげなくちゃ☆","","Wow! Yes, that's right!
I'll have to work my Usamin magic on you all.","","Wow! You're right about that.
I'll have to cast the Usamine magic on everyone too☆","Wow! That's right! I'll have to cast
Usamin magic on everyone too☆"
"そうと決まればさっそく練習練習♪
ウサミンキュンキュン、ピカピカリ～ン☆","","Once you decide to do so, practice practice practice...
Usamin kyun kyun, pikapikari~n☆","","With that decided, let's get to practice♪
Usamine kyun kyun! Sparkling kariiiiin☆",""
"（ふぅ……長い打ち合わせだったな。
次の仕事について菜々に報告しないと……）","","(Whew ...... that was a long meeting.
(I need to report back to Nana about my next job: ......)","","(*sigh*... That was a long meeting.)
(I have to report my next job...)","(Phew... That was a long meeting. I'll have
to report to Nana about my next job...)"
"ここはもうちょっとこうして、こうっ！
うんうん、いい感じ♪","","A little more like this here, a little more like this!
Yeah, yeah, yeah, yeah, it's good.","","I'm going to do it like this for a bit longer!
Mm-hmm, that's good! ♪","I'll stay like this a little longer,
like this! Yes, yes, it feels good♪"
"おっ、何だか調子が良さそうだな菜々。
なにをしてるんだ？","","Whoa, you're looking kind of good, Nana.
What are you doing?","","Oh, looks like you're in pretty good shape.
What the hell are you doing?","Oh, you seem to be in good shape,
Nana. What are you doing?"
"プロデューサーさんっ！　見てください！
ウェルカムウサミンカードです♪","","Hey, producer! Look at this!
Welcome Usamin card.","","Look, Mr. Producer!
Welcome. Here's your usamin card!","Mr. Producer! Look at this!
Welcome to the Usami Card! ♪"
"へえ、かわいいじゃないか。
誰かに渡すんだよな？","","Heh, isn't he cute?
You're going to give it to someone else, right?","","Wow, that's cute.
You're gonna give it to someone, right?",""
"はいっ！　ライブに来てくださったみんなに、
何かお礼のプレゼントをお渡ししたくって！","","Yes! To everyone who came to the concert,
I wanted to give you something as a thank you gift!","","That's right! I wanted to give everyone who
came by the concert something as a thank-you gift.",""
"いろいろ考えたんですけど、
心のこもったカードがいいかなって思ったんですっ♪","","I've thought about it a lot,
I thought a heartfelt card would be nice.","","I've been thinking about it a lot, but maybe we should
play some cards with our hearts in them. ♪","I've been thinking about it a lot, but I
figured a card full of heart would be better♪"
"菜々らしいアイディアだな。
それで、仕事の合間に手作りしていたのか","","It's a very Nana-esque idea.
So you were making them by hand in between jobs.","","That's a very naive idea.
So you made it yourself while I was working.","That's a very Nana-like idea. So that's
why you made it while you were working"
"はい！　ファンのみなさんからのお手紙を読んでたら
今すぐなにか作りたいって思いまして！","","Yes! I was reading the letters from your fans.
I wanted to make something right now!","","Yes! I was reading letters from my fans, and
it made me want to make something right away.",""
"だってだって、みなさんのお手紙すっごくすっごく、
温かくて……ウサミンパワーの源になるんですっ！","","Because, your letters are so great,
It's warm and ...... a source of usamin power!","","But, but... Everyone's letters are so warm and
fuzzy. They become a source of Usamin power!",""
"それは、菜々がいつも一生懸命だからだよ。
だから、ファンのみんなも応援してくれるんだろうな","","That's because Nana is always working hard.
So I guess that's why all the fans are so supportive.","","That's because you always give it your all.
I guess that's why all the fans are cheering for us.",""
"えへへ♪　ナナも、温かい気持ちを
お返ししたいんですっ♪","","Hehehe... Nana also has warm feelings for you.
I want to give something back.","","Heheh♪ I want to
return the favor, too!","Ehehe♪ Nana wants to
return the warm feelings♪"
"空き時間も一生懸命なのはいいけど、
無理はするなよ。疲れたらちゃんと休むように","","I like that you work hard in your spare time too,
Don't overdo it, and if you get tired, get some rest.","","It's fine that you spend your free time working hard, but try not to push yourself
too much. Make sure and get some rest when it gets tiring in the end","It’s good that you’re doing your best in your spare time, 
but don’t push yourself too hard. 
Make sure you get some rest if you get tired"
"はいっ♪
ちゃーんと無理のない範囲でやりますねっ♪","","Yes!
I'll do it within a reasonable range.","","Okay♪ I'll do my best to
not overdo it, okay?","Yes♪ I'll do it in a range
that isn't unreasonable♪"
"次のお仕事まで時間があるので、
何枚か作っちゃおうと思いますっ！","","I have time until my next job,
I'm going to make several of them!","","There's still some time before my
next job, so I want to make a few!",""
"それなら、俺にも手伝わせてくれ。
なにかできることはないか？","","Then let me help you.
Is there anything I can do?","","In that case, let me help too.
Is there anything I can do to help?",""
"お気遣い、ありがとうございます！
プロデューサーさんっ！","","Thank you for your concern!
Hey, producer!","","Thank you for your concern!
Mr. Producer!",""
"でも、これはナナが好きでやってることなので、
大丈夫ですよ！　ちゃんと自分で作りたいんです！","","But this is what Nana likes to do,
Don't worry! I want to make it properly by myself!","","But this is something I like to do, so
it's fine! It should be made by myself.",""
"それよりプロデューサーさんの方が、
無理をしていませんか……？","","It's more about Producer,
Are you pushing yourself ......?","","Isn't Producer pushing
himself too hard...?",""
"なんとなくですけど、
お疲れ気味な感じが……大丈夫ですか？","","Somehow,
I'm feeling tired. ...... Are you okay?","","It's just a hunch, but you look
kind of tired... Is everything okay?",""
"いや、心配しなくてもいいぞ。
打ち合わせが長引いて、ほんの少し疲れただけだ","","No, don't worry about it.
The meeting went on for a long time, and I'm just a little tired.","","No, there's no need to worry.
I'm just a little tired from the long meeting.",""
"そうだったんですね……。お疲れ様です","","I see that you did. ....... Thanks for your help.","","I see... Good work today.","I see... Thanks for your hard work"
"そうですっ！　お疲れでしたら、ウサミンパワーを
注入して、元気をおすそ分けしますっ！","","That's right! If you are tired, you can use Usamin Power.
I will inject and share my energy with you!","","That's right! If you are tired, I can pour in some
Usamin power and share my energy with everyone else.",""
"元気にな～れ☆
ウサミ～ン、パワ～ッ！","","Get well soon!
Usami~n, power~n!","","Be well☆
Usamiiiiin, power!",""
"キャハッ☆
どうですか？　元気が出てきました？","","cuckoo
What do you think? Are you feeling more energetic?","","Kyaha☆ How is it?
Feeling better now, I see.",""
"あ、ああ……そうだな。
ウサミンパワーを注入してもらったら……","","Oh, ah, ...... yes.
If you get an infusion of Usamin power: ......","","Y-Yeah... You're right.
If you inject me with your Usamine power...",""
"元気になったよ","","I feel better.","","I'm feeling better.",""
"効かなかった","","It didn't work.","","It didn't work.",""
"ああ、元気になったよ。ありがとう","","Yeah, I feel better now, thanks.","","Yeah, I'm better. Thanks for the help",""
"良かった♪　そんな風に笑顔になってもらえるのが、
なにより嬉しいですっ！","","Good...to be able to make people smile like that,
I am more than happy!","","I'm so glad♪ It makes me
happy to see you smile like that!",""
"菜々のファンも、菜々が笑顔でいてくれるのが
一番嬉しいと思うぞ。もちろん、俺もだ","","Nana's fans are also the ones who keep her smiling.
I think you'll be most pleased, and of course, so will I.","","I'm sure your fans will be most happy to
see you smile, too. Of course they are!",""
"えへへ～、やっぱり笑顔が一番ですよね♪","","Ehehe~, after all, a smile is the best... ♪","","Hehe~ Smiles really are the best, aren't they♪",""
"今日もみんなの笑顔のために、
ウサミンパワー全開で頑張っちゃいますよ～っ！","","Today is another day for smiles for everyone,
I'll do my best with full Usamin power~!","","I'm going to give it my
all for everyone today!",""
"う～ん、俺には効かなかったみたいだ","","Hmmm, I guess it didn't work for me.","","Hmm, it didn't seem to work on me.",""
"ウサミン、ショ～ックっ！！
プロデューサーさんに笑顔を届けたかったです～","","Usamin, show~ck!
I wanted to bring a smile to Producer's face.","","Usamin, shooooock!!
I wanted to make sure Producer had a smile on his face.",""
"ナナのウサミンパワーもまだまだ……
修業が必要みたいですねっ！","","Nana's Usamin power is still ......
It seems I need some training!","","Nana's Usamin power still has a long way to go...
Looks like you're going to need some training!",""
"でも、ありがとうな。菜々。
俺のことを気使ってくれて","","But thanks, Nana.
You took care of me.","","But thanks, Nana.
For looking out for me.",""
"と、とんでもありませんっ！　ナナはみんなに
笑顔になってほしいだけですので……！","","Nana is a great friend to all of us.
We just want you to smile, so please contact us at ......!","","N-Not at all! I just want
everyone to smile...",""
"疲れてたって、ナナを見たら元気になって、
ニコニコしちゃうようなアイドルになりたいんです！","","Even though I was tired, I felt better when I saw Nana,
I want to be an idol that makes people smile!","","I want to be an idol who gets better when she sees
me, even if it means being tired and smiling!","I want to be an idol who can make people smile and get energized 
when they are tired"
"ああ、菜々ならきっとなれるさ。
これからも一緒に活動を頑張っていこうな","","Yeah, I'm sure Nana will be able to do it.
Let's keep up the good work together.","","Yeah, I'm sure you can become one.
Let's do our best together from now on.",""
"はいっ！　憧れていたアイドルになれたんですから、
アイドル街道を突き進んじゃいますよっ！","","Yes! I got to be the idol I've always wanted to be,
I'm going to go forward on the road to idolhood!","","Yes! Now that I've become the idol of my dreams, let
me push on down this road to becoming an pop star.","Yes! Now that I've become the idol I aspired to
be, I'm going to charge down the Idol Highway!"
"それに、ウサミンワールド開園のお話もありますし！
今がナナの頑張りどころかなって思うんですっ！","","Besides, there is also the story of the opening of Usamin World!
I think now is the time for Nana to do her best!","","Besides, there's also the matter of opening Usamin World!
Now's the time to show Nana what I can do!","Besides, there's talk of the opening of the Usamin
World! I think now's the time for Nana's hard work!"
"（とはいえ、無理をしがちなところは心配だな。
もっとサポートできる部分としたら……）","","(Although, I do worry about the part where you tend to push yourself too hard.
One area that could be more supportive is ......)","","(Still, I'm worried about her pushing herself too hard.)
If there's anything I can do to support her...)","(Still, I'm worried that she's pushing herself too hard.
If there's anything I can do to support her...)"
"（そうだ、菜々のライブをするのはどうだろう。
ファンから元気をもらえる気がするな）","","(Yes, how about doing a live performance of Nana?
(I have a feeling you could use a little cheering up from your fans.)","","(Oh yeah, how about putting on a concert for Nana?
(I feel like I'll be cheered up by the fans.)","(That's right, why don't we do Nana's
concert? I feel like my fans will cheer me up.)"
"（事務所に顔を出すと、菜々、紬、甘奈の３人が
楽しそうにおしゃべりしていた）","","(When I showed up at the office, Nana, Tsumugi, and Amana were there.
(They chatted happily.)","","(Nanaka, Tsumugi and Amana were chatting
happily when I showed up at the office.)",""
"そうそう、この近くに新しくできたカフェ、
すごくいいよね～！　もう、メニューがかわいーの！","","Yes, a new cafe near here,
The menu is so cute!","","Oh yeah, there's a new café nearby that
looks really good! The menu is so cute now.","Oh yeah, the new café around here
is really nice! The menu's so cute!"
"動物の形のムースがたまらないんですよね～♪
あれは、かわいすぎて食べられません！","","I can't get enough of the animal shaped mousse!
That one is too cute to eat!","","The animal-shaped mousse is
irresistible~ It's too cute to eat!",""
"かわいすぎて食べられない……？
食べられないと困るのでは……？","","Too cute to eat ......?
Don't you want to be able to eat it? ......","","Too cute to eat...?
Wouldn't it be a problem if you were unable to eat...?",""
"大丈夫です！　い～っぱい写真を撮って、
そのあとはちゃんとおいしくいただきますから♪","","Don't worry! Take lots of pictures,
After that, I'll make sure to eat well.","","Don't worry! I will take a lot of pictures,
and then we can have some delicious food~",""
"甘奈もめっちゃ撮っちゃうな～☆
友達に見せたりして盛り上がれるし！","","Amana takes a lot of pictures too!
I can show it to my friends and get excited!","","I'm going to take tons of pictures too! ☆
And we can show them off and have a blast.",""
"ねぇねぇ！　今度、３人で行こうよ！
同い年同士なんだし！","","Hey, hey! Let's go out together sometime!
We are the same age as each other!","","Hey, hey! Let's go together sometime.
We're the same age, after all!",""
"ナナと同い年同士……！
は、はいっ！　ぜひ、行きましょう！","","We are the same age as Nana. ......
Yes, yes!","","We're the same age as Nana...!
Y-Yes! Let's go, then.",""
"はい、私も……。
都合がついたら、ご一緒させていただきたいです","","Yes, I also have a .......
I would like to join you if it is convenient.","","Yes, me too...
If it's convenient for you, I would like to join in on the fun together.",""
"やった☆　めっちゃ楽しみ！","","Yay☆ I'm really looking forward to it!","","Yay! ☆ I'm really looking forward to it.",""
"せっかくですから、
プロデューサーさんもご一緒にいかがですかっ？","","Since we are here,
Would you like to join us, producer?","","Would you like to
join us too, Producer?",""
"ん？　俺も行っていいのか？
せっかく誘ってくれるのなら……","","Hmm? Can I go, too?
If you're so kind as to invite me to ......","","Hm? Is it okay if I go, too...
If you're going to invite me...",""
"もちろん行く","","Of course I'm going.","","Of course I'm coming.",""
"行けたら行く","","I'll go if I can.","","I'll come if I can.",""
"遠慮しておく","","take it in stride","","I'll pass.",""
"たまには外でミーティングもいいか。
一緒に行くよ","","Is it okay to have meetings outside once in a while?
I'm coming with you.","","I guess it's okay to have meetings outside once in a while.
I'll come with you.",""
"プロデューサーさん、お茶をしにいくんですよ♪
お仕事の話は無しでいきましょう！","","Producers, we're going to have tea... ♪
Let's not talk about your work!","","We're going out to have tea, producer!
♪ Let us not talk about work.",""
"そうそう☆　息抜きも大事だよっ！","","Yes, yes☆ It's important to take a break!","","Yeah, yeah☆ It's important to take a breather too!",""
"私も……楽しみにしています","","I'm looking forward to ...... too!","","I'm looking forward to it, too.",""
"行けたら行くよ。行きたいのはやまやまなんだが、
予定が合うか分からないからな","","I'll go if I can,
I don't know if our schedules will work out.","","I'll come if I can. It would be nice to go, but we still have no
idea what our schedules will hold in store for us at this point",""
"うーん……そこが難しいところですよね。
みんなそれぞれのお仕事もありますし","","Hmmm ...... that's the hard part.
We all have our own jobs.","","Hmm... That's the hard part.
Everyone has their own work to do.",""
"そうだねー。
お互いに別の活動があったりするもんね","","That's right.
We both have other activities.","","Yeah, you're right.
There's always something else going on between us.",""
"はい。
みなさんが都合がつくときにしましょう……","","
Let's do it when you all are available: ......","","Yes.
Let's do it when everyone else is free...",""
"俺は遠慮しておくよ。
みんなで行ってくるといい","","I'll pass.
You should all go.","","I'll pass, thanks.
You should all go together.",""
"う～ん、残念ですけど、プロデューサーさんも
忙しいですし、仕方ないですね……","","Hmmm... I'm sorry, but Producer too.
I'm busy and I don't have a choice. ......","","I'm sorry, but the
producer is really busy...",""
"そうですね。あまり無理に誘うのは……","","Yes, I agree, it's not too much to ask ......","","That's true. We shouldn't force her to join us, though...",""
"うん、プロデューサーさんの予定に
余裕がある時にしよっ！","","Yeah, on Producer's schedule.
I'll do it when I can afford it!","","Yeah, let's do it when the
producer has some free time!",""
"そうだ。他にも同い年の子、いるだろうから、
声かけてみる？","","Yes, because there are probably other kids your age,
Do you want to talk to him?","","Oh, I know. There's probably someone
else your age who wants to talk with you?",""
"同い年っていえば、
３人は学校の勉強は大丈夫なのか？","","Speaking of the same age,
Are the three of you doing okay in school?","","Speaking of the same age, are you three
going to be okay studying at school?",""
"が、学校！？　勉強！？
も、もちろん大丈夫ですよっ！　キャハッ☆","","But, school! Study!
Of course it's okay!","","S-School?! Studying...
O-Of course I'm fine! Kyaha☆",""
"……それは、もっとアイドル活動に集中しろ……
ということですか？","","...... it's time to focus more on your idol work: ......
Is that what you mean?","","...You need to focus more on your idol activities...
Is that what you're saying?",""
"そ、そうかな？　プロデューサーさんは、純粋に
甘奈たちの心配をしてくれているんだと思うよ","","Well, I don't know. I think Producer is genuinely
I think they're worried about Amana and the others.","","Y-You think so? I'm sure Producer
is genuinely worried about you.",""
"でも、新しい事務所は、学校からちょっと遠いから、
不便なところがあるかも……菜々ちゃんはどう？","","But the new office is a bit far from the school,
Maybe there are some inconveniences: ...... How about you, Nana?","","But the new office is a bit far from school, so
it might be inconvenient... What about you?",""
"な、ナナですかっ！？　え～っと、そうですね……。
あっ！　ナナにはにんじんの馬車があるので！","","Na, nana, is it? Um, yes, it is. .......
Oh! Nana has a carrot carriage!","","N-Nana!? Ummm, let's see....
Ah! Nana has a carrot carriage.",""
"どんな遠くの学校からでも、
すぐに事務所へ来れちゃうんです♪　キャハッ☆","","From any distant school,
I can come to the office right away.","","No matter how far away the school is, I can
always come to my office in no time! ☆",""
"というわけなので、ナナたちは学生とアイドル、
二足のワラジを履きこなしてるので、心配無用です！","","Therefore, Nana and her friends are students and idols,
Don't worry, I'm wearing two pairs of shoes!","","And so, Nana and the others are wearing
bipedal bracken shoes. Don't worry!",""
"そ、そうか。俺が心配し過ぎただけならいいが……。
特にナナはウサミンワールドのこともあるしな","","Well, okay, I hope I'm just worrying too much: .......
Especially with Nana and the whole Usamin World thing.","","I-I see. It's fine if it was just me worrying too much...
Especially Nana. There's also the matter of Usamin World, too!",""
"は、はいっ！　せっかくのチャンスを
逃したくないので、全力で頑張りますっ！","","Yes, yes!
I don't want to miss out, so I will do my best!","","Y-Yeah! I don't want to miss this
chance, so let me give it my all.",""
"ウサミンワールドだよね！
甘奈、その話聞いてみたいなー☆","","It's Usamin World!
Amana, I'd love to hear that story.","","It's usamin world, right?
Amana, I want to hear about that☆",""
"ウサミンワールドの話ですか？
なんでも聞いてくださいっ！","","Are we talking about Usamin World?
Ask me anything!","","Are you talking about the usamin world?
You can ask me anything!",""
"ウサミンワールドでは、来てくれた人全員が
ウサミン星人になれる世界にしようかと！","","At Usamin World, everyone who comes to
I was thinking of creating a world where we can become Usamin aliens!","","In Usamin World, I thought it would be a world
where everyone who came could become an alien!",""
"……ウサミン星人。
私もウサミン星人になれるのでしょうか？","","...... Usamin Alien.
Can I be a Usamin alien too?","","...Usamin aliens.
Will I be able to become a usamin star?",""
"もっちろんですよ！　ウサミンが魔法をかけたら、
み～んな、ウサミン星人になっちゃうんですっ☆","","Of course! If Usamin casts a spell,
We will all become Usamin aliens☆.","","Of course! If Usamin casts a spell
on us, we'll all turn into aliens☆",""
"（ウサミンワールドについて、菜々は
目を輝かせながらふたりに話してあげた――）","","(About Usamin World, Nana said.
I told them both with a twinkle in my eye--)","","(Nanami's eyes sparkle as she tells
them about the world of Usamin...)",""
"（菜々は自分の活動にやりがいを感じているんだな。
俺も菜々のためにしてあげられることを見つけよう）","","(Nana feels that your activities are worthwhile, don't you?
(I'll find something I can do for Nana, too.)","","(Nana must feel that her activities are worthwhile.
I'll find something to do for Nana.)",""
"（ウサミンワールド開園に向けて、
菜々の活躍の場を広めたいとの相談が来た……）","","(For the opening of Usamin World,
(Nana's consulted me about expanding the scope of her activities: ......)","","(We've come to discuss how we should spread the word
of Nanami and help her open Usamin World...)",""
"（そのため、地方で菜々のイベントを開催し、
新たなファン層の獲得を目指すことにした）","","(For this reason, he held Nana's event in the region,
(We have decided to try to attract a new fan base.)","","(That's why I decided to hold a Nana event in the
countryside, so that we could gain new fans.)",""
"ウサミンワールドを開園させるためには、
菜々のアプローチは必須条件だ……","","To open Usamin World,
Nana's approach is a prerequisite: ......","","In order to open Usamin World,
Nana's approach is a prerequisite...",""
"……菜々の願いを叶えるために、俺が出来ることは
こういったことしかないからな","","...... what I can do to make Nana's wish come true.
It's only like this.","","This is all I can do to make
Nana's wish come true.",""
"今日は来てくれてありがとうございましたっ！
ウサミンパワー、みんなに届け～♪","","Thank you for coming today!
Usamin power to all!","","Thank you for coming today!
Usamin power, reach everyone♪",""
"（……予想よりも、だいぶお客さんが少ないな。
地方での集客は、まだ難しかったみたいだ……）","","(...... There are much fewer customers than expected.
It seems it was still difficult to attract customers in rural areas (......)","","(...There are far fewer customers than I expected.
(Looks like it'll be difficult to gather customers in the provinces...)",""
"それじゃあ、最後はみんなで一緒に……はいっ♪
ミンミンミミミン、ウ～サミ～ン♪","","Well, then, let's all end up together at ...... yes â","","Well then, let's all end this together...
Okay! ♪ Min min mimimin and uu sami~",""
"（集客は少なかったが、菜々の全力パフォーマンスで
イベントは大いに盛り上がった）","","(The turnout was small, but Nana's all-out performance
(The event was a great success.)","","(There weren't many people here, but Nana put on a
full performance and the event was really lively.)",""
"プロデューサーさん、お疲れ様ですっ！
いいイベントができましたねっ☆","","Thanks for your hard work, producer!
Nice event!","","Good work, producer!
It turned out to be a great event☆",""
"菜々……すまない。
こんな予定じゃなかったんだが、俺の読みが甘かった","","Nana ...... sorry.
It wasn't supposed to be this way, but I wasn't reading too much into it.","","Nana... I'm sorry.
I wasn't planning on doing this, but my guess was wrong.",""
"プロデューサーさん……？
えっと……あの、どうして謝るんですか？","","Producer: ......?
Um, ...... Um, why are you apologizing?","","Producer...?
Umm... Why are you apologizing?",""
"もしかして、ナナのパフォーマンスに
問題があったのでしょうか……","","Perhaps you are interested in Nana's performance.
Was there a problem ......","","Maybe there was a problem
with Nana's performance...",""
"いや、菜々は十分に頑張ってくれた……","","No, Nana did well enough: ......","","Nah, Nana's done more than enough...",""
"ただ、イベントの集客力が足りなかった。
完全に俺の力不足が原因だ……すまなかった","","However, the event did not attract enough visitors.
I'm completely out of my depth. ...... sorry about that.","","We just didn't have enough customers for the event.
It's all my fault for not being strong enough... Sorry.",""
"力不足だなんて、そんなことありません！","","It is not that I am not strong enough!","","It's not that I lack strength!",""
"確かに、いつものイベントと比べたら……。
でも、ナナはすっごく楽しかったですっ！","","Indeed, compared to the usual events, .......
But Nana had a lot of fun!","","She's right. Compared to the usual events...
But Nana had a lot of fun!",""
"ナナは今日のイベント、大成功だと思っています……
プロデューサーさんは、違うんですか？","","Nana thinks today's event was a great success: ......
Are you a producer, no?","","Nana thinks today's event was a huge success....
Is Producer different?",""
"菜々は大成功だと思ってくれたのか……。
そうだな、俺は……","","Nana thought it was a great success. ......","","So Nana thought it was a huge success...
That's right, I...",""
"成功だと思う","","I think it's a success.","","I think it was a success.",""
"失敗だと思う","","I think it's a failure.","","I think it's a failure.",""
"そうだな。菜々の前向きな言葉を聞いたら、
成功……って言っていいのかもしれないな","","Yes, if I hear positive words from Nana,
Maybe we can call it a success .......","","Yeah. If I hear you say something positive, then it's a
success... Maybe that would be the best way to put this",""
"キャハッ☆　やっぱりそうですよね！
成功も成功！　大成功だと思いますよ！","","cah* I knew it!
Success is also success! I think it's a great success!","","Kyaha☆ I knew it!
Success is a success! I think it's great.",""
"たくさんのファンが集まってくれたら、
それはやっぱり嬉しいですけど……","","If a lot of fans gather,
I'm still glad to hear that, though: ......","","I'd be happy if we could get
lots of fans to come, but...",""
"イベントに来てくれたみなさんが、楽しんで
くれたかどうか……それが大事だと思いますっ！","","Everyone who came to the event enjoyed
I think it's important to know if you gave me ......!","","I think it's important to see if everyone
who came for the event enjoyed themselves!",""
"いや、やっぱり失敗だったと思う。
菜々に責任は全く無いのに……。すまない","","No, I still think it was a mistake.
I'm sorry ...... even though Nana is not responsible for this at all.","","No, I think it was a mistake.
It's not your fault at all, Nana... Sorry.",""
"そ、そんなに謝られても、ナナ困っちゃいます～！
元気を出してください、プロデューサーさん","","I'm so sorry, Nana, but I'm in trouble!
Cheer up, producer!","","Y-You don't have to apologize so much, Nana!
Cheer up, producer.",""
"ナナは今日のイベントを用意してくれたことに、
感謝の気持ちでいっぱいですっ！","","Nana for preparing today's event,
I am filled with gratitude!","","I'm filled with gratitude
for preparing this event!",""
"それに、今日のイベントを経験して
すごく大切なことを思い出しました……","","Besides, after experiencing today's event
I remembered something very important: ......","","And after today's event, I remember
something very important...",""
"下積みの頃……アイドルを目指し始めた頃の、
大切な気持ちを思い出せました！","","When I was a lowly ...... when I started trying to become an idol,
I was able to remember important feelings!","","I remember how important it was to me when
we first started working as idols!",""
"そうか。菜々にも大変だった時期があったんだな","","I see...Nana had some tough times too.","","I see. So there was a time when things were tough for you too, huh?",""
"大変でしたけど、楽しかったですよっ！　でも、
はじめの頃はお客さんがぜんぜん集まらなくて……","","It was a lot of work, but it was fun!
In the beginning, we couldn't get any customers at all. ......","","It was tough, but I had a lot of fun! But
at first we didn't get many customers...",""
"せめて来てくれたファンのみんなには
楽しんでもらおうと、必死に頑張りました……","","At least for all the fans who came.
We tried so hard to make it fun. ......","","I did everything in my power to make sure the fans who
came at least enjoyed it would enjoy themselves.",""
"ナナはあの小さいステージからここまで来たんです。
いつか売れっ子アイドルになるって思い続けて……","","Nana has come so far from that small stage.
Keep thinking you'll be a successful idol someday. ......","","Nana came all the way here from that small stage.
I kept thinking that one day, she'd become a popular idol...",""
"あの頃より少しは夢に近づいたけど、
まだまだ立ち止まってる場合じゃないですね！","","I'm a little closer to my dream than I was then,
It's not time to stand still yet!","","We're a little closer to the dream than we were back
then, but this is no time for standing still!",""
